task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.01,13.5600
mbpp_4_heap_queue_largest,0.01,35.8194
mbpp_6_differ_At_One_Bit_Pos,0.01,4.2347
mbpp_8_square_nums,0.01,11.2179
mbpp_9_find_Rotations,0.01,14.8234
mbpp_11_remove_Occ,0.01,6.9937
mbpp_12_sort_matrix,0.01,124.8788
mbpp_14_find_Volume,0.01,0.9783
mbpp_16_text_lowercase_underscore,0.01,1.3805
mbpp_17_square_perimeter,0.01,0.5615
mbpp_18_remove_dirty_chars,0.01,14.8786
mbpp_19_test_duplicate,0.01,20.8384
mbpp_20_is_woodall,0.01,4.0314
mbpp_56_checks,0.01,12.8661
mbpp_57_find_Max_Num,0.01,123.9319
mbpp_58_opposite_Signs,0.01,1.0916
mbpp_59_is_octagonal,0.01,38.4920
mbpp_61_count_Substrings,0.01,56.9737
mbpp_62_smallest_num,0.01,15.4822
mbpp_63_max_difference,0.01,71.4188
mbpp_64_subject_marks,0.01,6.6564
mbpp_65_recursive_list_sum,0.01,6.3303
mbpp_66_pos_count,0.01,8.9266
mbpp_67_bell_number,0.01,8.5416
mbpp_68_is_Monotonic,0.01,126.0106
mbpp_69_is_sublist,0.01,10.7113
mbpp_70_get_equal,0.01,14.3647
mbpp_71_comb_sort,0.01,126.0165
mbpp_72_dif_Square,0.01,9.5071
mbpp_74_is_samepatterns,0.01,6.7595
mbpp_75_find_tuples,0.01,21.0193
mbpp_77_is_Diff,0.01,0.7939
mbpp_79_word_len,0.01,0.6573
mbpp_80_tetrahedral_number,0.01,14.6586
mbpp_83_get_Char,0.01,9.9781
mbpp_84_sequence,0.01,124.8316
mbpp_86_centered_hexagonal_number,0.01,10.2446
mbpp_87_merge_dictionaries_three,0.01,42.7436
mbpp_88_freq_count,0.01,23.2194
mbpp_89_closest_num,0.01,300.0359
mbpp_90_len_log,0.01,15.8175
mbpp_91_find_substring,0.01,6.4949
mbpp_92_is_undulating,0.01,48.0831
mbpp_93_power,0.01,0.9148
mbpp_94_index_minimum,0.01,78.8656
mbpp_95_Find_Min_Length,0.01,18.3530
mbpp_96_divisor,0.01,7.6268
mbpp_97_frequency_lists,0.01,30.3274
mbpp_99_decimal_to_binary,0.01,13.0844
mbpp_100_next_smallest_palindrome,0.01,123.0659
mbpp_101_kth_element,0.01,6.3642
mbpp_102_snake_to_camel,0.01,16.8669
mbpp_103_eulerian_num,0.01,8.2866
mbpp_104_sort_sublists,0.01,300.0347
mbpp_105_count,0.01,6.6522
mbpp_106_add_lists,0.01,1.1038
mbpp_108_merge_sorted_list,0.01,127.0814
mbpp_109_odd_Equivalent,0.01,15.2152
mbpp_113_check_integer,0.01,3.2872
mbpp_116_tuple_to_int,0.01,11.8423
mbpp_117_list_to_float,0.01,14.5203
mbpp_118_string_to_list,0.01,0.5874
mbpp_119_search,0.01,11.1695
mbpp_120_max_product_tuple,0.01,57.4239
mbpp_123_amicable_numbers_sum,0.01,300.0369
mbpp_125_find_length,0.01,300.0190
mbpp_126_sum,0.01,20.3460
mbpp_127_multiply_int,0.01,0.5283
mbpp_128_long_words,0.01,4.3608
mbpp_129_magic_square_test,0.01,126.7628
mbpp_130_max_occurrences,0.01,89.4888
