Comparison: summary/mbpp-js-microsoft_phi_2-0.0-syncode.txt vs summary/mbpp-js-microsoft_phi_2-0.0-itergen.txt
================================================================================

Total changed test cases: 263

mbpp_100_next_smallest_palindrome: SyntaxError -> AssertionError
mbpp_101_kth_element: AssertionError -> SyntaxError
mbpp_102_snake_to_camel: AssertionError -> SyntaxError
mbpp_103_eulerian_num: AssertionError -> SyntaxError
mbpp_105_count: OK -> SyntaxError
mbpp_106_add_lists: AssertionError -> SyntaxError
mbpp_108_merge_sorted_list: AssertionError -> SyntaxError
mbpp_109_odd_Equivalent: AssertionError -> SyntaxError
mbpp_113_check_integer: OK -> AssertionError
mbpp_117_list_to_float: AssertionError -> SyntaxError
mbpp_118_string_to_list: OK -> SyntaxError
mbpp_119_search: AssertionError -> SyntaxError
mbpp_11_remove_Occ: AssertionError -> SyntaxError
mbpp_120_max_product_tuple: AssertionError -> SyntaxError
mbpp_123_amicable_numbers_sum: ReferenceError -> SyntaxError
mbpp_125_find_length: AssertionError -> SyntaxError
mbpp_126_sum: OK -> SyntaxError
mbpp_129_magic_square_test: AssertionError -> SyntaxError
mbpp_130_max_occurrences: OK -> AssertionError
mbpp_132_tup_string: AssertionError -> SyntaxError
mbpp_133_sum_negativenum: OK -> SyntaxError
mbpp_138_is_Sum_Of_Powers_Of_Two: SyntaxError -> AssertionError
mbpp_142_count_samepair: OK -> SyntaxError
mbpp_145_max_Abs_Diff: AssertionError -> SyntaxError
mbpp_160_find_solution: AssertionError -> SyntaxError
mbpp_161_remove_elements: OK -> SyntaxError
mbpp_162_sum_series: AssertionError -> SyntaxError
mbpp_165_count_char_position: AssertionError -> SyntaxError
mbpp_167_next_power_of_2: OK -> SyntaxError
mbpp_168_frequency: OK -> SyntaxError
mbpp_171_perimeter_pentagon: OK -> SyntaxError
mbpp_19_test_duplicate: OK -> SyntaxError
mbpp_222_check_type: OK -> SyntaxError
mbpp_223_is_majority: OK -> AssertionError
mbpp_224_count_Set_Bits: OK -> SyntaxError
mbpp_226_odd_values_string: OK -> SyntaxError
mbpp_228_all_Bits_Set_In_The_Given_Range: AssertionError -> SyntaxError
mbpp_229_re_arrange_array: AssertionError -> SyntaxError
mbpp_230_replace_blank: OK -> SyntaxError
mbpp_239_get_total_number_of_sequences: AssertionError -> SyntaxError
mbpp_240_replace_list: AssertionError -> SyntaxError
mbpp_242_count_charac: OK -> SyntaxError
mbpp_244_next_Perfect_Square: AssertionError -> SyntaxError
mbpp_245_max_sum: AssertionError -> SyntaxError
mbpp_247_lps: AssertionError -> SyntaxError
mbpp_250_count_X: OK -> SyntaxError
mbpp_251_insert_element: OK -> SyntaxError
mbpp_253_count_integer: AssertionError -> SyntaxError
mbpp_256_count_Primes_nums: ReferenceError -> SyntaxError
mbpp_257_swap_numbers: OK -> AssertionError
mbpp_259_maximize_elements: AssertionError -> SyntaxError
mbpp_260_newman_prime: AssertionError -> SyntaxError
mbpp_261_division_elements: OK -> SyntaxError
mbpp_262_split_two_parts: AssertionError -> SyntaxError
mbpp_266_lateralsurface_cube: AssertionError -> SyntaxError
mbpp_269_ascii_value: OK -> SyntaxError
mbpp_272_rear_extract: OK -> SyntaxError
