Comparison: summary/mbpp-js-microsoft_phi_2-0.2.txt vs summary/mbpp-js-microsoft_phi_2-0.2-syncode.txt
================================================================================

Total changed test cases: 100

mbpp_100_next_smallest_palindrome: AssertionError -> SyntaxError
mbpp_103_eulerian_num: SyntaxError -> AssertionError
mbpp_108_merge_sorted_list: AssertionError -> SyntaxError
mbpp_117_list_to_float: SyntaxError -> AssertionError
mbpp_125_find_length: SyntaxError -> AssertionError
mbpp_12_sort_matrix: AssertionError -> SyntaxError
mbpp_132_tup_string: OK -> AssertionError
mbpp_141_pancake_sort: OK -> SyntaxError
mbpp_143_find_lists: Exception -> AssertionError
mbpp_145_max_Abs_Diff: OK -> SyntaxError
mbpp_160_find_solution: Exception -> AssertionError
mbpp_164_are_equivalent: OK -> SyntaxError
mbpp_165_count_char_position: OK -> AssertionError
mbpp_19_test_duplicate: AssertionError -> OK
mbpp_228_all_Bits_Set_In_The_Given_Range: SyntaxError -> AssertionError
mbpp_234_volume_cube: OK -> AssertionError
mbpp_244_next_Perfect_Square: OK -> AssertionError
mbpp_247_lps: AssertionError -> SyntaxError
mbpp_262_split_two_parts: SyntaxError -> AssertionError
mbpp_268_find_star_num: AssertionError -> SyntaxError
mbpp_271_even_Power_Sum: AssertionError -> OK
mbpp_278_count_first_elements: AssertionError -> SyntaxError
mbpp_281_all_unique: OK -> AssertionError
mbpp_285_text_match_two_three: AssertionError -> ReferenceError
mbpp_287_square_Sum: AssertionError -> SyntaxError
mbpp_304_find_Element: AssertionError -> SyntaxError
mbpp_389_find_lucas: OK -> AssertionError
mbpp_395_first_non_repeating_character: AssertionError -> OK
mbpp_401_add_nested_tuples: AssertionError -> OK
mbpp_408_k_smallest_pairs: AssertionError -> SyntaxError
mbpp_409_min_product_tuple: SyntaxError -> OK
mbpp_411_snake_to_camel: Exception -> AssertionError
mbpp_414_overlapping: OK -> AssertionError
mbpp_422_find_Average_Of_Cube: SyntaxError -> OK
mbpp_424_extract_rear: OK -> AssertionError
mbpp_426_filter_oddnumbers: AssertionError -> OK
mbpp_427_change_date_format: OK -> AssertionError
mbpp_455_check_monthnumb_number: OK -> AssertionError
mbpp_457_Find_Min: SyntaxError -> OK
mbpp_458_rectangle_area: OK -> AssertionError
mbpp_463_max_subarray_product: OK -> SyntaxError
mbpp_465_drop_empty: OK -> AssertionError
mbpp_479_first_Digit: Exception -> AssertionError
mbpp_4_heap_queue_largest: AssertionError -> ReferenceError
mbpp_556_find_Odd_Pair: OK -> SyntaxError
mbpp_557_toggle_string: OK -> SyntaxError
mbpp_558_digit_distance_nums: OK -> SyntaxError
mbpp_560_union_elements: OK -> Exception
mbpp_562_Find_Max_Length: AssertionError -> SyntaxError
mbpp_573_unique_product: OK -> SyntaxError
mbpp_576_is_Sub_Array: OK -> AssertionError
mbpp_585_expensive_items: OK -> AssertionError
mbpp_594_diff_even_odd: AssertionError -> ReferenceError
mbpp_595_min_Swaps: AssertionError -> SyntaxError
mbpp_602_first_repeated_char: OK -> AssertionError
mbpp_605_prime_num: AssertionError -> OK
mbpp_610_remove_kth_element: AssertionError -> SyntaxError
mbpp_614_cummulative_sum: SyntaxError -> OK
mbpp_61_count_Substrings: AssertionError -> OK
mbpp_633_pair_xor_Sum: OK -> AssertionError
mbpp_639_sample_nam: SyntaxError -> OK
mbpp_640_remove_parenthesis: SyntaxError -> Exception
mbpp_643_text_match_wordz_middle: AssertionError -> ReferenceError
mbpp_64_subject_marks: SyntaxError -> AssertionError
mbpp_68_is_Monotonic: AssertionError -> OK
mbpp_71_comb_sort: OK -> SyntaxError
mbpp_724_power_base_sum: AssertionError -> SyntaxError
mbpp_726_multiply_elements: OK -> AssertionError
mbpp_72_dif_Square: SyntaxError -> AssertionError
mbpp_731_lateralsurface_cone: OK -> AssertionError
mbpp_732_replace_specialchar: OK -> AssertionError
mbpp_733_find_first_occurrence: OK -> SyntaxError
mbpp_735_toggle_middle_bits: AssertionError -> SyntaxError
mbpp_737_check_str: OK -> AssertionError
mbpp_739_find_Index: AssertionError -> OK
mbpp_743_rotate_right: AssertionError -> SyntaxError
mbpp_746_sector_area: OK -> SyntaxError
mbpp_749_sort_numeric_strings: AssertionError -> OK
mbpp_753_min_k: SyntaxError -> AssertionError
mbpp_759_is_decimal: SyntaxError -> AssertionError
mbpp_75_find_tuples: OK -> SyntaxError
mbpp_760_unique_Element: AssertionError -> OK
mbpp_762_check_monthnumber_number: AssertionError -> SyntaxError
mbpp_764_number_ctr: OK -> AssertionError
mbpp_765_is_polite: ReferenceError -> AssertionError
mbpp_767_get_pairs_count: OK -> SyntaxError
mbpp_771_check_expression: OK -> SyntaxError
mbpp_773_occurance_substring: AssertionError -> SyntaxError
mbpp_777_find_sum: Exception -> OK
mbpp_778_pack_consecutive_duplicates: SyntaxError -> OK
mbpp_783_rgb_to_hsv: AssertionError -> SyntaxError
mbpp_787_text_match_three: SyntaxError -> AssertionError
mbpp_790_even_position: OK -> AssertionError
mbpp_792_count_list: OK -> AssertionError
mbpp_796_return_sum: OK -> AssertionError
mbpp_799_left_rotate: OK -> SyntaxError
mbpp_91_find_substring: OK -> SyntaxError
mbpp_94_index_minimum: AssertionError -> SyntaxError
mbpp_97_frequency_lists: SyntaxError -> OK
mbpp_9_find_Rotations: AssertionError -> SyntaxError
