task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.0,1,12.2433,12.2433
mbpp_4_heap_queue_largest,0.0,1,5.9315,5.9315
mbpp_6_differ_At_One_Bit_Pos,0.0,1,11.9798,11.9798
mbpp_8_square_nums,0.0,1,1.6609,1.6609
mbpp_9_find_Rotations,0.0,1,11.0723,11.0723
mbpp_11_remove_Occ,0.0,1,3.8224,3.8224
mbpp_12_sort_matrix,0.0,1,3.2225,3.2225
mbpp_14_find_Volume,0.0,1,11.1950,11.1950
mbpp_16_text_lowercase_underscore,0.0,1,11.0531,11.0531
mbpp_17_square_perimeter,0.0,1,11.2924,11.2924
mbpp_18_remove_dirty_chars,0.0,1,1.7449,1.7449
mbpp_19_test_duplicate,0.0,1,11.2826,11.2826
mbpp_20_is_woodall,0.0,1,11.1759,11.1759
mbpp_56_checks,0.0,1,11.3251,11.3251
mbpp_57_find_Max_Num,0.0,1,12.1101,12.1101
mbpp_58_opposite_Signs,0.0,1,11.9422,11.9422
mbpp_59_is_octagonal,0.0,1,11.9570,11.9570
mbpp_61_count_Substrings,0.0,1,3.5095,3.5095
mbpp_62_smallest_num,0.0,1,11.5021,11.5021
mbpp_63_max_difference,0.0,1,11.4096,11.4096
mbpp_64_subject_marks,0.0,1,1.4630,1.4630
mbpp_65_recursive_list_sum,0.0,1,11.5133,11.5133
mbpp_66_pos_count,0.0,1,11.7689,11.7689
mbpp_67_bell_number,0.0,1,11.7010,11.7010
mbpp_68_is_Monotonic,0.0,1,11.5593,11.5593
mbpp_69_is_sublist,0.0,1,13.2483,13.2483
mbpp_70_get_equal,0.0,1,16.6055,16.6055
mbpp_71_comb_sort,0.0,1,5.7644,5.7644
mbpp_72_dif_Square,0.0,1,13.2400,13.2400
mbpp_74_is_samepatterns,0.0,1,13.4670,13.4670
mbpp_75_find_tuples,0.0,1,4.8072,4.8072
mbpp_77_is_Diff,0.0,1,13.6239,13.6239
mbpp_79_word_len,0.0,1,1.4386,1.4386
mbpp_80_tetrahedral_number,0.0,1,13.2253,13.2253
mbpp_83_get_Char,0.0,1,13.1134,13.1134
mbpp_84_sequence,0.0,1,12.3920,12.3920
mbpp_86_centered_hexagonal_number,0.0,1,12.2545,12.2545
mbpp_87_merge_dictionaries_three,0.0,1,4.2408,4.2408
mbpp_88_freq_count,0.0,1,13.3202,13.3202
mbpp_89_closest_num,0.0,1,2.2230,2.2230
mbpp_90_len_log,0.0,1,13.5258,13.5258
mbpp_91_find_substring,0.0,1,12.1595,12.1595
