task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.2,3,14.0633,4.6878
mbpp_4_heap_queue_largest,0.2,3,23.2924,7.7641
mbpp_6_differ_At_One_Bit_Pos,0.2,3,14.3498,4.7833
mbpp_8_square_nums,0.2,3,12.0796,4.0265
mbpp_9_find_Rotations,0.2,3,19.1314,6.3771
mbpp_11_remove_Occ,0.2,3,17.5292,5.8431
mbpp_12_sort_matrix,0.2,3,58.7992,19.5997
mbpp_14_find_Volume,0.2,3,4.8216,1.6072
mbpp_16_text_lowercase_underscore,0.2,3,9.0381,3.0127
mbpp_17_square_perimeter,0.2,3,3.7042,1.2347
mbpp_18_remove_dirty_chars,0.2,3,17.9097,5.9699
mbpp_19_test_duplicate,0.2,3,25.4934,8.4978
mbpp_20_is_woodall,0.2,3,8.5331,2.8444
mbpp_56_checks,0.2,3,11.1746,3.7249
mbpp_57_find_Max_Num,0.2,3,15.5265,5.1755
mbpp_58_opposite_Signs,0.2,3,7.9719,2.6573
mbpp_59_is_octagonal,0.2,3,5.4654,1.8218
mbpp_61_count_Substrings,0.2,3,29.1480,9.7160
mbpp_62_smallest_num,0.2,3,17.7973,5.9324
mbpp_63_max_difference,0.2,3,40.9328,13.6443
mbpp_64_subject_marks,0.2,3,7.4208,2.4736
mbpp_65_recursive_list_sum,0.2,3,17.0378,5.6793
mbpp_66_pos_count,0.2,3,14.8799,4.9600
mbpp_67_bell_number,0.2,3,12.4795,4.1598
mbpp_68_is_Monotonic,0.2,3,20.0213,6.6738
mbpp_69_is_sublist,0.2,3,16.7820,5.5940
mbpp_70_get_equal,0.2,3,297.7815,99.2605
mbpp_71_comb_sort,0.2,3,72.0531,24.0177
mbpp_72_dif_Square,0.2,3,81.7246,27.2415
mbpp_74_is_samepatterns,0.2,3,16.2712,5.4237
mbpp_75_find_tuples,0.2,3,39.5583,13.1861
mbpp_77_is_Diff,0.2,3,8.0812,2.6937
mbpp_79_word_len,0.2,3,8.9856,2.9952
mbpp_80_tetrahedral_number,0.2,3,5.6020,1.8673
mbpp_83_get_Char,0.2,3,15.9987,5.3329
mbpp_84_sequence,0.2,3,13.2997,4.4332
mbpp_86_centered_hexagonal_number,0.2,3,13.1715,4.3905
mbpp_87_merge_dictionaries_three,0.2,3,7.7401,2.5800
mbpp_88_freq_count,0.2,3,27.3691,9.1230
mbpp_89_closest_num,0.2,3,184.5366,61.5122
mbpp_90_len_log,0.2,3,18.9247,6.3082
mbpp_91_find_substring,0.2,3,18.3572,6.1191
mbpp_92_is_undulating,0.2,3,22.8950,7.6317
mbpp_93_power,0.2,3,6.1590,2.0530
mbpp_94_index_minimum,0.2,3,33.7634,11.2545
mbpp_95_Find_Min_Length,0.2,3,19.7782,6.5927
mbpp_96_divisor,0.2,3,13.7605,4.5868
mbpp_97_frequency_lists,0.2,3,23.8940,7.9647
mbpp_99_decimal_to_binary,0.2,3,11.4637,3.8212
mbpp_100_next_smallest_palindrome,0.2,3,532.7096,177.5699
mbpp_101_kth_element,0.2,3,20.7453,6.9151
mbpp_102_snake_to_camel,0.2,3,20.1366,6.7122
mbpp_103_eulerian_num,0.2,3,273.9730,91.3243
mbpp_104_sort_sublists,0.2,3,15.0777,5.0259
mbpp_105_count,0.2,3,14.3658,4.7886
mbpp_106_add_lists,0.2,3,12.5897,4.1966
mbpp_108_merge_sorted_list,0.2,3,226.4425,75.4808
mbpp_109_odd_Equivalent,0.2,3,23.8897,7.9632
mbpp_113_check_integer,0.2,3,8.2820,2.7607
mbpp_116_tuple_to_int,0.2,3,11.5980,3.8660
mbpp_117_list_to_float,0.2,3,26.2635,8.7545
mbpp_118_string_to_list,0.2,3,3.9060,1.3020
mbpp_119_search,0.2,3,59.5368,19.8456
mbpp_120_max_product_tuple,0.2,3,51.0690,17.0230
mbpp_123_amicable_numbers_sum,0.2,3,692.3537,230.7846
mbpp_125_find_length,0.2,3,23.7819,7.9273
mbpp_126_sum,0.2,3,15.5363,5.1788
mbpp_127_multiply_int,0.2,3,2.8077,0.9359
mbpp_128_long_words,0.2,3,14.9319,4.9773
mbpp_129_magic_square_test,0.2,3,462.7795,154.2598
mbpp_130_max_occurrences,0.2,3,38.3362,12.7787
mbpp_131_reverse_vowels,0.2,3,94.8240,31.6080
mbpp_132_tup_string,0.2,3,11.2980,3.7660
mbpp_133_sum_negativenum,0.2,3,15.0405,5.0135
mbpp_135_hexagonal_num,0.2,3,3.8020,1.2673
