task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.2,3,3.1143,1.0381
mbpp_4_heap_queue_largest,0.2,3,22.1096,7.3699
mbpp_6_differ_At_One_Bit_Pos,0.2,3,3.7092,1.2364
mbpp_8_square_nums,0.2,3,3.1199,1.0400
mbpp_9_find_Rotations,0.2,3,23.4879,7.8293
mbpp_11_remove_Occ,0.2,3,3.2432,1.0811
mbpp_12_sort_matrix,0.2,3,5.1309,1.7103
mbpp_14_find_Volume,0.2,3,1.8955,0.6318
mbpp_16_text_lowercase_underscore,0.2,3,2.4398,0.8133
mbpp_17_square_perimeter,0.2,3,0.9475,0.3158
mbpp_18_remove_dirty_chars,0.2,3,3.3719,1.1240
mbpp_19_test_duplicate,0.2,3,21.2641,7.0880
mbpp_20_is_woodall,0.2,3,2.4399,0.8133
mbpp_56_checks,0.2,3,4.3190,1.4397
mbpp_57_find_Max_Num,0.2,3,5.0437,1.6812
mbpp_58_opposite_Signs,0.2,3,4.8869,1.6290
mbpp_59_is_octagonal,0.2,3,4.3991,1.4664
mbpp_61_count_Substrings,0.2,3,5.2629,1.7543
mbpp_62_smallest_num,0.2,3,4.5782,1.5261
mbpp_63_max_difference,0.2,3,33.2305,11.0768
mbpp_64_subject_marks,0.2,3,4.9775,1.6592
mbpp_65_recursive_list_sum,0.2,3,8.2905,2.7635
mbpp_66_pos_count,0.2,3,6.2333,2.0778
mbpp_67_bell_number,0.2,3,3.6205,1.2068
mbpp_68_is_Monotonic,0.2,3,8.8866,2.9622
mbpp_69_is_sublist,0.2,3,5.8931,1.9644
mbpp_70_get_equal,0.2,3,22.2195,7.4065
mbpp_71_comb_sort,0.2,3,12.4325,4.1442
mbpp_72_dif_Square,0.2,3,28.6143,9.5381
mbpp_74_is_samepatterns,0.2,3,20.4357,6.8119
mbpp_75_find_tuples,0.2,3,10.9432,3.6477
mbpp_77_is_Diff,0.2,3,3.9823,1.3274
mbpp_79_word_len,0.2,3,3.5084,1.1695
mbpp_80_tetrahedral_number,0.2,3,29.1046,9.7015
mbpp_83_get_Char,0.2,3,3.9906,1.3302
mbpp_84_sequence,0.2,3,3.9505,1.3168
mbpp_86_centered_hexagonal_number,0.2,3,38.7632,12.9211
mbpp_87_merge_dictionaries_three,0.2,3,16.3939,5.4646
mbpp_88_freq_count,0.2,3,41.4466,13.8155
mbpp_89_closest_num,0.2,3,4.1573,1.3858
mbpp_90_len_log,0.2,3,6.3413,2.1138
mbpp_91_find_substring,0.2,3,5.7738,1.9246
mbpp_92_is_undulating,0.2,3,6.7292,2.2431
mbpp_93_power,0.2,3,28.5003,9.5001
mbpp_94_index_minimum,0.2,3,6.4921,2.1640
mbpp_95_Find_Min_Length,0.2,3,6.8427,2.2809
mbpp_96_divisor,0.2,3,3.8568,1.2856
mbpp_97_frequency_lists,0.2,3,42.6655,14.2218
mbpp_99_decimal_to_binary,0.2,3,4.0569,1.3523
mbpp_100_next_smallest_palindrome,0.2,3,20.9277,6.9759
mbpp_101_kth_element,0.2,3,5.4363,1.8121
mbpp_102_snake_to_camel,0.2,3,5.3837,1.7946
mbpp_103_eulerian_num,0.2,3,8.8107,2.9369
mbpp_104_sort_sublists,0.2,3,26.5880,8.8627
mbpp_105_count,0.2,3,38.4834,12.8278
mbpp_106_add_lists,0.2,3,4.1884,1.3961
mbpp_108_merge_sorted_list,0.2,3,17.1992,5.7331
mbpp_109_odd_Equivalent,0.2,3,5.6669,1.8890
mbpp_113_check_integer,0.2,3,3.5698,1.1899
mbpp_116_tuple_to_int,0.2,3,4.9757,1.6586
mbpp_117_list_to_float,0.2,3,27.4540,9.1513
