task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.0,1,125.7590,125.7590
mbpp_4_heap_queue_largest,0.0,1,125.8837,125.8837
mbpp_6_differ_At_One_Bit_Pos,0.0,1,37.9861,37.9861
mbpp_8_square_nums,0.0,1,123.0890,123.0890
mbpp_9_find_Rotations,0.0,1,126.3656,126.3656
mbpp_11_remove_Occ,0.0,1,126.0550,126.0550
mbpp_12_sort_matrix,0.0,1,127.1796,127.1796
mbpp_14_find_Volume,0.0,1,55.7223,55.7223
mbpp_16_text_lowercase_underscore,0.0,1,125.9041,125.9041
mbpp_17_square_perimeter,0.0,1,36.0177,36.0177
mbpp_18_remove_dirty_chars,0.0,1,125.4447,125.4447
mbpp_19_test_duplicate,0.0,1,125.7667,125.7667
mbpp_20_is_woodall,0.0,1,42.6309,42.6309
mbpp_56_checks,0.0,1,125.3391,125.3391
mbpp_57_find_Max_Num,0.0,1,136.8497,136.8497
mbpp_58_opposite_Signs,0.0,1,51.4864,51.4864
mbpp_59_is_octagonal,0.0,1,125.6118,125.6118
mbpp_61_count_Substrings,0.0,1,125.4731,125.4731
mbpp_62_smallest_num,0.0,1,125.6236,125.6236
mbpp_63_max_difference,0.0,1,122.1514,122.1514
mbpp_64_subject_marks,0.0,1,124.7379,124.7379
mbpp_65_recursive_list_sum,0.0,1,124.4278,124.4278
mbpp_66_pos_count,0.0,1,125.4786,125.4786
mbpp_67_bell_number,0.0,1,121.9403,121.9403
mbpp_68_is_Monotonic,0.0,1,125.8180,125.8180
mbpp_69_is_sublist,0.0,1,125.6720,125.6720
mbpp_70_get_equal,0.0,1,133.6320,133.6320
mbpp_71_comb_sort,0.0,1,126.4861,126.4861
mbpp_72_dif_Square,0.0,1,127.5241,127.5241
mbpp_74_is_samepatterns,0.0,1,125.6704,125.6704
mbpp_75_find_tuples,0.0,1,122.7241,122.7241
mbpp_77_is_Diff,0.0,1,42.4773,42.4773
mbpp_79_word_len,0.0,1,57.7885,57.7885
mbpp_80_tetrahedral_number,0.0,1,126.2592,126.2592
mbpp_83_get_Char,0.0,1,125.9653,125.9653
mbpp_84_sequence,0.0,1,125.8926,125.8926
mbpp_86_centered_hexagonal_number,0.0,1,27.6672,27.6672
mbpp_87_merge_dictionaries_three,0.0,1,33.3945,33.3945
mbpp_88_freq_count,0.0,1,123.2258,123.2258
mbpp_89_closest_num,0.0,1,125.7662,125.7662
mbpp_90_len_log,0.0,1,125.6224,125.6224
mbpp_91_find_substring,0.0,1,125.6696,125.6696
mbpp_92_is_undulating,0.0,1,125.2098,125.2098
mbpp_93_power,0.0,1,125.4784,125.4784
mbpp_94_index_minimum,0.0,1,137.3509,137.3509
mbpp_95_Find_Min_Length,0.0,1,126.2812,126.2812
mbpp_96_divisor,0.0,1,125.6736,125.6736
mbpp_97_frequency_lists,0.0,1,123.4904,123.4904
mbpp_99_decimal_to_binary,0.0,1,126.0652,126.0652
mbpp_100_next_smallest_palindrome,0.0,1,128.5725,128.5725
mbpp_101_kth_element,0.0,1,28.0646,28.0646
mbpp_102_snake_to_camel,0.0,1,125.8283,125.8283
mbpp_103_eulerian_num,0.0,1,129.6273,129.6273
mbpp_104_sort_sublists,0.0,1,13.5908,13.5908
mbpp_105_count,0.0,1,52.8213,52.8213
mbpp_106_add_lists,0.0,1,58.9040,58.9040
mbpp_108_merge_sorted_list,0.0,1,127.2419,127.2419
mbpp_109_odd_Equivalent,0.0,1,125.8264,125.8264
mbpp_113_check_integer,0.0,1,125.9815,125.9815
mbpp_116_tuple_to_int,0.0,1,128.0106,128.0106
mbpp_117_list_to_float,0.0,1,126.0701,126.0701
mbpp_118_string_to_list,0.0,1,11.0653,11.0653
mbpp_119_search,0.0,1,129.2437,129.2437
mbpp_120_max_product_tuple,0.0,1,123.4966,123.4966
mbpp_123_amicable_numbers_sum,0.0,1,132.3153,132.3153
mbpp_125_find_length,0.0,1,126.3812,126.3812
mbpp_126_sum,0.0,1,125.2601,125.2601
mbpp_127_multiply_int,0.0,1,43.8996,43.8996
mbpp_128_long_words,0.0,1,71.4207,71.4207
mbpp_129_magic_square_test,0.0,1,129.2803,129.2803
mbpp_130_max_occurrences,0.0,1,125.5574,125.5574
mbpp_131_reverse_vowels,0.0,1,136.5351,136.5351
mbpp_132_tup_string,0.0,1,12.0748,12.0748
