task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.0,1,1.6985,1.6985
mbpp_4_heap_queue_largest,0.0,1,3.0753,3.0753
mbpp_6_differ_At_One_Bit_Pos,0.0,1,1.4649,1.4649
mbpp_8_square_nums,0.0,1,1.3988,1.3988
mbpp_9_find_Rotations,0.0,1,2.2377,2.2377
mbpp_11_remove_Occ,0.0,1,1.1057,1.1057
mbpp_12_sort_matrix,0.0,1,1.7584,1.7584
mbpp_14_find_Volume,0.0,1,0.2745,0.2745
mbpp_16_text_lowercase_underscore,0.0,1,1.9225,1.9225
mbpp_17_square_perimeter,0.0,1,0.1801,0.1801
mbpp_18_remove_dirty_chars,0.0,1,1.6865,1.6865
mbpp_19_test_duplicate,0.0,1,2.2592,2.2592
mbpp_20_is_woodall,0.0,1,0.6344,0.6344
mbpp_56_checks,0.0,1,3.0309,3.0309
mbpp_57_find_Max_Num,0.0,1,1.3329,1.3329
mbpp_58_opposite_Signs,0.0,1,0.6033,0.6033
mbpp_59_is_octagonal,0.0,1,0.6849,0.6849
mbpp_61_count_Substrings,0.0,1,3.4987,3.4987
mbpp_62_smallest_num,0.0,1,1.7355,1.7355
mbpp_63_max_difference,0.0,1,3.9550,3.9550
mbpp_64_subject_marks,0.0,1,0.6179,0.6179
mbpp_65_recursive_list_sum,0.0,1,1.2417,1.2417
mbpp_66_pos_count,0.0,1,1.5887,1.5887
mbpp_67_bell_number,0.0,1,1.2035,1.2035
mbpp_68_is_Monotonic,0.0,1,3.1685,3.1685
mbpp_69_is_sublist,0.0,1,1.8000,1.8000
mbpp_70_get_equal,0.0,1,2.1743,2.1743
mbpp_71_comb_sort,0.0,1,10.6116,10.6116
mbpp_72_dif_Square,0.0,1,76.4882,76.4882
mbpp_74_is_samepatterns,0.0,1,1.5551,1.5551
mbpp_75_find_tuples,0.0,1,4.4987,4.4987
mbpp_77_is_Diff,0.0,1,0.7096,0.7096
mbpp_79_word_len,0.0,1,0.6940,0.6940
mbpp_80_tetrahedral_number,0.0,1,0.4052,0.4052
mbpp_83_get_Char,0.0,1,1.3265,1.3265
mbpp_84_sequence,0.0,1,1.4380,1.4380
mbpp_86_centered_hexagonal_number,0.0,1,0.3556,0.3556
mbpp_87_merge_dictionaries_three,0.0,1,0.3814,0.3814
mbpp_88_freq_count,0.0,1,2.7638,2.7638
mbpp_89_closest_num,0.0,1,1.9242,1.9242
mbpp_90_len_log,0.0,1,1.9687,1.9687
