task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.0,1,1.0086,1.0086
mbpp_4_heap_queue_largest,0.0,1,8.2939,8.2939
mbpp_6_differ_At_One_Bit_Pos,0.0,1,1.2288,1.2288
mbpp_8_square_nums,0.0,1,1.5566,1.5566
mbpp_9_find_Rotations,0.0,1,1.1837,1.1837
mbpp_11_remove_Occ,0.0,1,1.0055,1.0055
mbpp_12_sort_matrix,0.0,1,1.8472,1.8472
mbpp_14_find_Volume,0.0,1,0.7696,0.7696
mbpp_16_text_lowercase_underscore,0.0,1,2.6122,2.6122
mbpp_17_square_perimeter,0.0,1,0.3139,0.3139
mbpp_18_remove_dirty_chars,0.0,1,1.3859,1.3859
mbpp_19_test_duplicate,0.0,1,10.1932,10.1932
mbpp_20_is_woodall,0.0,1,0.6419,0.6419
mbpp_56_checks,0.0,1,1.5302,1.5302
mbpp_57_find_Max_Num,0.0,1,1.2473,1.2473
mbpp_58_opposite_Signs,0.0,1,1.3855,1.3855
mbpp_59_is_octagonal,0.0,1,9.7350,9.7350
mbpp_61_count_Substrings,0.0,1,1.7102,1.7102
mbpp_62_smallest_num,0.0,1,1.5298,1.5298
mbpp_63_max_difference,0.0,1,2.5070,2.5070
mbpp_64_subject_marks,0.0,1,0.8907,0.8907
mbpp_65_recursive_list_sum,0.0,1,1.2152,1.2152
mbpp_66_pos_count,0.0,1,1.2775,1.2775
mbpp_67_bell_number,0.0,1,0.8182,0.8182
mbpp_68_is_Monotonic,0.0,1,9.4754,9.4754
mbpp_69_is_sublist,0.0,1,1.1833,1.1833
mbpp_70_get_equal,0.0,1,2.3127,2.3127
mbpp_71_comb_sort,0.0,1,3.7089,3.7089
mbpp_72_dif_Square,0.0,1,9.1473,9.1473
mbpp_74_is_samepatterns,0.0,1,9.9463,9.9463
mbpp_75_find_tuples,0.0,1,9.8355,9.8355
mbpp_77_is_Diff,0.0,1,0.6396,0.6396
mbpp_79_word_len,0.0,1,0.9704,0.9704
mbpp_80_tetrahedral_number,0.0,1,0.5005,0.5005
mbpp_83_get_Char,0.0,1,0.8793,0.8793
mbpp_84_sequence,0.0,1,10.0447,10.0447
mbpp_86_centered_hexagonal_number,0.0,1,10.7133,10.7133
mbpp_87_merge_dictionaries_three,0.0,1,9.7345,9.7345
mbpp_88_freq_count,0.0,1,9.5465,9.5465
mbpp_89_closest_num,0.0,1,0.9890,0.9890
mbpp_90_len_log,0.0,1,1.4853,1.4853
mbpp_91_find_substring,0.0,1,1.0708,1.0708
mbpp_92_is_undulating,0.0,1,1.7606,1.7606
mbpp_93_power,0.0,1,9.9638,9.9638
mbpp_94_index_minimum,0.0,1,1.7967,1.7967
mbpp_95_Find_Min_Length,0.0,1,1.5745,1.5745
mbpp_96_divisor,0.0,1,0.8819,0.8819
mbpp_97_frequency_lists,0.0,1,9.6059,9.6059
mbpp_99_decimal_to_binary,0.0,1,0.9876,0.9876
mbpp_100_next_smallest_palindrome,0.0,1,1.9917,1.9917
mbpp_101_kth_element,0.0,1,1.4208,1.4208
mbpp_102_snake_to_camel,0.0,1,1.7361,1.7361
mbpp_103_eulerian_num,0.0,1,10.1238,10.1238
mbpp_104_sort_sublists,0.0,1,9.7992,9.7992
mbpp_105_count,0.0,1,10.1716,10.1716
mbpp_106_add_lists,0.0,1,1.1323,1.1323
mbpp_108_merge_sorted_list,0.0,1,5.3487,5.3487
mbpp_109_odd_Equivalent,0.0,1,1.4266,1.4266
mbpp_113_check_integer,0.0,1,3.1468,3.1468
mbpp_116_tuple_to_int,0.0,1,1.4173,1.4173
mbpp_117_list_to_float,0.0,1,10.4275,10.4275
mbpp_118_string_to_list,0.0,1,0.3967,0.3967
mbpp_119_search,0.0,1,12.2491,12.2491
mbpp_120_max_product_tuple,0.0,1,2.5580,2.5580
mbpp_123_amicable_numbers_sum,0.0,1,12.1068,12.1068
mbpp_125_find_length,0.0,1,10.8118,10.8118
mbpp_126_sum,0.0,1,1.2726,1.2726
mbpp_127_multiply_int,0.0,1,10.7782,10.7782
mbpp_128_long_words,0.0,1,1.5836,1.5836
mbpp_129_magic_square_test,0.0,1,10.1658,10.1658
mbpp_130_max_occurrences,0.0,1,12.2894,12.2894
mbpp_131_reverse_vowels,0.0,1,2.9880,2.9880
mbpp_132_tup_string,0.0,1,1.7452,1.7452
mbpp_133_sum_negativenum,0.0,1,2.1330,2.1330
mbpp_135_hexagonal_num,0.0,1,0.4548,0.4548
mbpp_138_is_Sum_Of_Powers_Of_Two,0.0,1,1.9838,1.9838
mbpp_141_pancake_sort,0.0,1,12.3664,12.3664
mbpp_142_count_samepair,0.0,1,1.9562,1.9562
mbpp_143_find_lists,0.0,1,12.4503,12.4503
mbpp_145_max_Abs_Diff,0.0,1,2.6372,2.6372
mbpp_160_find_solution,0.0,1,11.9738,11.9738
mbpp_161_remove_elements,0.0,1,2.2604,2.2604
mbpp_162_sum_series,0.0,1,1.2517,1.2517
mbpp_164_are_equivalent,0.0,1,3.1404,3.1404
mbpp_165_count_char_position,0.0,1,1.4134,1.4134
mbpp_166_find_even_pair,0.0,1,1.5695,1.5695
mbpp_167_next_power_of_2,0.0,1,0.5958,0.5958
mbpp_168_frequency,0.0,1,1.6826,1.6826
mbpp_170_sum_range_list,0.0,1,12.8277,12.8277
mbpp_171_perimeter_pentagon,0.0,1,0.6755,0.6755
mbpp_172_count_occurance,0.0,1,12.4327,12.4327
mbpp_222_check_type,0.0,1,1.9151,1.9151
mbpp_223_is_majority,0.0,1,1.3137,1.3137
mbpp_224_count_Set_Bits,0.0,1,1.0602,1.0602
mbpp_226_odd_values_string,0.0,1,1.2928,1.2928
mbpp_227_min_of_three,0.0,1,1.5040,1.5040
mbpp_228_all_Bits_Set_In_The_Given_Range,0.0,1,1.5334,1.5334
mbpp_229_re_arrange_array,0.0,1,3.3573,3.3573
mbpp_230_replace_blank,0.0,1,0.6268,0.6268
mbpp_234_volume_cube,0.0,1,11.4918,11.4918
mbpp_237_check_occurences,0.0,1,2.1112,2.1112
mbpp_238_number_of_substrings,0.0,1,1.1420,1.1420
mbpp_239_get_total_number_of_sequences,0.0,1,3.1273,3.1273
mbpp_240_replace_list,0.0,1,1.0175,1.0175
mbpp_242_count_charac,0.0,1,0.7816,0.7816
mbpp_244_next_Perfect_Square,0.0,1,0.8632,0.8632
mbpp_245_max_sum,0.0,1,2.1043,2.1043
mbpp_247_lps,0.0,1,3.3269,3.3269
mbpp_249_intersection_array,0.0,1,2.0061,2.0061
mbpp_250_count_X,0.0,1,9.4959,9.4959
mbpp_251_insert_element,0.0,1,0.8424,0.8424
mbpp_252_convert,0.0,1,1.6644,1.6644
mbpp_253_count_integer,0.0,1,9.3836,9.3836
mbpp_255_combinations_colors,0.0,1,9.6448,9.6448
mbpp_256_count_Primes_nums,0.0,1,1.6208,1.6208
mbpp_257_swap_numbers,0.0,1,0.3651,0.3651
mbpp_259_maximize_elements,0.0,1,1.2942,1.2942
mbpp_260_newman_prime,0.0,1,10.2683,10.2683
mbpp_261_division_elements,0.0,1,1.4121,1.4121
mbpp_262_split_two_parts,0.0,1,10.9746,10.9746
mbpp_264_dog_age,0.0,1,9.7762,9.7762
mbpp_265_list_split,0.0,1,1.4183,1.4183
mbpp_266_lateralsurface_cube,0.0,1,9.6797,9.6797
mbpp_267_square_Sum,0.0,1,0.8355,0.8355
mbpp_268_find_star_num,0.0,1,0.7489,0.7489
mbpp_269_ascii_value,0.0,1,0.3269,0.3269
mbpp_270_sum_even_and_even_index,0.0,1,1.9249,1.9249
mbpp_271_even_Power_Sum,0.0,1,0.9394,0.9394
mbpp_272_rear_extract,0.0,1,1.0561,1.0561
mbpp_273_substract_elements,0.0,1,1.3081,1.3081
mbpp_274_even_binomial_Coeff_Sum,0.0,1,1.5959,1.5959
mbpp_277_dict_filter,0.0,1,9.4382,9.4382
mbpp_278_count_first_elements,0.0,1,9.4741,9.4741
mbpp_279_is_num_decagonal,0.0,1,9.4962,9.4962
mbpp_280_sequential_search,0.0,1,4.0956,4.0956
mbpp_281_all_unique,0.0,1,1.7259,1.7259
mbpp_282_sub_list,0.0,1,1.3646,1.3646
mbpp_283_validate,0.0,1,1.4757,1.4757
mbpp_284_check_element,0.0,1,1.5895,1.5895
mbpp_285_text_match_two_three,0.0,1,0.6126,0.6126
mbpp_286_max_sub_array_sum_repeated,0.0,1,5.9848,5.9848
mbpp_287_square_Sum,0.0,1,0.9370,0.9370
mbpp_290_max_length,0.0,1,1.4879,1.4879
mbpp_291_count_no_of_ways,0.0,1,1.9040,1.9040
mbpp_292_find,0.0,1,0.3578,0.3578
mbpp_293_otherside_rightangle,0.0,1,0.5854,0.5854
mbpp_294_max_val,0.0,1,1.6646,1.6646
mbpp_295_sum_div,0.0,1,0.9772,0.9772
