task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.2,3,4.2015,1.4005
mbpp_4_heap_queue_largest,0.2,3,9.9932,3.3311
mbpp_6_differ_At_One_Bit_Pos,0.2,3,4.2177,1.4059
mbpp_8_square_nums,0.2,3,1.3115,0.4372
mbpp_9_find_Rotations,0.2,3,6.2923,2.0974
mbpp_11_remove_Occ,0.2,3,6.6938,2.2313
mbpp_12_sort_matrix,0.2,3,16.7921,5.5974
mbpp_14_find_Volume,0.2,3,0.8665,0.2888
mbpp_16_text_lowercase_underscore,0.2,3,0.9759,0.3253
mbpp_17_square_perimeter,0.2,3,0.3203,0.1068
mbpp_18_remove_dirty_chars,0.2,3,3.8741,1.2914
mbpp_19_test_duplicate,0.2,3,3.7676,1.2559
mbpp_20_is_woodall,0.2,3,2.2503,0.7501
mbpp_56_checks,0.2,3,2.2336,0.7445
mbpp_57_find_Max_Num,0.2,3,1.7133,0.5711
mbpp_58_opposite_Signs,0.2,3,1.6646,0.5549
mbpp_59_is_octagonal,0.2,3,0.8979,0.2993
mbpp_61_count_Substrings,0.2,3,16.4480,5.4827
mbpp_62_smallest_num,0.2,3,0.4033,0.1344
mbpp_63_max_difference,0.2,3,8.2720,2.7573
mbpp_64_subject_marks,0.2,3,1.6052,0.5351
mbpp_65_recursive_list_sum,0.2,3,6.2812,2.0937
mbpp_66_pos_count,0.2,3,2.8809,0.9603
mbpp_67_bell_number,0.2,3,7.5467,2.5156
mbpp_68_is_Monotonic,0.2,3,7.7413,2.5804
mbpp_69_is_sublist,0.2,3,8.4182,2.8061
mbpp_70_get_equal,0.2,3,4.0774,1.3591
mbpp_71_comb_sort,0.2,3,13.6951,4.5650
mbpp_72_dif_Square,0.2,3,1.8001,0.6000
mbpp_74_is_samepatterns,0.2,3,6.0679,2.0226
mbpp_75_find_tuples,0.2,3,10.7243,3.5748
mbpp_77_is_Diff,0.2,3,1.2332,0.4111
mbpp_79_word_len,0.2,3,1.3981,0.4660
mbpp_80_tetrahedral_number,0.2,3,1.0014,0.3338
mbpp_83_get_Char,0.2,3,3.8424,1.2808
mbpp_84_sequence,0.2,3,7.0496,2.3499
mbpp_86_centered_hexagonal_number,0.2,3,0.7500,0.2500
mbpp_87_merge_dictionaries_three,0.2,3,0.7696,0.2565
mbpp_88_freq_count,0.2,3,5.9624,1.9875
mbpp_89_closest_num,0.2,3,2.9329,0.9776
mbpp_90_len_log,0.2,3,4.2571,1.4190
mbpp_91_find_substring,0.2,3,4.0453,1.3484
mbpp_92_is_undulating,0.2,3,12.1077,4.0359
mbpp_93_power,0.2,3,0.4761,0.1587
mbpp_94_index_minimum,0.2,3,4.2164,1.4055
mbpp_95_Find_Min_Length,0.2,3,4.5799,1.5266
mbpp_96_divisor,0.2,3,2.6411,0.8804
mbpp_97_frequency_lists,0.2,3,11.3957,3.7986
mbpp_99_decimal_to_binary,0.2,3,3.2398,1.0799
mbpp_100_next_smallest_palindrome,0.2,3,27.6934,9.2311
mbpp_101_kth_element,0.2,3,0.4066,0.1355
mbpp_102_snake_to_camel,0.2,3,7.0982,2.3661
mbpp_103_eulerian_num,0.2,3,7.7464,2.5821
mbpp_104_sort_sublists,0.2,3,1.8480,0.6160
mbpp_105_count,0.2,3,1.2872,0.4291
mbpp_106_add_lists,0.2,3,0.7974,0.2658
mbpp_108_merge_sorted_list,0.2,3,23.6657,7.8886
mbpp_109_odd_Equivalent,0.2,3,8.9386,2.9795
mbpp_113_check_integer,0.2,3,3.2360,1.0787
mbpp_116_tuple_to_int,0.2,3,2.4709,0.8236
mbpp_117_list_to_float,0.2,3,5.5662,1.8554
mbpp_118_string_to_list,0.2,3,0.3605,0.1202
mbpp_119_search,0.2,3,18.1761,6.0587
mbpp_120_max_product_tuple,0.2,3,11.6108,3.8703
mbpp_123_amicable_numbers_sum,0.2,3,9.2530,3.0843
mbpp_125_find_length,0.2,3,9.9369,3.3123
mbpp_126_sum,0.2,3,4.4142,1.4714
mbpp_127_multiply_int,0.2,3,0.3272,0.1091
mbpp_128_long_words,0.2,3,3.8534,1.2845
mbpp_129_magic_square_test,0.2,3,146.3819,48.7940
mbpp_130_max_occurrences,0.2,3,11.1934,3.7311
mbpp_131_reverse_vowels,0.2,3,22.0206,7.3402
mbpp_132_tup_string,0.2,3,0.3539,0.1180
mbpp_133_sum_negativenum,0.2,3,3.3595,1.1198
mbpp_135_hexagonal_num,0.2,3,0.5711,0.1904
mbpp_138_is_Sum_Of_Powers_Of_Two,0.2,3,3.4736,1.1579
mbpp_141_pancake_sort,0.2,3,10.9213,3.6404
mbpp_142_count_samepair,0.2,3,4.9888,1.6629
mbpp_143_find_lists,0.2,3,2.9892,0.9964
mbpp_145_max_Abs_Diff,0.2,3,8.1940,2.7313
mbpp_160_find_solution,0.2,3,3.6669,1.2223
mbpp_161_remove_elements,0.2,3,4.9994,1.6665
mbpp_162_sum_series,0.2,3,2.6243,0.8748
mbpp_164_are_equivalent,0.2,3,9.9136,3.3045
mbpp_165_count_char_position,0.2,3,4.0968,1.3656
mbpp_166_find_even_pair,0.2,3,6.4542,2.1514
mbpp_167_next_power_of_2,0.2,3,2.4166,0.8055
mbpp_168_frequency,0.2,3,2.9298,0.9766
mbpp_170_sum_range_list,0.2,3,2.2006,0.7335
mbpp_171_perimeter_pentagon,0.2,3,0.3562,0.1187
mbpp_172_count_occurance,0.2,3,5.2317,1.7439
mbpp_222_check_type,0.2,3,3.6274,1.2091
mbpp_223_is_majority,0.2,3,6.9150,2.3050
mbpp_224_count_Set_Bits,0.2,3,2.0012,0.6671
mbpp_226_odd_values_string,0.2,3,3.1345,1.0448
mbpp_227_min_of_three,0.2,3,1.9326,0.6442
mbpp_228_all_Bits_Set_In_The_Given_Range,0.2,3,3.7786,1.2595
mbpp_229_re_arrange_array,0.2,3,15.5293,5.1764
mbpp_230_replace_blank,0.2,3,0.8990,0.2997
mbpp_234_volume_cube,0.2,3,0.3461,0.1154
mbpp_237_check_occurences,0.2,3,6.1215,2.0405
mbpp_238_number_of_substrings,0.2,3,4.1065,1.3688
mbpp_239_get_total_number_of_sequences,0.2,3,7.4145,2.4715
mbpp_240_replace_list,0.2,3,1.0529,0.3510
mbpp_242_count_charac,0.2,3,0.8274,0.2758
mbpp_244_next_Perfect_Square,0.2,3,1.3083,0.4361
mbpp_245_max_sum,0.2,3,81.0076,27.0025
mbpp_247_lps,0.2,3,43.2946,14.4315
mbpp_249_intersection_array,0.2,3,7.1573,2.3858
mbpp_250_count_X,0.2,3,3.0238,1.0079
mbpp_251_insert_element,0.2,3,3.0660,1.0220
mbpp_252_convert,0.2,3,9.2510,3.0837
mbpp_253_count_integer,0.2,3,4.5110,1.5037
mbpp_255_combinations_colors,0.2,3,9.2718,3.0906
mbpp_256_count_Primes_nums,0.2,3,2.6174,0.8725
mbpp_257_swap_numbers,0.2,3,0.3965,0.1322
mbpp_259_maximize_elements,0.2,3,0.7395,0.2465
mbpp_260_newman_prime,0.2,3,3.5516,1.1839
mbpp_261_division_elements,0.2,3,5.9374,1.9791
mbpp_262_split_two_parts,0.2,3,2.5542,0.8514
mbpp_264_dog_age,0.2,3,1.5846,0.5282
mbpp_265_list_split,0.2,3,3.0258,1.0086
mbpp_266_lateralsurface_cube,0.2,3,0.3798,0.1266
mbpp_267_square_Sum,0.2,3,2.4849,0.8283
mbpp_268_find_star_num,0.2,3,0.6914,0.2305
mbpp_269_ascii_value,0.2,3,0.3947,0.1316
mbpp_270_sum_even_and_even_index,0.2,3,3.8954,1.2985
mbpp_271_even_Power_Sum,0.2,3,3.4128,1.1376
mbpp_272_rear_extract,0.2,3,2.2167,0.7389
mbpp_273_substract_elements,0.2,3,3.6188,1.2063
mbpp_274_even_binomial_Coeff_Sum,0.2,3,3.5561,1.1854
mbpp_277_dict_filter,0.2,3,2.9229,0.9743
mbpp_278_count_first_elements,0.2,3,2.7881,0.9294
mbpp_279_is_num_decagonal,0.2,3,1.1663,0.3888
mbpp_280_sequential_search,0.2,3,3.4127,1.1376
mbpp_281_all_unique,0.2,3,1.0152,0.3384
mbpp_282_sub_list,0.2,3,3.0975,1.0325
mbpp_283_validate,0.2,3,4.6869,1.5623
mbpp_284_check_element,0.2,3,2.3494,0.7831
mbpp_285_text_match_two_three,0.2,3,202.1389,67.3796
mbpp_286_max_sub_array_sum_repeated,0.2,3,14.1843,4.7281
mbpp_287_square_Sum,0.2,3,2.7418,0.9139
mbpp_290_max_length,0.2,3,3.9045,1.3015
mbpp_291_count_no_of_ways,0.2,3,9.8416,3.2805
mbpp_292_find,0.2,3,0.4400,0.1467
mbpp_293_otherside_rightangle,0.2,3,0.5851,0.1950
mbpp_294_max_val,0.2,3,3.8822,1.2941
mbpp_295_sum_div,0.2,3,2.8455,0.9485
mbpp_296_get_Inv_Count,0.2,3,5.1999,1.7333
mbpp_297_flatten_list,0.2,3,6.7651,2.2550
mbpp_299_max_aggregate,0.2,3,8.3137,2.7712
mbpp_304_find_Element,0.2,3,3.6144,1.2048
mbpp_305_start_withp,0.2,3,3.2630,1.0877
mbpp_306_max_sum_increasing_subseq,0.2,3,9.9234,3.3078
mbpp_308_large_product,0.2,3,15.5538,5.1846
mbpp_309_maximum,0.2,3,0.8456,0.2819
mbpp_310_string_to_tuple,0.2,3,0.6962,0.2321
mbpp_388_highest_Power_of_2,0.2,3,1.5362,0.5121
mbpp_389_find_lucas,0.2,3,3.2585,1.0862
mbpp_390_add_string,0.2,3,2.3267,0.7756
mbpp_391_convert_list_dictionary,0.2,3,11.4204,3.8068
mbpp_392_get_max_sum,0.2,3,4.1689,1.3896
mbpp_393_max_length_list,0.2,3,1.7515,0.5838
mbpp_394_check_distinct,0.2,3,2.5076,0.8359
mbpp_395_first_non_repeating_character,0.2,3,15.9827,5.3276
mbpp_396_check_char,0.2,3,1.9770,0.6590
mbpp_397_median_numbers,0.2,3,9.2952,3.0984
mbpp_398_sum_of_digits,0.2,3,5.2702,1.7567
mbpp_399_bitwise_xor,0.2,3,3.6391,1.2130
mbpp_400_extract_freq,0.2,3,7.3990,2.4663
mbpp_401_add_nested_tuples,0.2,3,5.6307,1.8769
mbpp_404_minimum,0.2,3,0.6635,0.2212
mbpp_405_check_tuplex,0.2,3,1.0276,0.3425
mbpp_406_find_Parity,0.2,3,1.2219,0.4073
mbpp_407_rearrange_bigger,0.2,3,38.4214,12.8071
mbpp_408_k_smallest_pairs,0.2,3,14.9024,4.9675
mbpp_409_min_product_tuple,0.2,3,8.3548,2.7849
mbpp_410_min_val,0.2,3,3.8991,1.2997
mbpp_411_snake_to_camel,0.2,3,6.1095,2.0365
mbpp_412_remove_odd,0.2,3,3.4627,1.1542
mbpp_413_extract_nth_element,0.2,3,1.4427,0.4809
mbpp_414_overlapping,0.2,3,4.6951,1.5650
mbpp_415_max_Product,0.2,3,25.0041,8.3347
mbpp_417_group_tuples,0.2,3,7.5187,2.5062
mbpp_418_Find_Max,0.2,3,6.3395,2.1132
mbpp_419_round_and_sum,0.2,3,5.2239,1.7413
mbpp_420_cube_Sum,0.2,3,2.5762,0.8587
mbpp_421_concatenate_tuple,0.2,3,7.5554,2.5185
mbpp_422_find_Average_Of_Cube,0.2,3,2.4357,0.8119
mbpp_424_extract_rear,0.2,3,2.5411,0.8470
mbpp_425_count_element_in_list,0.2,3,3.2315,1.0772
mbpp_426_filter_oddnumbers,0.2,3,2.8812,0.9604
mbpp_427_change_date_format,0.2,3,5.1150,1.7050
mbpp_428_shell_sort,0.2,3,18.2056,6.0685
mbpp_429_and_tuples,0.2,3,7.7158,2.5719
mbpp_430_parabola_directrix,0.2,3,0.5056,0.1685
mbpp_431_common_element,0.2,3,4.6941,1.5647
mbpp_432_median_trapezium,0.2,3,0.6651,0.2217
mbpp_433_check_greater,0.2,3,2.3236,0.7745
mbpp_434_text_match_one,0.2,3,1.4148,0.4716
mbpp_435_last_Digit,0.2,3,0.3986,0.1329
mbpp_436_neg_nos,0.2,3,3.9678,1.3226
mbpp_437_remove_odd,0.2,3,3.6029,1.2010
mbpp_438_count_bidirectional,0.2,3,5.6993,1.8998
mbpp_439_multiple_to_single,0.2,3,2.5689,0.8563
mbpp_440_find_adverb_position,0.2,3,42.8489,14.2830
mbpp_441_surfacearea_cube,0.2,3,0.3994,0.1331
mbpp_442_positive_count,0.2,3,2.9374,0.9791
mbpp_443_largest_neg,0.2,3,4.7909,1.5970
mbpp_444_trim_tuple,0.2,3,2.8533,0.9511
mbpp_445_index_multiplication,0.2,3,3.5569,1.1856
mbpp_446_count_Occurrence,0.2,3,2.9249,0.9750
mbpp_447_cube_nums,0.2,3,3.3398,1.1133
mbpp_448_cal_sum,0.2,3,9.2629,3.0876
mbpp_450_extract_string,0.2,3,3.6077,1.2026
mbpp_451_remove_whitespaces,0.2,3,0.5995,0.1998
mbpp_452_loss_amount,0.2,3,1.4064,0.4688
mbpp_453_sumofFactors,0.2,3,3.4768,1.1589
mbpp_454_text_match_wordz,0.2,3,0.6294,0.2098
mbpp_455_check_monthnumb_number,0.2,3,5.9309,1.9770
mbpp_456_reverse_string_list,0.2,3,3.5088,1.1696
mbpp_457_Find_Min,0.2,3,7.0455,2.3485
mbpp_458_rectangle_area,0.2,3,0.3164,0.1055
mbpp_459_remove_uppercase,0.2,3,3.3085,1.1028
mbpp_460_Extract,0.2,3,0.6943,0.2314
mbpp_461_upper_ctr,0.2,3,3.6697,1.2232
mbpp_462_combinations_list,0.2,3,5.9301,1.9767
mbpp_463_max_subarray_product,0.2,3,19.0501,6.3500
mbpp_464_check_value,0.2,3,2.4677,0.8226
mbpp_465_drop_empty,0.2,3,3.5810,1.1937
mbpp_468_max_product,0.2,3,17.3879,5.7960
mbpp_470_add_pairwise,0.2,3,3.7463,1.2488
mbpp_471_find_remainder,0.2,3,2.7999,0.9333
mbpp_472_check_Consecutive,0.2,3,2.9974,0.9991
