task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.2,3,42.8735,14.2912
mbpp_4_heap_queue_largest,0.2,3,32.7841,10.9280
mbpp_6_differ_At_One_Bit_Pos,0.2,3,37.3447,12.4482
mbpp_8_square_nums,0.2,3,5.3896,1.7965
mbpp_9_find_Rotations,0.2,3,39.4163,13.1388
mbpp_11_remove_Occ,0.2,3,8.0065,2.6688
mbpp_12_sort_matrix,0.2,3,10.3773,3.4591
mbpp_14_find_Volume,0.2,3,36.7407,12.2469
mbpp_16_text_lowercase_underscore,0.2,3,37.3144,12.4381
mbpp_17_square_perimeter,0.2,3,42.6147,14.2049
mbpp_18_remove_dirty_chars,0.2,3,5.0974,1.6991
mbpp_19_test_duplicate,0.2,3,32.6883,10.8961
mbpp_20_is_woodall,0.2,3,45.8605,15.2868
mbpp_56_checks,0.2,3,47.4784,15.8261
mbpp_57_find_Max_Num,0.2,3,3.9617,1.3206
mbpp_58_opposite_Signs,0.2,3,29.7899,9.9300
mbpp_59_is_octagonal,0.2,3,41.0690,13.6897
mbpp_61_count_Substrings,0.2,3,43.2172,14.4057
mbpp_62_smallest_num,0.2,3,26.3135,8.7712
mbpp_63_max_difference,0.2,3,38.1897,12.7299
mbpp_64_subject_marks,0.2,3,18.0768,6.0256
mbpp_65_recursive_list_sum,0.2,3,41.9984,13.9995
mbpp_66_pos_count,0.2,3,39.5190,13.1730
mbpp_67_bell_number,0.2,3,51.0450,17.0150
mbpp_68_is_Monotonic,0.2,3,45.8456,15.2819
mbpp_69_is_sublist,0.2,3,47.9588,15.9863
mbpp_70_get_equal,0.2,3,43.9298,14.6433
mbpp_71_comb_sort,0.2,3,11.0116,3.6705
mbpp_72_dif_Square,0.2,3,27.3653,9.1218
mbpp_74_is_samepatterns,0.2,3,39.1936,13.0645
mbpp_75_find_tuples,0.2,3,15.0317,5.0106
mbpp_77_is_Diff,0.2,3,18.8713,6.2904
mbpp_79_word_len,0.2,3,39.2364,13.0788
mbpp_80_tetrahedral_number,0.2,3,39.4108,13.1369
mbpp_83_get_Char,0.2,3,7.2712,2.4237
mbpp_84_sequence,0.2,3,45.7862,15.2621
mbpp_86_centered_hexagonal_number,0.2,3,45.2465,15.0822
mbpp_87_merge_dictionaries_three,0.2,3,10.0200,3.3400
mbpp_88_freq_count,0.2,3,9.4239,3.1413
mbpp_89_closest_num,0.2,3,46.4234,15.4745
mbpp_90_len_log,0.2,3,38.9152,12.9717
mbpp_91_find_substring,0.2,3,39.0688,13.0229
mbpp_92_is_undulating,0.2,3,43.4010,14.4670
mbpp_93_power,0.2,3,39.2943,13.0981
mbpp_94_index_minimum,0.2,3,39.5324,13.1775
mbpp_95_Find_Min_Length,0.2,3,21.0077,7.0026
mbpp_96_divisor,0.2,3,43.5763,14.5254
mbpp_97_frequency_lists,0.2,3,28.3510,9.4503
mbpp_99_decimal_to_binary,0.2,3,9.1213,3.0404
mbpp_100_next_smallest_palindrome,0.2,3,41.1982,13.7327
mbpp_101_kth_element,0.2,3,18.1176,6.0392
mbpp_102_snake_to_camel,0.2,3,18.9482,6.3161
mbpp_103_eulerian_num,0.2,3,39.9702,13.3234
mbpp_104_sort_sublists,0.2,3,8.8379,2.9460
mbpp_105_count,0.2,3,42.5081,14.1694
mbpp_106_add_lists,0.2,3,4.6301,1.5434
mbpp_108_merge_sorted_list,0.2,3,15.9782,5.3261
mbpp_109_odd_Equivalent,0.2,3,39.2063,13.0688
mbpp_113_check_integer,0.2,3,40.1395,13.3798
mbpp_116_tuple_to_int,0.2,3,45.2196,15.0732
mbpp_117_list_to_float,0.2,3,45.1449,15.0483
mbpp_118_string_to_list,0.2,3,32.3493,10.7831
mbpp_119_search,0.2,3,32.8896,10.9632
mbpp_120_max_product_tuple,0.2,3,19.3513,6.4504
mbpp_123_amicable_numbers_sum,0.2,3,12.6202,4.2067
mbpp_125_find_length,0.2,3,39.3131,13.1044
mbpp_126_sum,0.2,3,43.2346,14.4115
mbpp_127_multiply_int,0.2,3,39.3386,13.1129
mbpp_128_long_words,0.2,3,16.9889,5.6630
mbpp_129_magic_square_test,0.2,3,42.5415,14.1805
mbpp_130_max_occurrences,0.2,3,43.6366,14.5455
mbpp_131_reverse_vowels,0.2,3,14.4964,4.8321
mbpp_132_tup_string,0.2,3,22.1816,7.3939
mbpp_133_sum_negativenum,0.2,3,41.2021,13.7340
mbpp_135_hexagonal_num,0.2,3,39.4840,13.1613
mbpp_138_is_Sum_Of_Powers_Of_Two,0.2,3,39.9532,13.3177
mbpp_141_pancake_sort,0.2,3,15.9239,5.3080
mbpp_142_count_samepair,0.2,3,43.7298,14.5766
mbpp_143_find_lists,0.2,3,28.8884,9.6295
