task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.0,1,34.6274,34.6274
mbpp_4_heap_queue_largest,0.0,1,126.3244,126.3244
mbpp_6_differ_At_One_Bit_Pos,0.0,1,6.1113,6.1113
mbpp_8_square_nums,0.0,1,3.9720,3.9720
mbpp_9_find_Rotations,0.0,1,121.7051,121.7051
mbpp_11_remove_Occ,0.0,1,132.4244,132.4244
mbpp_12_sort_matrix,0.0,1,127.2921,127.2921
mbpp_14_find_Volume,0.0,1,6.0290,6.0290
mbpp_16_text_lowercase_underscore,0.0,1,4.4011,4.4011
mbpp_17_square_perimeter,0.0,1,2.1142,2.1142
mbpp_18_remove_dirty_chars,0.0,1,14.9181,14.9181
mbpp_19_test_duplicate,0.0,1,52.0143,52.0143
mbpp_20_is_woodall,0.0,1,7.7091,7.7091
mbpp_56_checks,0.0,1,19.0449,19.0449
mbpp_57_find_Max_Num,0.0,1,126.9627,126.9627
mbpp_58_opposite_Signs,0.0,1,9.5490,9.5490
mbpp_59_is_octagonal,0.0,1,95.4499,95.4499
mbpp_61_count_Substrings,0.0,1,122.5651,122.5651
mbpp_62_smallest_num,0.0,1,4.0220,4.0220
mbpp_63_max_difference,0.0,1,121.4090,121.4090
mbpp_64_subject_marks,0.0,1,124.6089,124.6089
mbpp_65_recursive_list_sum,0.0,1,54.9154,54.9154
mbpp_66_pos_count,0.0,1,28.3984,28.3984
mbpp_67_bell_number,0.0,1,122.8151,122.8151
mbpp_68_is_Monotonic,0.0,1,121.3722,121.3722
mbpp_69_is_sublist,0.0,1,28.6393,28.6393
mbpp_70_get_equal,0.0,1,20.1136,20.1136
mbpp_71_comb_sort,0.0,1,126.7999,126.7999
mbpp_72_dif_Square,0.0,1,2.0249,2.0249
mbpp_74_is_samepatterns,0.0,1,123.9044,123.9044
mbpp_75_find_tuples,0.0,1,121.3928,121.3928
mbpp_77_is_Diff,0.0,1,2.3936,2.3936
mbpp_79_word_len,0.0,1,2.6476,2.6476
mbpp_80_tetrahedral_number,0.0,1,8.7720,8.7720
mbpp_83_get_Char,0.0,1,123.0816,123.0816
mbpp_84_sequence,0.0,1,122.6878,122.6878
mbpp_86_centered_hexagonal_number,0.0,1,4.8990,4.8990
mbpp_87_merge_dictionaries_three,0.0,1,3.6777,3.6777
mbpp_88_freq_count,0.0,1,65.4627,65.4627
mbpp_89_closest_num,0.0,1,1.6666,1.6666
mbpp_90_len_log,0.0,1,51.5248,51.5248
mbpp_91_find_substring,0.0,1,7.0130,7.0130
mbpp_92_is_undulating,0.0,1,118.5817,118.5817
mbpp_93_power,0.0,1,2.4737,2.4737
mbpp_94_index_minimum,0.0,1,47.6081,47.6081
mbpp_95_Find_Min_Length,0.0,1,63.7627,63.7627
mbpp_96_divisor,0.0,1,24.7017,24.7017
mbpp_97_frequency_lists,0.0,1,121.3186,121.3186
mbpp_99_decimal_to_binary,0.0,1,37.5476,37.5476
