task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.0,1,1.7785,1.7785
mbpp_4_heap_queue_largest,0.0,1,8.5151,8.5151
mbpp_6_differ_At_One_Bit_Pos,0.0,1,0.4452,0.4452
mbpp_8_square_nums,0.0,1,0.5542,0.5542
mbpp_9_find_Rotations,0.0,1,3.8243,3.8243
mbpp_11_remove_Occ,0.0,1,4.6544,4.6544
mbpp_12_sort_matrix,0.0,1,23.5513,23.5513
mbpp_14_find_Volume,0.0,1,0.3406,0.3406
mbpp_16_text_lowercase_underscore,0.0,1,0.6074,0.6074
mbpp_17_square_perimeter,0.0,1,0.1882,0.1882
mbpp_18_remove_dirty_chars,0.0,1,2.4441,2.4441
mbpp_19_test_duplicate,0.0,1,3.1911,3.1911
mbpp_20_is_woodall,0.0,1,0.8043,0.8043
mbpp_56_checks,0.0,1,2.3449,2.3449
mbpp_57_find_Max_Num,0.0,1,1.2054,1.2054
mbpp_58_opposite_Signs,0.0,1,0.8633,0.8633
mbpp_59_is_octagonal,0.0,1,0.5444,0.5444
mbpp_61_count_Substrings,0.0,1,9.9399,9.9399
mbpp_62_smallest_num,0.0,1,0.3074,0.3074
mbpp_63_max_difference,0.0,1,5.8806,5.8806
mbpp_64_subject_marks,0.0,1,1.2262,1.2262
mbpp_65_recursive_list_sum,0.0,1,5.5360,5.5360
mbpp_66_pos_count,0.0,1,2.3836,2.3836
mbpp_67_bell_number,0.0,1,5.6924,5.6924
mbpp_68_is_Monotonic,0.0,1,6.0017,6.0017
mbpp_69_is_sublist,0.0,1,7.2939,7.2939
mbpp_70_get_equal,0.0,1,3.0087,3.0087
mbpp_71_comb_sort,0.0,1,11.0247,11.0247
mbpp_72_dif_Square,0.0,1,1.1526,1.1526
mbpp_74_is_samepatterns,0.0,1,3.2379,3.2379
mbpp_75_find_tuples,0.0,1,9.0342,9.0342
mbpp_77_is_Diff,0.0,1,1.2596,1.2596
mbpp_79_word_len,0.0,1,1.4582,1.4582
mbpp_80_tetrahedral_number,0.0,1,1.2133,1.2133
mbpp_83_get_Char,0.0,1,3.5442,3.5442
mbpp_84_sequence,0.0,1,6.6134,6.6134
mbpp_86_centered_hexagonal_number,0.0,1,0.7796,0.7796
mbpp_87_merge_dictionaries_three,0.0,1,0.8369,0.8369
mbpp_88_freq_count,0.0,1,5.3169,5.3169
mbpp_89_closest_num,0.0,1,3.5002,3.5002
mbpp_90_len_log,0.0,1,3.7825,3.7825
mbpp_91_find_substring,0.0,1,8.2696,8.2696
mbpp_92_is_undulating,0.0,1,10.8420,10.8420
mbpp_93_power,0.0,1,0.6064,0.6064
mbpp_94_index_minimum,0.0,1,3.4321,3.4321
mbpp_95_Find_Min_Length,0.0,1,4.9154,4.9154
mbpp_96_divisor,0.0,1,3.0480,3.0480
mbpp_97_frequency_lists,0.0,1,10.0561,10.0561
mbpp_99_decimal_to_binary,0.0,1,3.2470,3.2470
mbpp_100_next_smallest_palindrome,0.0,1,61.8988,61.8988
mbpp_101_kth_element,0.0,1,0.7379,0.7379
mbpp_102_snake_to_camel,0.0,1,8.5052,8.5052
mbpp_103_eulerian_num,0.0,1,5.7289,5.7289
mbpp_104_sort_sublists,0.0,1,2.3624,2.3624
mbpp_105_count,0.0,1,3.6201,3.6201
mbpp_106_add_lists,0.0,1,1.1002,1.1002
