task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.0,1,1.3218,1.3218
mbpp_4_heap_queue_largest,0.0,1,4.9320,4.9320
mbpp_6_differ_At_One_Bit_Pos,0.0,1,0.3054,0.3054
mbpp_8_square_nums,0.0,1,0.1879,0.1879
mbpp_9_find_Rotations,0.0,1,2.0133,2.0133
mbpp_11_remove_Occ,0.0,1,2.2367,2.2367
mbpp_12_sort_matrix,0.0,1,12.5430,12.5430
mbpp_14_find_Volume,0.0,1,0.1938,0.1938
mbpp_16_text_lowercase_underscore,0.0,1,0.3233,0.3233
mbpp_17_square_perimeter,0.0,1,0.1066,0.1066
mbpp_18_remove_dirty_chars,0.0,1,1.2170,1.2170
mbpp_19_test_duplicate,0.0,1,1.5535,1.5535
mbpp_20_is_woodall,0.0,1,0.3963,0.3963
mbpp_56_checks,0.0,1,0.6348,0.6348
mbpp_57_find_Max_Num,0.0,1,0.5993,0.5993
mbpp_58_opposite_Signs,0.0,1,0.4004,0.4004
mbpp_59_is_octagonal,0.0,1,0.2605,0.2605
mbpp_61_count_Substrings,0.0,1,4.6000,4.6000
mbpp_62_smallest_num,0.0,1,0.1373,0.1373
mbpp_63_max_difference,0.0,1,2.6392,2.6392
mbpp_64_subject_marks,0.0,1,0.5545,0.5545
mbpp_65_recursive_list_sum,0.0,1,2.4199,2.4199
mbpp_66_pos_count,0.0,1,0.9770,0.9770
mbpp_67_bell_number,0.0,1,2.4909,2.4909
mbpp_68_is_Monotonic,0.0,1,2.4716,2.4716
mbpp_69_is_sublist,0.0,1,2.6439,2.6439
mbpp_70_get_equal,0.0,1,1.1031,1.1031
mbpp_71_comb_sort,0.0,1,4.2654,4.2654
mbpp_72_dif_Square,0.0,1,0.4011,0.4011
mbpp_74_is_samepatterns,0.0,1,1.2530,1.2530
mbpp_75_find_tuples,0.0,1,3.5272,3.5272
mbpp_77_is_Diff,0.0,1,0.4197,0.4197
mbpp_79_word_len,0.0,1,0.4658,0.4658
mbpp_80_tetrahedral_number,0.0,1,0.4054,0.4054
mbpp_83_get_Char,0.0,1,1.2642,1.2642
mbpp_84_sequence,0.0,1,2.3469,2.3469
mbpp_86_centered_hexagonal_number,0.0,1,0.2380,0.2380
mbpp_87_merge_dictionaries_three,0.0,1,0.2397,0.2397
mbpp_88_freq_count,0.0,1,1.9608,1.9608
mbpp_89_closest_num,0.0,1,1.1312,1.1312
mbpp_90_len_log,0.0,1,1.2574,1.2574
mbpp_91_find_substring,0.0,1,2.9560,2.9560
mbpp_92_is_undulating,0.0,1,3.7330,3.7330
mbpp_93_power,0.0,1,0.1676,0.1676
mbpp_94_index_minimum,0.0,1,1.1199,1.1199
mbpp_95_Find_Min_Length,0.0,1,1.5282,1.5282
mbpp_96_divisor,0.0,1,0.9001,0.9001
mbpp_97_frequency_lists,0.0,1,3.7005,3.7005
mbpp_99_decimal_to_binary,0.0,1,0.9592,0.9592
mbpp_100_next_smallest_palindrome,0.0,1,31.8178,31.8178
mbpp_101_kth_element,0.0,1,0.1705,0.1705
mbpp_102_snake_to_camel,0.0,1,2.6600,2.6600
mbpp_103_eulerian_num,0.0,1,1.6847,1.6847
mbpp_104_sort_sublists,0.0,1,0.6057,0.6057
mbpp_105_count,0.0,1,0.9728,0.9728
mbpp_106_add_lists,0.0,1,0.2644,0.2644
mbpp_108_merge_sorted_list,0.0,1,22.7245,22.7245
mbpp_109_odd_Equivalent,0.0,1,3.6153,3.6153
mbpp_113_check_integer,0.0,1,0.4539,0.4539
mbpp_116_tuple_to_int,0.0,1,0.8865,0.8865
mbpp_117_list_to_float,0.0,1,0.4784,0.4784
mbpp_118_string_to_list,0.0,1,0.1187,0.1187
mbpp_119_search,0.0,1,6.0228,6.0228
mbpp_120_max_product_tuple,0.0,1,2.1831,2.1831
mbpp_123_amicable_numbers_sum,0.0,1,2.8101,2.8101
mbpp_125_find_length,0.0,1,3.4667,3.4667
