task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.0,1,6.0797,6.0797
mbpp_4_heap_queue_largest,0.0,1,4.2554,4.2554
mbpp_6_differ_At_One_Bit_Pos,0.0,1,5.5311,5.5311
mbpp_8_square_nums,0.0,1,0.5372,0.5372
mbpp_9_find_Rotations,0.0,1,5.5163,5.5163
mbpp_11_remove_Occ,0.0,1,1.2182,1.2182
mbpp_12_sort_matrix,0.0,1,2.0994,2.0994
mbpp_14_find_Volume,0.0,1,5.5187,5.5187
mbpp_16_text_lowercase_underscore,0.0,1,5.5146,5.5146
mbpp_17_square_perimeter,0.0,1,5.5107,5.5107
mbpp_18_remove_dirty_chars,0.0,1,0.6745,0.6745
mbpp_19_test_duplicate,0.0,1,5.5157,5.5157
mbpp_20_is_woodall,0.0,1,5.5145,5.5145
mbpp_56_checks,0.0,1,5.5125,5.5125
mbpp_57_find_Max_Num,0.0,1,0.4605,0.4605
mbpp_58_opposite_Signs,0.0,1,5.5258,5.5258
mbpp_59_is_octagonal,0.0,1,5.5293,5.5293
mbpp_61_count_Substrings,0.0,1,5.5204,5.5204
mbpp_62_smallest_num,0.0,1,5.5203,5.5203
mbpp_63_max_difference,0.0,1,5.5162,5.5162
mbpp_64_subject_marks,0.0,1,5.5148,5.5148
mbpp_65_recursive_list_sum,0.0,1,5.5353,5.5353
mbpp_66_pos_count,0.0,1,5.4952,5.4952
mbpp_67_bell_number,0.0,1,5.5071,5.5071
mbpp_68_is_Monotonic,0.0,1,5.5162,5.5162
mbpp_69_is_sublist,0.0,1,5.5120,5.5120
mbpp_70_get_equal,0.0,1,5.5236,5.5236
mbpp_71_comb_sort,0.0,1,1.6228,1.6228
mbpp_72_dif_Square,0.0,1,5.5137,5.5137
mbpp_74_is_samepatterns,0.0,1,5.5071,5.5071
mbpp_75_find_tuples,0.0,1,1.5553,1.5553
mbpp_77_is_Diff,0.0,1,0.3755,0.3755
mbpp_79_word_len,0.0,1,5.5140,5.5140
mbpp_80_tetrahedral_number,0.0,1,5.4971,5.4971
mbpp_83_get_Char,0.0,1,1.2198,1.2198
mbpp_84_sequence,0.0,1,5.5037,5.5037
mbpp_86_centered_hexagonal_number,0.0,1,5.5127,5.5127
mbpp_87_merge_dictionaries_three,0.0,1,1.1824,1.1824
mbpp_88_freq_count,0.0,1,0.8781,0.8781
mbpp_89_closest_num,0.0,1,5.5139,5.5139
mbpp_90_len_log,0.0,1,0.7397,0.7397
mbpp_91_find_substring,0.0,1,5.5016,5.5016
mbpp_92_is_undulating,0.0,1,5.5189,5.5189
mbpp_93_power,0.0,1,5.5253,5.5253
mbpp_94_index_minimum,0.0,1,5.5180,5.5180
mbpp_95_Find_Min_Length,0.0,1,5.5231,5.5231
mbpp_96_divisor,0.0,1,5.5395,5.5395
mbpp_97_frequency_lists,0.0,1,1.7269,1.7269
mbpp_99_decimal_to_binary,0.0,1,1.1714,1.1714
mbpp_100_next_smallest_palindrome,0.0,1,5.5443,5.5443
mbpp_101_kth_element,0.0,1,5.5401,5.5401
mbpp_102_snake_to_camel,0.0,1,1.5967,1.5967
mbpp_103_eulerian_num,0.0,1,5.5236,5.5236
mbpp_104_sort_sublists,0.0,1,1.2201,1.2201
mbpp_105_count,0.0,1,5.5280,5.5280
mbpp_106_add_lists,0.0,1,0.5342,0.5342
mbpp_108_merge_sorted_list,0.0,1,3.3167,3.3167
mbpp_109_odd_Equivalent,0.0,1,5.5174,5.5174
mbpp_113_check_integer,0.0,1,5.5223,5.5223
mbpp_116_tuple_to_int,0.0,1,5.5219,5.5219
mbpp_117_list_to_float,0.0,1,5.5202,5.5202
mbpp_118_string_to_list,0.0,1,5.5200,5.5200
mbpp_119_search,0.0,1,5.5378,5.5378
mbpp_120_max_product_tuple,0.0,1,5.5212,5.5212
mbpp_123_amicable_numbers_sum,0.0,1,1.2001,1.2001
mbpp_125_find_length,0.0,1,5.5274,5.5274
mbpp_126_sum,0.0,1,5.5180,5.5180
mbpp_127_multiply_int,0.0,1,5.5260,5.5260
mbpp_128_long_words,0.0,1,0.8149,0.8149
mbpp_129_magic_square_test,0.0,1,5.5194,5.5194
mbpp_130_max_occurrences,0.0,1,5.5240,5.5240
mbpp_131_reverse_vowels,0.0,1,2.6758,2.6758
mbpp_132_tup_string,0.0,1,5.5148,5.5148
mbpp_133_sum_negativenum,0.0,1,5.5084,5.5084
mbpp_135_hexagonal_num,0.0,1,5.4872,5.4872
mbpp_138_is_Sum_Of_Powers_Of_Two,0.0,1,5.5044,5.5044
mbpp_141_pancake_sort,0.0,1,1.9722,1.9722
mbpp_142_count_samepair,0.0,1,5.5028,5.5028
mbpp_143_find_lists,0.0,1,5.5114,5.5114
mbpp_145_max_Abs_Diff,0.0,1,5.5191,5.5191
mbpp_160_find_solution,0.0,1,1.2405,1.2405
mbpp_161_remove_elements,0.0,1,1.0996,1.0996
mbpp_162_sum_series,0.0,1,5.5449,5.5449
mbpp_164_are_equivalent,0.0,1,5.5205,5.5205
mbpp_165_count_char_position,0.0,1,5.5381,5.5381
mbpp_166_find_even_pair,0.0,1,5.5425,5.5425
mbpp_167_next_power_of_2,0.0,1,5.5357,5.5357
mbpp_168_frequency,0.0,1,5.5363,5.5363
mbpp_170_sum_range_list,0.0,1,5.5011,5.5011
mbpp_171_perimeter_pentagon,0.0,1,0.1934,0.1934
mbpp_172_count_occurance,0.0,1,5.5188,5.5188
mbpp_222_check_type,0.0,1,5.5137,5.5137
mbpp_223_is_majority,0.0,1,5.5239,5.5239
mbpp_224_count_Set_Bits,0.0,1,5.5399,5.5399
mbpp_226_odd_values_string,0.0,1,0.6649,0.6649
mbpp_227_min_of_three,0.0,1,5.5594,5.5594
mbpp_228_all_Bits_Set_In_The_Given_Range,0.0,1,5.5242,5.5242
mbpp_229_re_arrange_array,0.0,1,1.6541,1.6541
mbpp_230_replace_blank,0.0,1,5.5198,5.5198
mbpp_234_volume_cube,0.0,1,5.5421,5.5421
mbpp_237_check_occurences,0.0,1,2.1249,2.1249
mbpp_238_number_of_substrings,0.0,1,5.5310,5.5310
mbpp_239_get_total_number_of_sequences,0.0,1,5.5328,5.5328
mbpp_240_replace_list,0.0,1,0.6523,0.6523
mbpp_242_count_charac,0.0,1,5.5044,5.5044
mbpp_244_next_Perfect_Square,0.0,1,5.5220,5.5220
mbpp_245_max_sum,0.0,1,5.5323,5.5323
mbpp_247_lps,0.0,1,2.3648,2.3648
mbpp_249_intersection_array,0.0,1,1.2801,1.2801
mbpp_250_count_X,0.0,1,5.5215,5.5215
mbpp_251_insert_element,0.0,1,0.8189,0.8189
mbpp_252_convert,0.0,1,5.5392,5.5392
mbpp_253_count_integer,0.0,1,5.5310,5.5310
mbpp_255_combinations_colors,0.0,1,5.5368,5.5368
mbpp_256_count_Primes_nums,0.0,1,5.5347,5.5347
mbpp_257_swap_numbers,0.0,1,0.3118,0.3118
mbpp_259_maximize_elements,0.0,1,2.5823,2.5823
mbpp_260_newman_prime,0.0,1,5.5310,5.5310
mbpp_261_division_elements,0.0,1,1.1487,1.1487
mbpp_262_split_two_parts,0.0,1,5.5181,5.5181
mbpp_264_dog_age,0.0,1,4.0261,4.0261
mbpp_265_list_split,0.0,1,5.5299,5.5299
mbpp_266_lateralsurface_cube,0.0,1,5.5266,5.5266
mbpp_267_square_Sum,0.0,1,5.5249,5.5249
mbpp_268_find_star_num,0.0,1,5.5182,5.5182
mbpp_269_ascii_value,0.0,1,5.5156,5.5156
mbpp_270_sum_even_and_even_index,0.0,1,5.5230,5.5230
mbpp_271_even_Power_Sum,0.0,1,5.5404,5.5404
mbpp_272_rear_extract,0.0,1,0.7224,0.7224
mbpp_273_substract_elements,0.0,1,0.8787,0.8787
mbpp_274_even_binomial_Coeff_Sum,0.0,1,5.5309,5.5309
mbpp_277_dict_filter,0.0,1,1.2919,1.2919
mbpp_278_count_first_elements,0.0,1,0.8238,0.8238
mbpp_279_is_num_decagonal,0.0,1,5.5202,5.5202
mbpp_280_sequential_search,0.0,1,1.1374,1.1374
mbpp_281_all_unique,0.0,1,5.5234,5.5234
mbpp_282_sub_list,0.0,1,0.8007,0.8007
mbpp_283_validate,0.0,1,5.5047,5.5047
mbpp_284_check_element,0.0,1,5.5343,5.5343
mbpp_285_text_match_two_three,0.0,1,5.5084,5.5084
mbpp_286_max_sub_array_sum_repeated,0.0,1,1.5887,1.5887
mbpp_287_square_Sum,0.0,1,5.5391,5.5391
mbpp_290_max_length,0.0,1,5.5373,5.5373
mbpp_291_count_no_of_ways,0.0,1,5.5320,5.5320
mbpp_292_find,0.0,1,5.5236,5.5236
mbpp_293_otherside_rightangle,0.0,1,5.5036,5.5036
mbpp_294_max_val,0.0,1,5.5180,5.5180
mbpp_295_sum_div,0.0,1,5.5042,5.5042
mbpp_296_get_Inv_Count,0.0,1,5.5263,5.5263
mbpp_297_flatten_list,0.0,1,1.0583,1.0583
mbpp_299_max_aggregate,0.0,1,5.5103,5.5103
mbpp_304_find_Element,0.0,1,1.0125,1.0125
mbpp_305_start_withp,0.0,1,1.8230,1.8230
mbpp_306_max_sum_increasing_subseq,0.0,1,2.1308,2.1308
mbpp_308_large_product,0.0,1,2.2174,2.2174
mbpp_309_maximum,0.0,1,5.5159,5.5159
mbpp_310_string_to_tuple,0.0,1,0.4179,0.4179
mbpp_388_highest_Power_of_2,0.0,1,5.5219,5.5219
mbpp_389_find_lucas,0.0,1,5.5072,5.5072
mbpp_390_add_string,0.0,1,5.5238,5.5238
mbpp_391_convert_list_dictionary,0.0,1,0.9457,0.9457
mbpp_392_get_max_sum,0.0,1,5.5507,5.5507
mbpp_393_max_length_list,0.0,1,5.5524,5.5524
mbpp_394_check_distinct,0.0,1,0.7649,0.7649
mbpp_395_first_non_repeating_character,0.0,1,1.5669,1.5669
mbpp_396_check_char,0.0,1,5.5383,5.5383
mbpp_397_median_numbers,0.0,1,5.5269,5.5269
mbpp_398_sum_of_digits,0.0,1,5.5311,5.5311
mbpp_399_bitwise_xor,0.0,1,1.3136,1.3136
mbpp_400_extract_freq,0.0,1,5.5180,5.5180
mbpp_401_add_nested_tuples,0.0,1,1.1270,1.1270
mbpp_404_minimum,0.0,1,5.5046,5.5046
mbpp_405_check_tuplex,0.0,1,5.5179,5.5179
mbpp_406_find_Parity,0.0,1,0.3852,0.3852
mbpp_407_rearrange_bigger,0.0,1,5.5170,5.5170
mbpp_408_k_smallest_pairs,0.0,1,5.5179,5.5179
mbpp_409_min_product_tuple,0.0,1,5.5062,5.5062
mbpp_410_min_val,0.0,1,0.9643,0.9643
mbpp_411_snake_to_camel,0.0,1,1.3471,1.3471
mbpp_412_remove_odd,0.0,1,0.7186,0.7186
mbpp_413_extract_nth_element,0.0,1,0.7729,0.7729
mbpp_414_overlapping,0.0,1,5.5204,5.5204
mbpp_415_max_Product,0.0,1,5.5200,5.5200
