task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.2,3,372.1028,124.0343
mbpp_4_heap_queue_largest,0.2,3,386.0318,128.6773
mbpp_6_differ_At_One_Bit_Pos,0.2,3,63.5098,21.1699
mbpp_8_square_nums,0.2,3,10.5688,3.5229
mbpp_9_find_Rotations,0.2,3,287.8391,95.9464
mbpp_11_remove_Occ,0.2,3,362.6121,120.8707
mbpp_12_sort_matrix,0.2,3,372.1504,124.0501
mbpp_14_find_Volume,0.2,3,12.6422,4.2141
mbpp_16_text_lowercase_underscore,0.2,3,33.8375,11.2792
mbpp_17_square_perimeter,0.2,3,5.3908,1.7969
mbpp_18_remove_dirty_chars,0.2,3,72.4179,24.1393
mbpp_19_test_duplicate,0.2,3,385.3839,128.4613
mbpp_20_is_woodall,0.2,3,149.9363,49.9788
mbpp_56_checks,0.2,3,60.9853,20.3284
mbpp_57_find_Max_Num,0.2,3,390.7406,130.2469
mbpp_58_opposite_Signs,0.2,3,7.1777,2.3926
mbpp_59_is_octagonal,0.2,3,151.3842,50.4614
mbpp_61_count_Substrings,0.2,3,376.7426,125.5809
mbpp_62_smallest_num,0.2,3,368.8763,122.9588
mbpp_63_max_difference,0.2,3,366.9968,122.3323
mbpp_64_subject_marks,0.2,3,385.2903,128.4301
mbpp_65_recursive_list_sum,0.2,3,378.8878,126.2959
mbpp_66_pos_count,0.2,3,81.3179,27.1060
mbpp_67_bell_number,0.2,3,373.0739,124.3580
mbpp_68_is_Monotonic,0.2,3,371.4724,123.8241
mbpp_69_is_sublist,0.2,3,397.4993,132.4998
mbpp_70_get_equal,0.2,3,357.5511,119.1837
mbpp_71_comb_sort,0.2,3,372.1895,124.0632
mbpp_72_dif_Square,0.2,3,137.0778,45.6926
mbpp_74_is_samepatterns,0.2,3,150.9800,50.3267
mbpp_75_find_tuples,0.2,3,35.2717,11.7572
mbpp_77_is_Diff,0.2,3,7.0586,2.3529
mbpp_79_word_len,0.2,3,8.5341,2.8447
mbpp_80_tetrahedral_number,0.2,3,24.5560,8.1853
mbpp_83_get_Char,0.2,3,368.7514,122.9171
mbpp_84_sequence,0.2,3,377.6112,125.8704
mbpp_86_centered_hexagonal_number,0.2,3,14.7481,4.9160
mbpp_87_merge_dictionaries_three,0.2,3,10.7642,3.5881
mbpp_88_freq_count,0.2,3,183.2472,61.0824
mbpp_89_closest_num,0.2,3,144.9143,48.3048
mbpp_90_len_log,0.2,3,357.9463,119.3154
mbpp_91_find_substring,0.2,3,34.8446,11.6149
mbpp_92_is_undulating,0.2,3,373.7826,124.5942
mbpp_93_power,0.2,3,368.1351,122.7117
mbpp_94_index_minimum,0.2,3,387.7076,129.2359
mbpp_95_Find_Min_Length,0.2,3,368.3603,122.7868
mbpp_96_divisor,0.2,3,166.5529,55.5176
mbpp_97_frequency_lists,0.2,3,121.1041,40.3680
mbpp_99_decimal_to_binary,0.2,3,232.9891,77.6630
mbpp_100_next_smallest_palindrome,0.2,3,372.6286,124.2095
mbpp_101_kth_element,0.2,3,44.3405,14.7802
mbpp_102_snake_to_camel,0.2,3,146.6247,48.8749
mbpp_103_eulerian_num,0.2,3,318.4889,106.1630
mbpp_104_sort_sublists,0.2,3,9.3284,3.1095
mbpp_105_count,0.2,3,55.4856,18.4952
mbpp_106_add_lists,0.2,3,7.2279,2.4093
mbpp_108_merge_sorted_list,0.2,3,334.6504,111.5501
mbpp_109_odd_Equivalent,0.2,3,376.7949,125.5983
mbpp_113_check_integer,0.2,3,143.2305,47.7435
mbpp_116_tuple_to_int,0.2,3,378.3996,126.1332
mbpp_117_list_to_float,0.2,3,381.0885,127.0295
mbpp_118_string_to_list,0.2,3,4.0921,1.3640
mbpp_119_search,0.2,3,371.8046,123.9349
mbpp_120_max_product_tuple,0.2,3,369.7105,123.2368
mbpp_123_amicable_numbers_sum,0.2,3,378.9859,126.3286
mbpp_125_find_length,0.2,3,370.2111,123.4037
mbpp_126_sum,0.2,3,255.8775,85.2925
mbpp_127_multiply_int,0.2,3,4.5996,1.5332
mbpp_128_long_words,0.2,3,22.4859,7.4953
mbpp_129_magic_square_test,0.2,3,377.4442,125.8147
mbpp_130_max_occurrences,0.2,3,387.1357,129.0452
mbpp_131_reverse_vowels,0.2,3,392.4848,130.8283
mbpp_132_tup_string,0.2,3,3.8970,1.2990
mbpp_133_sum_negativenum,0.2,3,92.0860,30.6953
mbpp_135_hexagonal_num,0.2,3,10.3268,3.4423
mbpp_138_is_Sum_Of_Powers_Of_Two,0.2,3,109.8595,36.6198
mbpp_141_pancake_sort,0.2,3,372.5485,124.1828
mbpp_142_count_samepair,0.2,3,157.2006,52.4002
mbpp_143_find_lists,0.2,3,80.4300,26.8100
mbpp_145_max_Abs_Diff,0.2,3,383.7830,127.9277
mbpp_160_find_solution,0.2,3,375.7726,125.2575
mbpp_161_remove_elements,0.2,3,13.3580,4.4527
mbpp_162_sum_series,0.2,3,74.9168,24.9723
mbpp_164_are_equivalent,0.2,3,371.9031,123.9677
mbpp_165_count_char_position,0.2,3,313.1963,104.3988
mbpp_166_find_even_pair,0.2,3,250.2463,83.4154
mbpp_167_next_power_of_2,0.2,3,67.9851,22.6617
mbpp_168_frequency,0.2,3,91.1260,30.3753
mbpp_170_sum_range_list,0.2,3,66.5763,22.1921
mbpp_171_perimeter_pentagon,0.2,3,4.8863,1.6288
mbpp_172_count_occurance,0.2,3,107.5843,35.8614
mbpp_222_check_type,0.2,3,311.1707,103.7236
mbpp_223_is_majority,0.2,3,291.2892,97.0964
mbpp_224_count_Set_Bits,0.2,3,63.9095,21.3032
mbpp_226_odd_values_string,0.2,3,88.0745,29.3582
mbpp_227_min_of_three,0.2,3,77.4749,25.8250
mbpp_228_all_Bits_Set_In_The_Given_Range,0.2,3,131.8725,43.9575
mbpp_229_re_arrange_array,0.2,3,352.1328,117.3776
mbpp_230_replace_blank,0.2,3,7.3362,2.4454
mbpp_234_volume_cube,0.2,3,7.3693,2.4564
mbpp_237_check_occurences,0.2,3,250.1150,83.3717
mbpp_238_number_of_substrings,0.2,3,197.5440,65.8480
mbpp_239_get_total_number_of_sequences,0.2,3,380.0261,126.6754
mbpp_240_replace_list,0.2,3,55.6879,18.5626
mbpp_242_count_charac,0.2,3,4.7574,1.5858
mbpp_244_next_Perfect_Square,0.2,3,50.1007,16.7002
mbpp_245_max_sum,0.2,3,374.9538,124.9846
mbpp_247_lps,0.2,3,384.3593,128.1198
mbpp_249_intersection_array,0.2,3,181.7828,60.5943
mbpp_250_count_X,0.2,3,92.2919,30.7640
mbpp_251_insert_element,0.2,3,86.2412,28.7471
mbpp_252_convert,0.2,3,379.0961,126.3654
mbpp_253_count_integer,0.2,3,81.1751,27.0584
mbpp_255_combinations_colors,0.2,3,375.9472,125.3157
mbpp_256_count_Primes_nums,0.2,3,384.3152,128.1051
mbpp_257_swap_numbers,0.2,3,5.5412,1.8471
mbpp_259_maximize_elements,0.2,3,364.8647,121.6216
mbpp_260_newman_prime,0.2,3,900.0862,300.0287
mbpp_261_division_elements,0.2,3,368.4947,122.8316
mbpp_262_split_two_parts,0.2,3,175.6210,58.5403
mbpp_264_dog_age,0.2,3,900.1077,300.0359
mbpp_265_list_split,0.2,3,336.1450,112.0483
mbpp_266_lateralsurface_cube,0.2,3,9.5996,3.1999
mbpp_267_square_Sum,0.2,3,115.7538,38.5846
mbpp_268_find_star_num,0.2,3,181.3659,60.4553
mbpp_269_ascii_value,0.2,3,900.0845,300.0282
mbpp_270_sum_even_and_even_index,0.2,3,106.3629,35.4543
mbpp_271_even_Power_Sum,0.2,3,253.1947,84.3982
mbpp_272_rear_extract,0.2,3,18.2329,6.0776
mbpp_273_substract_elements,0.2,3,177.1343,59.0448
mbpp_274_even_binomial_Coeff_Sum,0.2,3,177.2157,59.0719
mbpp_277_dict_filter,0.2,3,382.6814,127.5605
mbpp_278_count_first_elements,0.2,3,98.9620,32.9873
mbpp_279_is_num_decagonal,0.2,3,126.9762,42.3254
mbpp_280_sequential_search,0.2,3,88.6832,29.5611
mbpp_281_all_unique,0.2,3,266.5308,88.8436
mbpp_282_sub_list,0.2,3,235.6753,78.5584
mbpp_283_validate,0.2,3,368.5908,122.8636
mbpp_284_check_element,0.2,3,25.7606,8.5869
mbpp_285_text_match_two_three,0.2,3,14.8673,4.9558
mbpp_286_max_sub_array_sum_repeated,0.2,3,373.9579,124.6526
mbpp_287_square_Sum,0.2,3,120.1837,40.0612
mbpp_290_max_length,0.2,3,367.7851,122.5950
mbpp_291_count_no_of_ways,0.2,3,388.1667,129.3889
mbpp_292_find,0.2,3,19.0195,6.3398
mbpp_293_otherside_rightangle,0.2,3,13.7701,4.5900
mbpp_294_max_val,0.2,3,186.7779,62.2593
mbpp_295_sum_div,0.2,3,82.5027,27.5009
