task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.2,3,53.8686,17.9562
mbpp_4_heap_queue_largest,0.2,3,49.6846,16.5615
mbpp_6_differ_At_One_Bit_Pos,0.2,3,55.8002,18.6001
mbpp_8_square_nums,0.2,3,56.2494,18.7498
mbpp_9_find_Rotations,0.2,3,63.6660,21.2220
mbpp_11_remove_Occ,0.2,3,7.7548,2.5849
mbpp_12_sort_matrix,0.2,3,38.9997,12.9999
mbpp_14_find_Volume,0.2,3,20.8641,6.9547
mbpp_16_text_lowercase_underscore,0.2,3,56.3299,18.7766
mbpp_17_square_perimeter,0.2,3,56.2440,18.7480
mbpp_18_remove_dirty_chars,0.2,3,15.5097,5.1699
mbpp_19_test_duplicate,0.2,3,46.0046,15.3349
mbpp_20_is_woodall,0.2,3,58.4787,19.4929
mbpp_56_checks,0.2,3,47.0757,15.6919
mbpp_57_find_Max_Num,0.2,3,55.7104,18.5701
mbpp_58_opposite_Signs,0.2,3,24.2816,8.0939
mbpp_59_is_octagonal,0.2,3,56.7419,18.9140
mbpp_61_count_Substrings,0.2,3,55.7734,18.5911
mbpp_62_smallest_num,0.2,3,59.6404,19.8801
mbpp_63_max_difference,0.2,3,7.6846,2.5615
mbpp_64_subject_marks,0.2,3,5.8802,1.9601
mbpp_65_recursive_list_sum,0.2,3,59.1524,19.7175
mbpp_66_pos_count,0.2,3,56.7031,18.9010
mbpp_67_bell_number,0.2,3,42.2248,14.0749
mbpp_68_is_Monotonic,0.2,3,56.8256,18.9419
mbpp_69_is_sublist,0.2,3,55.0290,18.3430
mbpp_70_get_equal,0.2,3,60.2090,20.0697
mbpp_71_comb_sort,0.2,3,30.7881,10.2627
mbpp_72_dif_Square,0.2,3,58.4893,19.4964
mbpp_74_is_samepatterns,0.2,3,44.9796,14.9932
mbpp_75_find_tuples,0.2,3,13.2106,4.4035
mbpp_77_is_Diff,0.2,3,5.2854,1.7618
mbpp_79_word_len,0.2,3,56.2163,18.7388
mbpp_80_tetrahedral_number,0.2,3,56.5817,18.8606
mbpp_83_get_Char,0.2,3,9.6449,3.2150
mbpp_84_sequence,0.2,3,57.2915,19.0972
mbpp_86_centered_hexagonal_number,0.2,3,41.5220,13.8407
mbpp_87_merge_dictionaries_three,0.2,3,13.9589,4.6530
mbpp_88_freq_count,0.2,3,10.9768,3.6589
mbpp_89_closest_num,0.2,3,57.8277,19.2759
mbpp_90_len_log,0.2,3,24.2627,8.0876
mbpp_91_find_substring,0.2,3,55.4297,18.4766
mbpp_92_is_undulating,0.2,3,57.5108,19.1703
mbpp_93_power,0.2,3,56.2992,18.7664
mbpp_94_index_minimum,0.2,3,8.5523,2.8508
mbpp_95_Find_Min_Length,0.2,3,59.5878,19.8626
mbpp_96_divisor,0.2,3,59.1470,19.7157
mbpp_97_frequency_lists,0.2,3,40.9847,13.6616
mbpp_99_decimal_to_binary,0.2,3,14.4630,4.8210
mbpp_100_next_smallest_palindrome,0.2,3,58.6202,19.5401
mbpp_101_kth_element,0.2,3,45.1083,15.0361
mbpp_102_snake_to_camel,0.2,3,16.9107,5.6369
mbpp_103_eulerian_num,0.2,3,56.1424,18.7141
mbpp_104_sort_sublists,0.2,3,14.7563,4.9188
mbpp_105_count,0.2,3,59.5755,19.8585
mbpp_106_add_lists,0.2,3,6.7937,2.2646
mbpp_108_merge_sorted_list,0.2,3,18.5945,6.1982
mbpp_109_odd_Equivalent,0.2,3,59.0281,19.6760
mbpp_113_check_integer,0.2,3,57.1028,19.0343
mbpp_116_tuple_to_int,0.2,3,55.9096,18.6365
mbpp_117_list_to_float,0.2,3,18.8247,6.2749
mbpp_118_string_to_list,0.2,3,50.6155,16.8718
mbpp_119_search,0.2,3,56.1241,18.7080
mbpp_120_max_product_tuple,0.2,3,52.9081,17.6360
mbpp_123_amicable_numbers_sum,0.2,3,31.6984,10.5661
mbpp_125_find_length,0.2,3,57.4678,19.1559
mbpp_126_sum,0.2,3,56.0575,18.6858
mbpp_127_multiply_int,0.2,3,57.2893,19.0964
mbpp_128_long_words,0.2,3,8.8961,2.9654
mbpp_129_magic_square_test,0.2,3,55.4422,18.4807
mbpp_130_max_occurrences,0.2,3,57.8299,19.2766
mbpp_131_reverse_vowels,0.2,3,22.3793,7.4598
mbpp_132_tup_string,0.2,3,13.3375,4.4458
mbpp_133_sum_negativenum,0.2,3,58.6936,19.5645
mbpp_135_hexagonal_num,0.2,3,57.4754,19.1585
mbpp_138_is_Sum_Of_Powers_Of_Two,0.2,3,43.2861,14.4287
mbpp_141_pancake_sort,0.2,3,22.1285,7.3762
mbpp_142_count_samepair,0.2,3,56.6740,18.8913
mbpp_143_find_lists,0.2,3,44.7746,14.9249
mbpp_145_max_Abs_Diff,0.2,3,48.9273,16.3091
mbpp_160_find_solution,0.2,3,25.0203,8.3401
mbpp_161_remove_elements,0.2,3,13.0747,4.3582
mbpp_162_sum_series,0.2,3,58.1362,19.3787
mbpp_164_are_equivalent,0.2,3,56.9215,18.9738
mbpp_165_count_char_position,0.2,3,55.3867,18.4622
mbpp_166_find_even_pair,0.2,3,56.5339,18.8446
mbpp_167_next_power_of_2,0.2,3,27.7914,9.2638
mbpp_168_frequency,0.2,3,58.4650,19.4883
mbpp_170_sum_range_list,0.2,3,34.3328,11.4443
mbpp_171_perimeter_pentagon,0.2,3,2.2277,0.7426
mbpp_172_count_occurance,0.2,3,58.5111,19.5037
mbpp_222_check_type,0.2,3,9.3704,3.1235
mbpp_223_is_majority,0.2,3,45.0281,15.0094
mbpp_224_count_Set_Bits,0.2,3,54.5530,18.1843
mbpp_226_odd_values_string,0.2,3,8.1329,2.7110
mbpp_227_min_of_three,0.2,3,57.3866,19.1289
mbpp_228_all_Bits_Set_In_The_Given_Range,0.2,3,55.7098,18.5699
mbpp_229_re_arrange_array,0.2,3,18.7352,6.2451
mbpp_230_replace_blank,0.2,3,59.5174,19.8391
mbpp_234_volume_cube,0.2,3,40.4245,13.4748
mbpp_237_check_occurences,0.2,3,11.8542,3.9514
mbpp_238_number_of_substrings,0.2,3,57.0355,19.0118
mbpp_239_get_total_number_of_sequences,0.2,3,55.6606,18.5535
mbpp_240_replace_list,0.2,3,33.2367,11.0789
mbpp_242_count_charac,0.2,3,39.6316,13.2105
mbpp_244_next_Perfect_Square,0.2,3,56.6209,18.8736
mbpp_245_max_sum,0.2,3,60.0313,20.0104
mbpp_247_lps,0.2,3,47.1389,15.7130
