task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.5,5,17.6230,3.5246
mbpp_4_heap_queue_largest,0.5,5,45.0397,9.0079
mbpp_6_differ_At_One_Bit_Pos,0.5,5,7.0435,1.4087
mbpp_8_square_nums,0.5,5,4.3340,0.8668
mbpp_9_find_Rotations,0.5,5,18.5030,3.7006
mbpp_11_remove_Occ,0.5,5,12.8787,2.5757
mbpp_12_sort_matrix,0.5,5,42.0646,8.4129
mbpp_14_find_Volume,0.5,5,3.4145,0.6829
mbpp_16_text_lowercase_underscore,0.5,5,5.1657,1.0331
mbpp_17_square_perimeter,0.5,5,1.6235,0.3247
mbpp_18_remove_dirty_chars,0.5,5,38.5217,7.7043
mbpp_19_test_duplicate,0.5,5,21.9571,4.3914
mbpp_20_is_woodall,0.5,5,257.5332,51.5066
mbpp_56_checks,0.5,5,13.8524,2.7705
mbpp_57_find_Max_Num,0.5,5,34.8745,6.9749
mbpp_58_opposite_Signs,0.5,5,5.0007,1.0001
mbpp_59_is_octagonal,0.5,5,38.0961,7.6192
mbpp_61_count_Substrings,0.5,5,34.3624,6.8725
mbpp_62_smallest_num,0.5,5,6.7160,1.3432
mbpp_63_max_difference,0.5,5,196.8215,39.3643
mbpp_64_subject_marks,0.5,5,5.8334,1.1667
mbpp_65_recursive_list_sum,0.5,5,16.6566,3.3313
mbpp_66_pos_count,0.5,5,11.0780,2.2156
mbpp_67_bell_number,0.5,5,23.0048,4.6010
mbpp_68_is_Monotonic,0.5,5,25.7735,5.1547
mbpp_69_is_sublist,0.5,5,23.7999,4.7600
mbpp_70_get_equal,0.5,5,19.3082,3.8616
mbpp_71_comb_sort,0.5,5,49.5150,9.9030
mbpp_72_dif_Square,0.5,5,12.9737,2.5947
mbpp_74_is_samepatterns,0.5,5,48.1707,9.6341
mbpp_75_find_tuples,0.5,5,129.2616,25.8523
mbpp_77_is_Diff,0.5,5,4.2532,0.8506
mbpp_79_word_len,0.5,5,6.2821,1.2564
mbpp_80_tetrahedral_number,0.5,5,5.0047,1.0009
mbpp_83_get_Char,0.5,5,15.4211,3.0842
mbpp_84_sequence,0.5,5,28.3442,5.6688
mbpp_86_centered_hexagonal_number,0.5,5,4.5722,0.9144
mbpp_87_merge_dictionaries_three,0.5,5,3.9106,0.7821
mbpp_88_freq_count,0.5,5,18.4750,3.6950
mbpp_89_closest_num,0.5,5,45.7490,9.1498
mbpp_90_len_log,0.5,5,14.7881,2.9576
mbpp_91_find_substring,0.5,5,6.2987,1.2597
mbpp_92_is_undulating,0.5,5,28.9591,5.7918
mbpp_93_power,0.5,5,5.7073,1.1415
mbpp_94_index_minimum,0.5,5,111.6030,22.3206
mbpp_95_Find_Min_Length,0.5,5,20.2888,4.0578
mbpp_96_divisor,0.5,5,10.7733,2.1547
mbpp_97_frequency_lists,0.5,5,33.1863,6.6373
mbpp_99_decimal_to_binary,0.5,5,13.6672,2.7334
mbpp_100_next_smallest_palindrome,0.5,5,98.7081,19.7416
mbpp_101_kth_element,0.5,5,4.7604,0.9521
mbpp_102_snake_to_camel,0.5,5,17.5664,3.5133
mbpp_103_eulerian_num,0.5,5,24.1426,4.8285
mbpp_104_sort_sublists,0.5,5,10.3764,2.0753
mbpp_105_count,0.5,5,4.3562,0.8712
mbpp_106_add_lists,0.5,5,29.6749,5.9350
mbpp_108_merge_sorted_list,0.5,5,10.2599,2.0520
mbpp_109_odd_Equivalent,0.5,5,60.5484,12.1097
mbpp_113_check_integer,0.5,5,9.0634,1.8127
mbpp_116_tuple_to_int,0.5,5,4.1193,0.8239
mbpp_117_list_to_float,0.5,5,105.2560,21.0512
mbpp_118_string_to_list,0.5,5,1.9055,0.3811
mbpp_119_search,0.5,5,57.7491,11.5498
mbpp_120_max_product_tuple,0.5,5,36.5206,7.3041
mbpp_123_amicable_numbers_sum,0.5,5,31.8127,6.3625
mbpp_125_find_length,0.5,5,34.9310,6.9862
mbpp_126_sum,0.5,5,18.7812,3.7562
mbpp_127_multiply_int,0.5,5,1.6271,0.3254
mbpp_128_long_words,0.5,5,15.5814,3.1163
mbpp_129_magic_square_test,0.5,5,334.2291,66.8458
mbpp_130_max_occurrences,0.5,5,73.3372,14.6674
mbpp_131_reverse_vowels,0.5,5,110.8594,22.1719
mbpp_132_tup_string,0.5,5,2.7519,0.5504
mbpp_133_sum_negativenum,0.5,5,12.3915,2.4783
mbpp_135_hexagonal_num,0.5,5,2.6920,0.5384
mbpp_138_is_Sum_Of_Powers_Of_Two,0.5,5,18.7514,3.7503
mbpp_141_pancake_sort,0.5,5,53.2176,10.6435
mbpp_142_count_samepair,0.5,5,23.3260,4.6652
mbpp_143_find_lists,0.5,5,12.3408,2.4682
mbpp_145_max_Abs_Diff,0.5,5,34.7376,6.9475
mbpp_160_find_solution,0.5,5,92.0229,18.4046
mbpp_161_remove_elements,0.5,5,16.3749,3.2750
mbpp_162_sum_series,0.5,5,10.5625,2.1125
mbpp_164_are_equivalent,0.5,5,81.6831,16.3366
mbpp_165_count_char_position,0.5,5,84.5640,16.9128
mbpp_166_find_even_pair,0.5,5,20.9241,4.1848
mbpp_167_next_power_of_2,0.5,5,6.2596,1.2519
mbpp_168_frequency,0.5,5,11.2701,2.2540
mbpp_170_sum_range_list,0.5,5,11.1277,2.2255
mbpp_171_perimeter_pentagon,0.5,5,23.3339,4.6668
mbpp_172_count_occurance,0.5,5,23.0973,4.6195
mbpp_222_check_type,0.5,5,128.2860,25.6572
mbpp_223_is_majority,0.5,5,30.7058,6.1412
mbpp_224_count_Set_Bits,0.5,5,11.2030,2.2406
mbpp_226_odd_values_string,0.5,5,12.8985,2.5797
