task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.0,1,123.2753,123.2753
mbpp_4_heap_queue_largest,0.0,1,127.6926,127.6926
mbpp_6_differ_At_One_Bit_Pos,0.0,1,17.4671,17.4671
mbpp_8_square_nums,0.0,1,4.4760,4.4760
mbpp_9_find_Rotations,0.0,1,77.6123,77.6123
mbpp_11_remove_Occ,0.0,1,123.2247,123.2247
mbpp_12_sort_matrix,0.0,1,124.0450,124.0450
mbpp_14_find_Volume,0.0,1,5.0416,5.0416
mbpp_16_text_lowercase_underscore,0.0,1,7.0268,7.0268
mbpp_17_square_perimeter,0.0,1,2.0804,2.0804
mbpp_18_remove_dirty_chars,0.0,1,43.8372,43.8372
mbpp_19_test_duplicate,0.0,1,128.7750,128.7750
mbpp_20_is_woodall,0.0,1,88.9225,88.9225
mbpp_56_checks,0.0,1,23.4100,23.4100
mbpp_57_find_Max_Num,0.0,1,130.9285,130.9285
mbpp_58_opposite_Signs,0.0,1,2.9545,2.9545
mbpp_59_is_octagonal,0.0,1,42.2913,42.2913
mbpp_61_count_Substrings,0.0,1,122.1360,122.1360
mbpp_62_smallest_num,0.0,1,122.2572,122.2572
mbpp_63_max_difference,0.0,1,122.5020,122.5020
mbpp_64_subject_marks,0.0,1,131.4763,131.4763
mbpp_65_recursive_list_sum,0.0,1,128.0185,128.0185
mbpp_66_pos_count,0.0,1,27.7051,27.7051
mbpp_67_bell_number,0.0,1,124.8694,124.8694
mbpp_68_is_Monotonic,0.0,1,122.5756,122.5756
mbpp_69_is_sublist,0.0,1,138.5297,138.5297
mbpp_70_get_equal,0.0,1,122.5418,122.5418
mbpp_71_comb_sort,0.0,1,124.0273,124.0273
mbpp_72_dif_Square,0.0,1,7.1841,7.1841
mbpp_74_is_samepatterns,0.0,1,47.6031,47.6031
mbpp_75_find_tuples,0.0,1,13.8087,13.8087
mbpp_77_is_Diff,0.0,1,2.4872,2.4872
mbpp_79_word_len,0.0,1,2.7211,2.7211
mbpp_80_tetrahedral_number,0.0,1,10.0121,10.0121
mbpp_83_get_Char,0.0,1,123.0402,123.0402
mbpp_84_sequence,0.0,1,130.5277,130.5277
mbpp_86_centered_hexagonal_number,0.0,1,5.3843,5.3843
mbpp_87_merge_dictionaries_three,0.0,1,4.0458,4.0458
mbpp_88_freq_count,0.0,1,85.2716,85.2716
mbpp_89_closest_num,0.0,1,19.6129,19.6129
mbpp_90_len_log,0.0,1,116.0779,116.0779
mbpp_91_find_substring,0.0,1,28.9148,28.9148
mbpp_92_is_undulating,0.0,1,124.7327,124.7327
mbpp_93_power,0.0,1,121.8871,121.8871
mbpp_94_index_minimum,0.0,1,129.2868,129.2868
mbpp_95_Find_Min_Length,0.0,1,123.1589,123.1589
mbpp_96_divisor,0.0,1,26.3761,26.3761
mbpp_97_frequency_lists,0.0,1,42.8113,42.8113
mbpp_99_decimal_to_binary,0.0,1,74.8015,74.8015
mbpp_100_next_smallest_palindrome,0.0,1,122.9036,122.9036
mbpp_101_kth_element,0.0,1,16.0329,16.0329
mbpp_102_snake_to_camel,0.0,1,10.0117,10.0117
mbpp_103_eulerian_num,0.0,1,55.0644,55.0644
mbpp_104_sort_sublists,0.0,1,11.9889,11.9889
mbpp_105_count,0.0,1,27.6061,27.6061
mbpp_106_add_lists,0.0,1,2.2022,2.2022
mbpp_108_merge_sorted_list,0.0,1,123.7547,123.7547
mbpp_109_odd_Equivalent,0.0,1,122.1292,122.1292
mbpp_113_check_integer,0.0,1,79.2143,79.2143
mbpp_116_tuple_to_int,0.0,1,125.3724,125.3724
mbpp_117_list_to_float,0.0,1,121.0892,121.0892
mbpp_118_string_to_list,0.0,1,1.6931,1.6931
mbpp_119_search,0.0,1,124.5394,124.5394
mbpp_120_max_product_tuple,0.0,1,124.2953,124.2953
mbpp_123_amicable_numbers_sum,0.0,1,124.1582,124.1582
mbpp_125_find_length,0.0,1,122.8023,122.8023
mbpp_126_sum,0.0,1,127.8879,127.8879
mbpp_127_multiply_int,0.0,1,1.6097,1.6097
mbpp_128_long_words,0.0,1,9.5269,9.5269
mbpp_129_magic_square_test,0.0,1,129.2651,129.2651
mbpp_130_max_occurrences,0.0,1,124.9980,124.9980
mbpp_131_reverse_vowels,0.0,1,139.5949,139.5949
mbpp_132_tup_string,0.0,1,1.7079,1.7079
mbpp_133_sum_negativenum,0.0,1,31.9670,31.9670
mbpp_135_hexagonal_num,0.0,1,4.1735,4.1735
mbpp_138_is_Sum_Of_Powers_Of_Two,0.0,1,19.6460,19.6460
mbpp_141_pancake_sort,0.0,1,125.9223,125.9223
mbpp_142_count_samepair,0.0,1,49.0467,49.0467
mbpp_143_find_lists,0.0,1,26.9297,26.9297
mbpp_145_max_Abs_Diff,0.0,1,131.1520,131.1520
mbpp_160_find_solution,0.0,1,124.5262,124.5262
mbpp_161_remove_elements,0.0,1,5.6433,5.6433
mbpp_162_sum_series,0.0,1,26.7033,26.7033
mbpp_164_are_equivalent,0.0,1,122.0760,122.0760
mbpp_165_count_char_position,0.0,1,122.8813,122.8813
mbpp_166_find_even_pair,0.0,1,82.7197,82.7197
mbpp_167_next_power_of_2,0.0,1,21.6836,21.6836
mbpp_168_frequency,0.0,1,31.1790,31.1790
mbpp_170_sum_range_list,0.0,1,23.8281,23.8281
mbpp_171_perimeter_pentagon,0.0,1,2.0359,2.0359
mbpp_172_count_occurance,0.0,1,35.6592,35.6592
mbpp_222_check_type,0.0,1,117.9324,117.9324
mbpp_223_is_majority,0.0,1,39.8151,39.8151
mbpp_224_count_Set_Bits,0.0,1,15.7676,15.7676
mbpp_226_odd_values_string,0.0,1,31.4213,31.4213
mbpp_227_min_of_three,0.0,1,29.2789,29.2789
mbpp_228_all_Bits_Set_In_The_Given_Range,0.0,1,44.4722,44.4722
mbpp_229_re_arrange_array,0.0,1,122.9017,122.9017
mbpp_230_replace_blank,0.0,1,2.8902,2.8902
mbpp_234_volume_cube,0.0,1,2.5741,2.5741
mbpp_237_check_occurences,0.0,1,90.4280,90.4280
mbpp_238_number_of_substrings,0.0,1,77.5195,77.5195
mbpp_239_get_total_number_of_sequences,0.0,1,98.0811,98.0811
mbpp_240_replace_list,0.0,1,20.0407,20.0407
mbpp_242_count_charac,0.0,1,1.4518,1.4518
mbpp_244_next_Perfect_Square,0.0,1,17.3596,17.3596
mbpp_245_max_sum,0.0,1,124.2938,124.2938
mbpp_247_lps,0.0,1,129.4304,129.4304
mbpp_249_intersection_array,0.0,1,65.4931,65.4931
mbpp_250_count_X,0.0,1,29.9978,29.9978
mbpp_251_insert_element,0.0,1,26.6340,26.6340
mbpp_252_convert,0.0,1,124.9171,124.9171
mbpp_253_count_integer,0.0,1,28.5000,28.5000
mbpp_255_combinations_colors,0.0,1,132.4534,132.4534
mbpp_256_count_Primes_nums,0.0,1,127.8623,127.8623
mbpp_257_swap_numbers,0.0,1,2.1470,2.1470
mbpp_259_maximize_elements,0.0,1,114.7996,114.7996
mbpp_260_newman_prime,0.0,1,300.0588,300.0588
mbpp_261_division_elements,0.0,1,122.6693,122.6693
mbpp_262_split_two_parts,0.0,1,61.6465,61.6465
mbpp_264_dog_age,0.0,1,300.0452,300.0452
mbpp_265_list_split,0.0,1,127.8209,127.8209
mbpp_266_lateralsurface_cube,0.0,1,3.2609,3.2609
mbpp_267_square_Sum,0.0,1,46.0135,46.0135
mbpp_268_find_star_num,0.0,1,56.6854,56.6854
mbpp_269_ascii_value,0.0,1,301.2942,301.2942
mbpp_270_sum_even_and_even_index,0.0,1,35.1172,35.1172
mbpp_271_even_Power_Sum,0.0,1,87.8020,87.8020
mbpp_272_rear_extract,0.0,1,6.7672,6.7672
mbpp_273_substract_elements,0.0,1,112.7361,112.7361
mbpp_274_even_binomial_Coeff_Sum,0.0,1,26.1288,26.1288
mbpp_277_dict_filter,0.0,1,128.7224,128.7224
mbpp_278_count_first_elements,0.0,1,32.4719,32.4719
mbpp_279_is_num_decagonal,0.0,1,19.8109,19.8109
mbpp_280_sequential_search,0.0,1,30.6477,30.6477
