task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.0,1,2.1788,2.1788
mbpp_4_heap_queue_largest,0.0,1,3.8029,3.8029
mbpp_6_differ_At_One_Bit_Pos,0.0,1,1.0118,1.0118
mbpp_8_square_nums,0.0,1,0.2743,0.2743
mbpp_9_find_Rotations,0.0,1,3.7000,3.7000
mbpp_11_remove_Occ,0.0,1,2.2765,2.2765
mbpp_12_sort_matrix,0.0,1,7.8256,7.8256
mbpp_14_find_Volume,0.0,1,0.3242,0.3242
mbpp_16_text_lowercase_underscore,0.0,1,0.8793,0.8793
mbpp_17_square_perimeter,0.0,1,0.1836,0.1836
mbpp_18_remove_dirty_chars,0.0,1,2.9587,2.9587
mbpp_19_test_duplicate,0.0,1,3.8864,3.8864
mbpp_20_is_woodall,0.0,1,2.3458,2.3458
mbpp_56_checks,0.0,1,1.3445,1.3445
mbpp_57_find_Max_Num,0.0,1,2.6765,2.6765
mbpp_58_opposite_Signs,0.0,1,0.4042,0.4042
mbpp_59_is_octagonal,0.0,1,0.4624,0.4624
mbpp_61_count_Substrings,0.0,1,4.0808,4.0808
mbpp_62_smallest_num,0.0,1,0.3903,0.3903
mbpp_63_max_difference,0.0,1,1.1567,1.1567
mbpp_64_subject_marks,0.0,1,0.8699,0.8699
mbpp_65_recursive_list_sum,0.0,1,4.6372,4.6372
mbpp_66_pos_count,0.0,1,2.4368,2.4368
mbpp_67_bell_number,0.0,1,7.4236,7.4236
mbpp_68_is_Monotonic,0.0,1,6.1324,6.1324
mbpp_69_is_sublist,0.0,1,3.1524,3.1524
mbpp_70_get_equal,0.0,1,3.7538,3.7538
mbpp_71_comb_sort,0.0,1,13.3426,13.3426
mbpp_72_dif_Square,0.0,1,1.1032,1.1032
mbpp_74_is_samepatterns,0.0,1,2.2621,2.2621
mbpp_75_find_tuples,0.0,1,2.2791,2.2791
mbpp_77_is_Diff,0.0,1,1.1530,1.1530
mbpp_79_word_len,0.0,1,1.6996,1.6996
mbpp_80_tetrahedral_number,0.0,1,0.8488,0.8488
mbpp_83_get_Char,0.0,1,3.0749,3.0749
mbpp_84_sequence,0.0,1,6.8779,6.8779
mbpp_86_centered_hexagonal_number,0.0,1,0.6514,0.6514
mbpp_87_merge_dictionaries_three,0.0,1,0.7648,0.7648
mbpp_88_freq_count,0.0,1,5.1478,5.1478
mbpp_89_closest_num,0.0,1,12.9198,12.9198
mbpp_90_len_log,0.0,1,3.9342,3.9342
mbpp_91_find_substring,0.0,1,1.5207,1.5207
mbpp_92_is_undulating,0.0,1,4.9189,4.9189
mbpp_93_power,0.0,1,0.5400,0.5400
mbpp_94_index_minimum,0.0,1,1.3833,1.3833
mbpp_95_Find_Min_Length,0.0,1,4.1626,4.1626
mbpp_96_divisor,0.0,1,2.8473,2.8473
mbpp_97_frequency_lists,0.0,1,10.5920,10.5920
mbpp_99_decimal_to_binary,0.0,1,4.3696,4.3696
