task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.0,1,3.6664,3.6664
mbpp_4_heap_queue_largest,0.0,1,5.1746,5.1746
mbpp_6_differ_At_One_Bit_Pos,0.0,1,1.7380,1.7380
mbpp_8_square_nums,0.0,1,0.6493,0.6493
mbpp_9_find_Rotations,0.0,1,3.8864,3.8864
mbpp_11_remove_Occ,0.0,1,2.3043,2.3043
mbpp_12_sort_matrix,0.0,1,6.8359,6.8359
mbpp_14_find_Volume,0.0,1,0.5005,0.5005
mbpp_16_text_lowercase_underscore,0.0,1,0.6895,0.6895
mbpp_17_square_perimeter,0.0,1,0.3160,0.3160
mbpp_18_remove_dirty_chars,0.0,1,3.0843,3.0843
mbpp_19_test_duplicate,0.0,1,3.8748,3.8748
mbpp_20_is_woodall,0.0,1,3.1101,3.1101
mbpp_56_checks,0.0,1,1.3950,1.3950
mbpp_57_find_Max_Num,0.0,1,2.9317,2.9317
mbpp_58_opposite_Signs,0.0,1,0.5415,0.5415
mbpp_59_is_octagonal,0.0,1,0.5723,0.5723
mbpp_61_count_Substrings,0.0,1,5.7997,5.7997
mbpp_62_smallest_num,0.0,1,0.4493,0.4493
mbpp_63_max_difference,0.0,1,18.8767,18.8767
mbpp_64_subject_marks,0.0,1,0.9455,0.9455
mbpp_65_recursive_list_sum,0.0,1,3.9788,3.9788
mbpp_66_pos_count,0.0,1,2.2792,2.2792
mbpp_67_bell_number,0.0,1,5.0416,5.0416
mbpp_68_is_Monotonic,0.0,1,4.9028,4.9028
mbpp_69_is_sublist,0.0,1,2.9561,2.9561
mbpp_70_get_equal,0.0,1,2.8382,2.8382
mbpp_71_comb_sort,0.0,1,9.6024,9.6024
mbpp_72_dif_Square,0.0,1,0.8797,0.8797
mbpp_74_is_samepatterns,0.0,1,2.0415,2.0415
mbpp_75_find_tuples,0.0,1,19.1627,19.1627
mbpp_77_is_Diff,0.0,1,1.0776,1.0776
mbpp_79_word_len,0.0,1,1.6388,1.6388
mbpp_80_tetrahedral_number,0.0,1,0.7708,0.7708
mbpp_83_get_Char,0.0,1,2.5322,2.5322
mbpp_84_sequence,0.0,1,5.4015,5.4015
mbpp_86_centered_hexagonal_number,0.0,1,0.6376,0.6376
mbpp_87_merge_dictionaries_three,0.0,1,0.6534,0.6534
mbpp_88_freq_count,0.0,1,3.8988,3.8988
mbpp_89_closest_num,0.0,1,7.1277,7.1277
mbpp_90_len_log,0.0,1,2.9715,2.9715
mbpp_91_find_substring,0.0,1,1.0797,1.0797
mbpp_92_is_undulating,0.0,1,3.4750,3.4750
mbpp_93_power,0.0,1,0.4383,0.4383
mbpp_94_index_minimum,0.0,1,19.6087,19.6087
mbpp_95_Find_Min_Length,0.0,1,3.0508,3.0508
mbpp_96_divisor,0.0,1,2.1298,2.1298
mbpp_97_frequency_lists,0.0,1,8.4761,8.4761
mbpp_99_decimal_to_binary,0.0,1,3.2224,3.2224
mbpp_100_next_smallest_palindrome,0.0,1,6.8531,6.8531
mbpp_101_kth_element,0.0,1,1.3842,1.3842
mbpp_102_snake_to_camel,0.0,1,3.8107,3.8107
mbpp_103_eulerian_num,0.0,1,4.6724,4.6724
mbpp_104_sort_sublists,0.0,1,2.7812,2.7812
mbpp_105_count,0.0,1,0.4071,0.4071
mbpp_106_add_lists,0.0,1,0.7295,0.7295
mbpp_108_merge_sorted_list,0.0,1,1.7841,1.7841
mbpp_109_odd_Equivalent,0.0,1,3.8852,3.8852
mbpp_113_check_integer,0.0,1,0.5507,0.5507
mbpp_116_tuple_to_int,0.0,1,0.3002,0.3002
mbpp_117_list_to_float,0.0,1,19.3850,19.3850
mbpp_118_string_to_list,0.0,1,0.3373,0.3373
mbpp_119_search,0.0,1,14.0975,14.0975
mbpp_120_max_product_tuple,0.0,1,8.5167,8.5167
mbpp_123_amicable_numbers_sum,0.0,1,2.3491,2.3491
mbpp_125_find_length,0.0,1,7.4435,7.4435
mbpp_126_sum,0.0,1,3.3085,3.3085
mbpp_127_multiply_int,0.0,1,0.3158,0.3158
mbpp_128_long_words,0.0,1,3.6712,3.6712
mbpp_129_magic_square_test,0.0,1,87.5061,87.5061
mbpp_130_max_occurrences,0.0,1,9.0933,9.0933
mbpp_131_reverse_vowels,0.0,1,16.6388,16.6388
mbpp_132_tup_string,0.0,1,0.4645,0.4645
mbpp_133_sum_negativenum,0.0,1,2.6330,2.6330
mbpp_135_hexagonal_num,0.0,1,0.5663,0.5663
mbpp_138_is_Sum_Of_Powers_Of_Two,0.0,1,2.6830,2.6830
mbpp_141_pancake_sort,0.0,1,12.9487,12.9487
mbpp_142_count_samepair,0.0,1,3.5603,3.5603
mbpp_143_find_lists,0.0,1,2.2345,2.2345
