task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.01,8.4642
mbpp_4_heap_queue_largest,0.01,9.6699
mbpp_6_differ_At_One_Bit_Pos,0.01,4.9056
mbpp_8_square_nums,0.01,2.2427
mbpp_9_find_Rotations,0.01,8.0525
mbpp_11_remove_Occ,0.01,18.6322
mbpp_12_sort_matrix,0.01,7.1939
mbpp_14_find_Volume,0.01,1.9409
mbpp_16_text_lowercase_underscore,0.01,2.7782
mbpp_17_square_perimeter,0.01,1.0489
mbpp_18_remove_dirty_chars,0.01,7.9483
mbpp_19_test_duplicate,0.01,7.2921
mbpp_20_is_woodall,0.01,6.8188
mbpp_56_checks,0.01,9.6951
mbpp_57_find_Max_Num,0.01,8.8504
mbpp_58_opposite_Signs,0.01,1.7033
mbpp_59_is_octagonal,0.01,344.4125
mbpp_61_count_Substrings,0.01,30.3230
mbpp_62_smallest_num,0.01,1.4743
mbpp_63_max_difference,0.01,14.5057
mbpp_64_subject_marks,0.01,3.9819
mbpp_65_recursive_list_sum,0.01,11.9451
mbpp_66_pos_count,0.01,6.4056
mbpp_67_bell_number,0.01,51.1943
mbpp_68_is_Monotonic,0.01,10.6240
mbpp_69_is_sublist,0.01,26.7931
mbpp_70_get_equal,0.01,7.1961
mbpp_71_comb_sort,0.01,34.3869
mbpp_72_dif_Square,0.01,3.0719
mbpp_74_is_samepatterns,0.01,29.6138
mbpp_75_find_tuples,0.01,41.7506
mbpp_77_is_Diff,0.01,13.7741
mbpp_79_word_len,0.01,1.6162
mbpp_80_tetrahedral_number,0.01,3.0965
mbpp_83_get_Char,0.01,8.3883
mbpp_84_sequence,0.01,6.1819
mbpp_86_centered_hexagonal_number,0.01,2.3435
mbpp_87_merge_dictionaries_three,0.01,2.8959
mbpp_88_freq_count,0.01,10.8626
mbpp_89_closest_num,0.01,1.0392
mbpp_90_len_log,0.01,8.6382
mbpp_91_find_substring,0.01,19.4400
mbpp_92_is_undulating,0.01,11.6021
mbpp_93_power,0.01,1.3541
mbpp_94_index_minimum,0.01,6.2557
mbpp_95_Find_Min_Length,0.01,8.2884
mbpp_96_divisor,0.01,6.0174
mbpp_97_frequency_lists,0.01,20.0266
mbpp_99_decimal_to_binary,0.01,6.0537
mbpp_100_next_smallest_palindrome,0.01,39.7096
mbpp_101_kth_element,0.01,1.1862
mbpp_102_snake_to_camel,0.01,3.0867
mbpp_103_eulerian_num,0.01,13.3939
mbpp_104_sort_sublists,0.01,4.2704
mbpp_105_count,0.01,1.3198
mbpp_106_add_lists,0.01,54.7633
mbpp_108_merge_sorted_list,0.01,4.2774
mbpp_109_odd_Equivalent,0.01,6.2760
mbpp_113_check_integer,0.01,2.3455
mbpp_116_tuple_to_int,0.01,1.8026
mbpp_117_list_to_float,0.01,24.5481
mbpp_118_string_to_list,0.01,0.9203
mbpp_119_search,0.01,59.1562
mbpp_120_max_product_tuple,0.01,12.1926
mbpp_123_amicable_numbers_sum,0.01,25.6186
mbpp_125_find_length,0.01,17.7053
mbpp_126_sum,0.01,8.8944
mbpp_127_multiply_int,0.01,0.8841
mbpp_128_long_words,0.01,7.2537
mbpp_129_magic_square_test,0.01,72.9574
mbpp_130_max_occurrences,0.01,25.9315
mbpp_131_reverse_vowels,0.01,35.0641
mbpp_132_tup_string,0.01,1.0844
mbpp_133_sum_negativenum,0.01,7.0799
mbpp_135_hexagonal_num,0.01,1.5562
mbpp_138_is_Sum_Of_Powers_Of_Two,0.01,6.7922
mbpp_141_pancake_sort,0.01,52.9181
mbpp_142_count_samepair,0.01,9.8193
mbpp_143_find_lists,0.01,6.2279
mbpp_145_max_Abs_Diff,0.01,14.5978
mbpp_160_find_solution,0.01,10.4829
mbpp_161_remove_elements,0.01,3.9865
mbpp_162_sum_series,0.01,5.5789
mbpp_164_are_equivalent,0.01,17.3002
mbpp_165_count_char_position,0.01,11.3473
mbpp_166_find_even_pair,0.01,12.3095
mbpp_167_next_power_of_2,0.01,5.5929
mbpp_168_frequency,0.01,6.4153
mbpp_170_sum_range_list,0.01,5.0291
mbpp_171_perimeter_pentagon,0.01,1.0281
mbpp_172_count_occurance,0.01,10.6576
mbpp_222_check_type,0.01,14.4853
mbpp_223_is_majority,0.01,54.5223
mbpp_224_count_Set_Bits,0.01,4.4350
mbpp_226_odd_values_string,0.01,6.8893
mbpp_227_min_of_three,0.01,6.2407
mbpp_228_all_Bits_Set_In_The_Given_Range,0.01,6.4159
mbpp_229_re_arrange_array,0.01,11.7493
mbpp_230_replace_blank,0.01,52.5335
mbpp_234_volume_cube,0.01,1.1211
mbpp_237_check_occurences,0.01,11.6523
mbpp_238_number_of_substrings,0.01,8.8444
mbpp_239_get_total_number_of_sequences,0.01,34.3617
mbpp_240_replace_list,0.01,2.7727
mbpp_242_count_charac,0.01,4.9376
mbpp_244_next_Perfect_Square,0.01,4.0207
mbpp_245_max_sum,0.01,143.8853
mbpp_247_lps,0.01,20.7177
mbpp_249_intersection_array,0.01,13.0812
mbpp_250_count_X,0.01,6.2084
mbpp_251_insert_element,0.01,6.2627
mbpp_252_convert,0.01,8.7781
mbpp_253_count_integer,0.01,6.8469
mbpp_255_combinations_colors,0.01,12.0297
mbpp_256_count_Primes_nums,0.01,14.9374
mbpp_257_swap_numbers,0.01,1.1728
mbpp_259_maximize_elements,0.01,15.5461
mbpp_260_newman_prime,0.01,136.2610
mbpp_261_division_elements,0.01,7.5165
mbpp_262_split_two_parts,0.01,3.7206
mbpp_264_dog_age,0.01,13.8563
mbpp_265_list_split,0.01,6.3523
mbpp_266_lateralsurface_cube,0.01,1.1916
mbpp_267_square_Sum,0.01,6.4132
mbpp_268_find_star_num,0.01,1.7657
mbpp_269_ascii_value,0.01,1.2001
mbpp_270_sum_even_and_even_index,0.01,9.0553
mbpp_271_even_Power_Sum,0.01,5.9200
mbpp_272_rear_extract,0.01,7.3851
mbpp_273_substract_elements,0.01,7.4752
mbpp_274_even_binomial_Coeff_Sum,0.01,7.6587
mbpp_277_dict_filter,0.01,14.4248
mbpp_278_count_first_elements,0.01,7.2851
mbpp_279_is_num_decagonal,0.01,5.2689
mbpp_280_sequential_search,0.01,52.6326
mbpp_281_all_unique,0.01,4.0753
mbpp_282_sub_list,0.01,6.4919
mbpp_283_validate,0.01,29.2778
mbpp_284_check_element,0.01,5.0754
mbpp_285_text_match_two_three,0.01,2.4549
mbpp_286_max_sub_array_sum_repeated,0.01,18.1547
mbpp_287_square_Sum,0.01,5.9570
mbpp_290_max_length,0.01,11.7362
mbpp_291_count_no_of_ways,0.01,24.6909
mbpp_292_find,0.01,1.2331
mbpp_293_otherside_rightangle,0.01,1.4052
mbpp_294_max_val,0.01,8.1029
mbpp_295_sum_div,0.01,6.4290
mbpp_296_get_Inv_Count,0.01,10.4840
mbpp_297_flatten_list,0.01,12.1187
mbpp_299_max_aggregate,0.01,24.0263
mbpp_304_find_Element,0.01,29.4346
mbpp_305_start_withp,0.01,7.6496
mbpp_306_max_sum_increasing_subseq,0.01,55.9351
mbpp_308_large_product,0.01,16.0466
mbpp_309_maximum,0.01,2.7991
mbpp_310_string_to_tuple,0.01,1.0863
mbpp_388_highest_Power_of_2,0.01,5.9432
mbpp_389_find_lucas,0.01,7.5631
mbpp_390_add_string,0.01,2.0697
mbpp_391_convert_list_dictionary,0.01,25.5769
mbpp_392_get_max_sum,0.01,63.6364
mbpp_393_max_length_list,0.01,12.0602
mbpp_394_check_distinct,0.01,6.7981
mbpp_395_first_non_repeating_character,0.01,23.4979
mbpp_396_check_char,0.01,4.1934
mbpp_397_median_numbers,0.01,12.7627
mbpp_398_sum_of_digits,0.01,5.9614
mbpp_399_bitwise_xor,0.01,58.6643
mbpp_400_extract_freq,0.01,26.9602
mbpp_401_add_nested_tuples,0.01,41.5037
mbpp_404_minimum,0.01,2.7680
mbpp_405_check_tuplex,0.01,5.8642
mbpp_406_find_Parity,0.01,3.3159
mbpp_407_rearrange_bigger,0.01,41.8690
mbpp_408_k_smallest_pairs,0.01,21.7422
mbpp_409_min_product_tuple,0.01,11.0197
mbpp_410_min_val,0.01,8.1475
mbpp_411_snake_to_camel,0.01,3.1433
mbpp_412_remove_odd,0.01,7.8952
mbpp_413_extract_nth_element,0.01,5.7707
mbpp_414_overlapping,0.01,9.3096
mbpp_415_max_Product,0.01,16.6521
mbpp_417_group_tuples,0.01,15.6318
mbpp_418_Find_Max,0.01,7.9322
mbpp_419_round_and_sum,0.01,6.8796
mbpp_420_cube_Sum,0.01,5.9705
mbpp_421_concatenate_tuple,0.01,6.1324
mbpp_422_find_Average_Of_Cube,0.01,5.9062
mbpp_424_extract_rear,0.01,8.0339
mbpp_425_count_element_in_list,0.01,7.1432
mbpp_426_filter_oddnumbers,0.01,2.0032
mbpp_427_change_date_format,0.01,4.4767
mbpp_428_shell_sort,0.01,28.3906
mbpp_429_and_tuples,0.01,7.7391
mbpp_430_parabola_directrix,0.01,4.2184
mbpp_431_common_element,0.01,9.3322
mbpp_432_median_trapezium,0.01,2.6418
mbpp_433_check_greater,0.01,9.7260
mbpp_434_text_match_one,0.01,2.8844
mbpp_435_last_Digit,0.01,1.2668
mbpp_436_neg_nos,0.01,7.3642
mbpp_437_remove_odd,0.01,7.3859
mbpp_438_count_bidirectional,0.01,18.9734
mbpp_439_multiple_to_single,0.01,5.8590
