task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.2,14.8911
mbpp_4_heap_queue_largest,0.2,3.0756
mbpp_6_differ_At_One_Bit_Pos,0.2,3.7272
mbpp_8_square_nums,0.2,1.8445
mbpp_9_find_Rotations,0.2,27.1939
mbpp_11_remove_Occ,0.2,26.2930
mbpp_12_sort_matrix,0.2,8.3275
mbpp_14_find_Volume,0.2,1.9896
mbpp_16_text_lowercase_underscore,0.2,0.6406
mbpp_17_square_perimeter,0.2,0.9416
mbpp_18_remove_dirty_chars,0.2,10.7785
mbpp_19_test_duplicate,0.2,16.0101
mbpp_20_is_woodall,0.2,9.4521
mbpp_56_checks,0.2,51.1022
mbpp_57_find_Max_Num,0.2,33.5621
mbpp_58_opposite_Signs,0.2,2.1211
mbpp_59_is_octagonal,0.2,490.0319
mbpp_61_count_Substrings,0.2,78.0274
mbpp_62_smallest_num,0.2,2.2332
mbpp_63_max_difference,0.2,82.6514
mbpp_64_subject_marks,0.2,6.4849
mbpp_65_recursive_list_sum,0.2,41.7552
mbpp_66_pos_count,0.2,11.0821
mbpp_67_bell_number,0.2,58.2685
mbpp_68_is_Monotonic,0.2,23.9358
mbpp_69_is_sublist,0.2,52.6407
mbpp_70_get_equal,0.2,14.8570
mbpp_71_comb_sort,0.2,96.8580
mbpp_72_dif_Square,0.2,6.9478
mbpp_74_is_samepatterns,0.2,72.7733
mbpp_75_find_tuples,0.2,36.1404
mbpp_77_is_Diff,0.2,10.6490
mbpp_79_word_len,0.2,1.5682
mbpp_80_tetrahedral_number,0.2,3.5170
mbpp_83_get_Char,0.2,11.6104
mbpp_84_sequence,0.2,8.2584
mbpp_86_centered_hexagonal_number,0.2,2.3278
mbpp_87_merge_dictionaries_three,0.2,3.9986
mbpp_88_freq_count,0.2,16.5479
mbpp_89_closest_num,0.2,1.1802
mbpp_90_len_log,0.2,16.2403
mbpp_91_find_substring,0.2,14.4643
mbpp_92_is_undulating,0.2,19.7273
mbpp_93_power,0.2,3.4410
mbpp_94_index_minimum,0.2,81.6805
mbpp_95_Find_Min_Length,0.2,7.8801
mbpp_96_divisor,0.2,22.9176
mbpp_97_frequency_lists,0.2,34.0009
mbpp_99_decimal_to_binary,0.2,96.5584
mbpp_100_next_smallest_palindrome,0.2,383.5490
mbpp_101_kth_element,0.2,2.0317
mbpp_102_snake_to_camel,0.2,1.5974
mbpp_103_eulerian_num,0.2,23.3853
mbpp_104_sort_sublists,0.2,3.1831
mbpp_105_count,0.2,2.3586
mbpp_106_add_lists,0.2,6.7295
mbpp_108_merge_sorted_list,0.2,40.1926
mbpp_109_odd_Equivalent,0.2,22.8922
mbpp_113_check_integer,0.2,10.3317
mbpp_116_tuple_to_int,0.2,2.6556
mbpp_117_list_to_float,0.2,87.4458
mbpp_118_string_to_list,0.2,2.4152
mbpp_119_search,0.2,101.8111
mbpp_120_max_product_tuple,0.2,80.3968
mbpp_123_amicable_numbers_sum,0.2,10.8155
mbpp_125_find_length,0.2,67.2933
mbpp_126_sum,0.2,20.1828
mbpp_127_multiply_int,0.2,2.3119
mbpp_128_long_words,0.2,8.2159
mbpp_129_magic_square_test,0.2,193.4760
mbpp_130_max_occurrences,0.2,97.3345
mbpp_131_reverse_vowels,0.2,81.7606
mbpp_132_tup_string,0.2,3.0494
mbpp_133_sum_negativenum,0.2,86.0679
mbpp_135_hexagonal_num,0.2,4.1177
mbpp_138_is_Sum_Of_Powers_Of_Two,0.2,18.3749
mbpp_141_pancake_sort,0.2,124.1418
mbpp_142_count_samepair,0.2,18.6015
mbpp_143_find_lists,0.2,9.7711
mbpp_145_max_Abs_Diff,0.2,29.5105
mbpp_160_find_solution,0.2,62.2786
mbpp_161_remove_elements,0.2,6.4933
mbpp_162_sum_series,0.2,57.3358
mbpp_164_are_equivalent,0.2,34.4701
mbpp_165_count_char_position,0.2,23.1601
mbpp_166_find_even_pair,0.2,32.8191
mbpp_167_next_power_of_2,0.2,47.7006
mbpp_168_frequency,0.2,21.5101
mbpp_170_sum_range_list,0.2,13.6807
mbpp_171_perimeter_pentagon,0.2,1.8219
mbpp_172_count_occurance,0.2,61.9927
mbpp_222_check_type,0.2,21.7495
mbpp_223_is_majority,0.2,82.6768
mbpp_224_count_Set_Bits,0.2,10.2309
mbpp_226_odd_values_string,0.2,15.0801
mbpp_227_min_of_three,0.2,13.9594
mbpp_228_all_Bits_Set_In_The_Given_Range,0.2,131.3678
mbpp_229_re_arrange_array,0.2,86.0210
mbpp_230_replace_blank,0.2,4.1494
mbpp_234_volume_cube,0.2,2.5622
mbpp_237_check_occurences,0.2,35.4667
mbpp_238_number_of_substrings,0.2,7.5371
mbpp_239_get_total_number_of_sequences,0.2,151.0403
mbpp_240_replace_list,0.2,6.9067
mbpp_242_count_charac,0.2,13.7858
mbpp_244_next_Perfect_Square,0.2,9.0754
mbpp_245_max_sum,0.2,123.1569
mbpp_247_lps,0.2,123.0220
mbpp_249_intersection_array,0.2,23.7988
mbpp_250_count_X,0.2,17.2785
mbpp_251_insert_element,0.2,17.1234
mbpp_252_convert,0.2,37.8202
mbpp_253_count_integer,0.2,18.3892
mbpp_255_combinations_colors,0.2,16.9357
mbpp_256_count_Primes_nums,0.2,109.6283
mbpp_257_swap_numbers,0.2,3.3738
mbpp_259_maximize_elements,0.2,137.7438
mbpp_260_newman_prime,0.2,263.9618
mbpp_261_division_elements,0.2,101.8998
mbpp_262_split_two_parts,0.2,11.7528
mbpp_264_dog_age,0.2,35.4446
mbpp_265_list_split,0.2,19.8585
mbpp_266_lateralsurface_cube,0.2,3.6588
mbpp_267_square_Sum,0.2,94.8528
mbpp_268_find_star_num,0.2,6.2170
mbpp_269_ascii_value,0.2,3.8121
mbpp_270_sum_even_and_even_index,0.2,38.5452
mbpp_271_even_Power_Sum,0.2,140.0133
mbpp_272_rear_extract,0.2,86.2265
mbpp_273_substract_elements,0.2,65.2998
mbpp_274_even_binomial_Coeff_Sum,0.2,22.6393
mbpp_277_dict_filter,0.2,41.8431
mbpp_278_count_first_elements,0.2,12.9386
mbpp_279_is_num_decagonal,0.2,10.2562
mbpp_280_sequential_search,0.2,98.6936
mbpp_281_all_unique,0.2,15.5220
mbpp_282_sub_list,0.2,16.6104
mbpp_283_validate,0.2,109.1244
mbpp_284_check_element,0.2,12.0103
