task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.2,30.3533
mbpp_4_heap_queue_largest,0.2,14.6435
mbpp_6_differ_At_One_Bit_Pos,0.2,31.4509
mbpp_8_square_nums,0.2,4.6119
mbpp_9_find_Rotations,0.2,16.6141
mbpp_11_remove_Occ,0.2,23.4283
mbpp_12_sort_matrix,0.2,29.3103
mbpp_14_find_Volume,0.2,11.8546
mbpp_16_text_lowercase_underscore,0.2,1.3512
mbpp_17_square_perimeter,0.2,31.4675
mbpp_18_remove_dirty_chars,0.2,4.0631
mbpp_19_test_duplicate,0.2,31.4771
mbpp_20_is_woodall,0.2,26.9710
mbpp_56_checks,0.2,24.7957
mbpp_57_find_Max_Num,0.2,25.0036
mbpp_58_opposite_Signs,0.2,12.1001
mbpp_59_is_octagonal,0.2,26.5913
mbpp_61_count_Substrings,0.2,27.6897
mbpp_62_smallest_num,0.2,31.4620
mbpp_63_max_difference,0.2,20.4684
mbpp_64_subject_marks,0.2,23.4981
mbpp_65_recursive_list_sum,0.2,31.4631
mbpp_66_pos_count,0.2,27.6117
mbpp_67_bell_number,0.2,14.6824
mbpp_68_is_Monotonic,0.2,13.5305
mbpp_69_is_sublist,0.2,15.5298
mbpp_70_get_equal,0.2,31.4713
mbpp_71_comb_sort,0.2,13.3219
mbpp_72_dif_Square,0.2,31.4764
mbpp_74_is_samepatterns,0.2,19.8112
mbpp_75_find_tuples,0.2,22.3153
mbpp_77_is_Diff,0.2,2.4284
mbpp_79_word_len,0.2,24.2084
mbpp_80_tetrahedral_number,0.2,18.7829
mbpp_83_get_Char,0.2,4.5940
mbpp_84_sequence,0.2,10.8829
mbpp_86_centered_hexagonal_number,0.2,31.4668
mbpp_87_merge_dictionaries_three,0.2,8.2501
mbpp_88_freq_count,0.2,31.4749
mbpp_89_closest_num,0.2,28.7128
mbpp_90_len_log,0.2,31.4687
mbpp_91_find_substring,0.2,29.0675
mbpp_92_is_undulating,0.2,31.4660
mbpp_93_power,0.2,31.4648
mbpp_94_index_minimum,0.2,12.1671
mbpp_95_Find_Min_Length,0.2,16.0358
mbpp_96_divisor,0.2,10.2690
mbpp_97_frequency_lists,0.2,10.4725
