task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.0,2.2134
mbpp_4_heap_queue_largest,0.0,2.9894
mbpp_6_differ_At_One_Bit_Pos,0.0,1.1351
mbpp_8_square_nums,0.0,0.3540
mbpp_9_find_Rotations,0.0,1.8790
mbpp_11_remove_Occ,0.0,4.3704
mbpp_12_sort_matrix,0.0,1.6618
mbpp_14_find_Volume,0.0,0.4282
mbpp_16_text_lowercase_underscore,0.0,0.5637
mbpp_17_square_perimeter,0.0,0.2275
mbpp_18_remove_dirty_chars,0.0,1.9243
mbpp_19_test_duplicate,0.0,1.7247
mbpp_20_is_woodall,0.0,1.5995
mbpp_56_checks,0.0,2.2819
mbpp_57_find_Max_Num,0.0,2.1548
mbpp_58_opposite_Signs,0.0,0.3783
mbpp_59_is_octagonal,0.0,92.7471
mbpp_61_count_Substrings,0.0,2.7112
mbpp_62_smallest_num,0.0,0.3229
mbpp_63_max_difference,0.0,3.5347
mbpp_64_subject_marks,0.0,0.9085
mbpp_65_recursive_list_sum,0.0,2.6906
mbpp_66_pos_count,0.0,1.4935
mbpp_67_bell_number,0.0,13.7538
mbpp_68_is_Monotonic,0.0,2.5629
mbpp_69_is_sublist,0.0,6.7676
mbpp_70_get_equal,0.0,1.7172
mbpp_71_comb_sort,0.0,8.6428
mbpp_72_dif_Square,0.0,0.7045
mbpp_74_is_samepatterns,0.0,2.8589
mbpp_75_find_tuples,0.0,11.3062
mbpp_77_is_Diff,0.0,4.3818
mbpp_79_word_len,0.0,0.3566
mbpp_80_tetrahedral_number,0.0,0.7169
mbpp_83_get_Char,0.0,1.9990
mbpp_84_sequence,0.0,1.4725
mbpp_86_centered_hexagonal_number,0.0,0.5183
mbpp_87_merge_dictionaries_three,0.0,0.6514
mbpp_88_freq_count,0.0,2.6666
mbpp_89_closest_num,0.0,0.2308
mbpp_90_len_log,0.0,2.0789
mbpp_91_find_substring,0.0,5.2671
mbpp_92_is_undulating,0.0,2.8166
mbpp_93_power,0.0,0.3052
mbpp_94_index_minimum,0.0,1.5103
mbpp_95_Find_Min_Length,0.0,0.7535
mbpp_96_divisor,0.0,1.4162
mbpp_97_frequency_lists,0.0,4.8760
mbpp_99_decimal_to_binary,0.0,2.0968
mbpp_100_next_smallest_palindrome,0.0,4.4964
mbpp_101_kth_element,0.0,0.2689
mbpp_102_snake_to_camel,0.0,0.7021
mbpp_103_eulerian_num,0.0,3.2560
mbpp_104_sort_sublists,0.0,0.9849
mbpp_105_count,0.0,0.2897
mbpp_106_add_lists,0.0,12.1564
mbpp_108_merge_sorted_list,0.0,0.9965
mbpp_109_odd_Equivalent,0.0,1.4637
mbpp_113_check_integer,0.0,0.5234
mbpp_116_tuple_to_int,0.0,0.4056
mbpp_117_list_to_float,0.0,5.9951
mbpp_118_string_to_list,0.0,0.2082
mbpp_119_search,0.0,15.7000
mbpp_120_max_product_tuple,0.0,2.9369
mbpp_123_amicable_numbers_sum,0.0,6.3309
mbpp_125_find_length,0.0,4.1050
mbpp_126_sum,0.0,2.1119
mbpp_127_multiply_int,0.0,0.1901
mbpp_128_long_words,0.0,1.7191
mbpp_129_magic_square_test,0.0,19.0850
mbpp_130_max_occurrences,0.0,6.5017
mbpp_131_reverse_vowels,0.0,8.7082
mbpp_132_tup_string,0.0,0.2484
mbpp_133_sum_negativenum,0.0,1.5874
mbpp_135_hexagonal_num,0.0,0.3819
mbpp_138_is_Sum_Of_Powers_Of_Two,0.0,1.5963
mbpp_141_pancake_sort,0.0,13.8395
mbpp_142_count_samepair,0.0,2.3352
mbpp_143_find_lists,0.0,1.4509
mbpp_145_max_Abs_Diff,0.0,3.5427
mbpp_160_find_solution,0.0,2.4563
mbpp_161_remove_elements,0.0,0.9087
mbpp_162_sum_series,0.0,1.2781
mbpp_164_are_equivalent,0.0,4.1501
mbpp_165_count_char_position,0.0,2.7094
mbpp_166_find_even_pair,0.0,2.9514
mbpp_167_next_power_of_2,0.0,1.2685
mbpp_168_frequency,0.0,1.4736
mbpp_170_sum_range_list,0.0,1.1443
mbpp_171_perimeter_pentagon,0.0,0.2232
mbpp_172_count_occurance,0.0,2.5270
mbpp_222_check_type,0.0,2.5850
mbpp_223_is_majority,0.0,11.8674
mbpp_224_count_Set_Bits,0.0,0.9839
mbpp_226_odd_values_string,0.0,1.5842
mbpp_227_min_of_three,0.0,1.4293
mbpp_228_all_Bits_Set_In_The_Given_Range,0.0,1.4942
mbpp_229_re_arrange_array,0.0,2.7592
mbpp_230_replace_blank,0.0,11.0580
mbpp_234_volume_cube,0.0,0.2359
mbpp_237_check_occurences,0.0,2.7416
