task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.0,11.2490
mbpp_4_heap_queue_largest,0.0,8.6577
mbpp_6_differ_At_One_Bit_Pos,0.0,10.4045
mbpp_8_square_nums,0.0,2.0438
mbpp_9_find_Rotations,0.0,10.4064
mbpp_11_remove_Occ,0.0,3.2210
mbpp_12_sort_matrix,0.0,10.4040
mbpp_14_find_Volume,0.0,10.4058
mbpp_16_text_lowercase_underscore,0.0,0.4469
mbpp_17_square_perimeter,0.0,10.4042
mbpp_18_remove_dirty_chars,0.0,1.3767
mbpp_19_test_duplicate,0.0,10.4047
mbpp_20_is_woodall,0.0,10.4038
mbpp_56_checks,0.0,10.4073
mbpp_57_find_Max_Num,0.0,10.4076
mbpp_58_opposite_Signs,0.0,10.4099
mbpp_59_is_octagonal,0.0,10.4063
mbpp_61_count_Substrings,0.0,10.4082
mbpp_62_smallest_num,0.0,10.4052
mbpp_63_max_difference,0.0,10.4088
mbpp_64_subject_marks,0.0,10.3252
mbpp_65_recursive_list_sum,0.0,10.4078
mbpp_66_pos_count,0.0,10.4070
mbpp_67_bell_number,0.0,3.8323
mbpp_68_is_Monotonic,0.0,10.4107
mbpp_69_is_sublist,0.0,3.5679
mbpp_70_get_equal,0.0,10.4047
mbpp_71_comb_sort,0.0,4.1746
mbpp_72_dif_Square,0.0,10.4057
mbpp_74_is_samepatterns,0.0,10.4075
mbpp_75_find_tuples,0.0,3.7297
mbpp_77_is_Diff,0.0,10.4061
mbpp_79_word_len,0.0,10.4078
mbpp_80_tetrahedral_number,0.0,10.4057
mbpp_83_get_Char,0.0,1.8638
mbpp_84_sequence,0.0,10.4085
mbpp_86_centered_hexagonal_number,0.0,10.4081
mbpp_87_merge_dictionaries_three,0.0,2.3099
mbpp_88_freq_count,0.0,2.6140
mbpp_89_closest_num,0.0,10.4084
mbpp_90_len_log,0.0,10.4101
mbpp_91_find_substring,0.0,10.4109
mbpp_92_is_undulating,0.0,10.4053
mbpp_93_power,0.0,10.4068
mbpp_94_index_minimum,0.0,4.2585
mbpp_95_Find_Min_Length,0.0,10.4081
mbpp_96_divisor,0.0,1.8023
mbpp_97_frequency_lists,0.0,3.1423
mbpp_99_decimal_to_binary,0.0,2.2493
mbpp_100_next_smallest_palindrome,0.0,10.4088
mbpp_101_kth_element,0.0,10.4084
mbpp_102_snake_to_camel,0.0,0.8505
mbpp_103_eulerian_num,0.0,10.4105
mbpp_104_sort_sublists,0.0,10.4091
mbpp_105_count,0.0,10.4091
mbpp_106_add_lists,0.0,1.5788
mbpp_108_merge_sorted_list,0.0,1.8636
mbpp_109_odd_Equivalent,0.0,10.4099
mbpp_113_check_integer,0.0,10.4093
mbpp_116_tuple_to_int,0.0,10.4078
mbpp_117_list_to_float,0.0,10.4053
mbpp_118_string_to_list,0.0,10.4101
mbpp_119_search,0.0,10.4040
mbpp_120_max_product_tuple,0.0,10.4093
mbpp_123_amicable_numbers_sum,0.0,5.5589
mbpp_125_find_length,0.0,10.4057
mbpp_126_sum,0.0,10.4078
mbpp_127_multiply_int,0.0,10.4097
mbpp_128_long_words,0.0,2.5734
mbpp_129_magic_square_test,0.0,5.8468
mbpp_130_max_occurrences,0.0,10.4069
mbpp_131_reverse_vowels,0.0,3.6496
