task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.0,3.2921
mbpp_4_heap_queue_largest,0.0,68.3904
mbpp_6_differ_At_One_Bit_Pos,0.0,1.4376
mbpp_8_square_nums,0.0,0.5029
mbpp_9_find_Rotations,0.0,2.9769
mbpp_11_remove_Occ,0.0,3.3748
mbpp_12_sort_matrix,0.0,3.6493
mbpp_14_find_Volume,0.0,0.5569
mbpp_16_text_lowercase_underscore,0.0,0.8972
mbpp_17_square_perimeter,0.0,0.3232
mbpp_18_remove_dirty_chars,0.0,2.3644
mbpp_19_test_duplicate,0.0,3.0063
mbpp_20_is_woodall,0.0,1.9056
mbpp_56_checks,0.0,1.2866
mbpp_57_find_Max_Num,0.0,1.2546
mbpp_58_opposite_Signs,0.0,0.4031
mbpp_59_is_octagonal,0.0,0.3957
mbpp_61_count_Substrings,0.0,4.0878
mbpp_62_smallest_num,0.0,0.4994
mbpp_63_max_difference,0.0,5.6769
mbpp_64_subject_marks,0.0,1.1236
mbpp_65_recursive_list_sum,0.0,3.6389
mbpp_66_pos_count,0.0,1.8239
mbpp_67_bell_number,0.0,11.5228
mbpp_68_is_Monotonic,0.0,2.4058
mbpp_69_is_sublist,0.0,0.9494
mbpp_70_get_equal,0.0,2.0261
mbpp_71_comb_sort,0.0,10.6700
mbpp_72_dif_Square,0.0,2.2577
mbpp_74_is_samepatterns,0.0,8.0710
mbpp_75_find_tuples,0.0,5.2393
mbpp_77_is_Diff,0.0,0.9274
mbpp_79_word_len,0.0,1.0180
mbpp_80_tetrahedral_number,0.0,0.6082
mbpp_83_get_Char,0.0,2.0073
mbpp_84_sequence,0.0,3.1744
mbpp_86_centered_hexagonal_number,0.0,0.4984
mbpp_87_merge_dictionaries_three,0.0,0.4885
mbpp_88_freq_count,0.0,3.2796
mbpp_89_closest_num,0.0,3.4742
mbpp_90_len_log,0.0,2.2085
mbpp_91_find_substring,0.0,1.7361
mbpp_92_is_undulating,0.0,2.9576
mbpp_93_power,0.0,0.4251
mbpp_94_index_minimum,0.0,5.0126
mbpp_95_Find_Min_Length,0.0,2.4604
mbpp_96_divisor,0.0,1.6539
mbpp_97_frequency_lists,0.0,4.2730
mbpp_99_decimal_to_binary,0.0,0.3656
mbpp_100_next_smallest_palindrome,0.0,2.8857
mbpp_101_kth_element,0.0,0.8990
mbpp_102_snake_to_camel,0.0,1.3674
mbpp_103_eulerian_num,0.0,3.6753
mbpp_104_sort_sublists,0.0,0.5169
mbpp_105_count,0.0,2.1988
mbpp_106_add_lists,0.0,0.4342
mbpp_108_merge_sorted_list,0.0,1.4093
mbpp_109_odd_Equivalent,0.0,5.5296
mbpp_113_check_integer,0.0,0.6991
mbpp_116_tuple_to_int,0.0,0.6789
mbpp_117_list_to_float,0.0,0.4067
mbpp_118_string_to_list,0.0,0.3410
mbpp_119_search,0.0,1.9246
mbpp_120_max_product_tuple,0.0,3.8149
mbpp_123_amicable_numbers_sum,0.0,10.4860
mbpp_125_find_length,0.0,5.8494
mbpp_126_sum,0.0,2.4624
mbpp_127_multiply_int,0.0,0.3097
mbpp_128_long_words,0.0,3.1888
mbpp_129_magic_square_test,0.0,25.9230
mbpp_130_max_occurrences,0.0,4.1170
mbpp_131_reverse_vowels,0.0,13.7330
mbpp_132_tup_string,0.0,0.4049
mbpp_133_sum_negativenum,0.0,2.1341
mbpp_135_hexagonal_num,0.0,0.4009
mbpp_138_is_Sum_Of_Powers_Of_Two,0.0,1.5285
mbpp_141_pancake_sort,0.0,21.4960
mbpp_142_count_samepair,0.0,2.7466
mbpp_143_find_lists,0.0,1.8795
mbpp_145_max_Abs_Diff,0.0,4.8834
mbpp_160_find_solution,0.0,36.9427
mbpp_161_remove_elements,0.0,0.5955
mbpp_162_sum_series,0.0,1.5865
mbpp_164_are_equivalent,0.0,4.9981
mbpp_165_count_char_position,0.0,2.6804
mbpp_166_find_even_pair,0.0,3.5129
mbpp_167_next_power_of_2,0.0,2.8586
mbpp_168_frequency,0.0,1.8447
mbpp_170_sum_range_list,0.0,3.0522
mbpp_171_perimeter_pentagon,0.0,0.3290
mbpp_172_count_occurance,0.0,2.2045
mbpp_222_check_type,0.0,2.2628
mbpp_223_is_majority,0.0,11.6663
mbpp_224_count_Set_Bits,0.0,1.1970
mbpp_226_odd_values_string,0.0,2.0188
mbpp_227_min_of_three,0.0,1.7888
mbpp_228_all_Bits_Set_In_The_Given_Range,0.0,1.6479
