task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.01,4.9582
mbpp_4_heap_queue_largest,0.01,2.3211
mbpp_6_differ_At_One_Bit_Pos,0.01,2.3069
mbpp_8_square_nums,0.01,2.3051
mbpp_9_find_Rotations,0.01,2.3074
mbpp_11_remove_Occ,0.01,2.3059
mbpp_12_sort_matrix,0.01,2.3056
mbpp_14_find_Volume,0.01,2.3058
mbpp_16_text_lowercase_underscore,0.01,2.3071
mbpp_17_square_perimeter,0.01,2.3068
mbpp_18_remove_dirty_chars,0.01,2.3102
mbpp_19_test_duplicate,0.01,2.3082
mbpp_20_is_woodall,0.01,2.3066
mbpp_56_checks,0.01,2.3073
mbpp_57_find_Max_Num,0.01,2.3065
mbpp_58_opposite_Signs,0.01,2.3076
mbpp_59_is_octagonal,0.01,2.3067
mbpp_61_count_Substrings,0.01,2.3075
mbpp_62_smallest_num,0.01,2.3061
mbpp_63_max_difference,0.01,2.3100
mbpp_64_subject_marks,0.01,2.3074
mbpp_65_recursive_list_sum,0.01,2.3071
mbpp_66_pos_count,0.01,2.3072
mbpp_67_bell_number,0.01,2.3071
mbpp_68_is_Monotonic,0.01,2.3081
mbpp_69_is_sublist,0.01,2.3093
mbpp_70_get_equal,0.01,2.3063
mbpp_71_comb_sort,0.01,2.2993
mbpp_72_dif_Square,0.01,2.3069
mbpp_74_is_samepatterns,0.01,2.3064
mbpp_75_find_tuples,0.01,2.3070
mbpp_77_is_Diff,0.01,2.3063
mbpp_79_word_len,0.01,2.3072
mbpp_80_tetrahedral_number,0.01,2.3067
mbpp_83_get_Char,0.01,2.3432
mbpp_84_sequence,0.01,2.3062
mbpp_86_centered_hexagonal_number,0.01,2.3055
mbpp_87_merge_dictionaries_three,0.01,2.3078
mbpp_88_freq_count,0.01,2.3088
mbpp_89_closest_num,0.01,2.3063
mbpp_90_len_log,0.01,2.3061
mbpp_91_find_substring,0.01,2.3086
mbpp_92_is_undulating,0.01,2.3105
mbpp_93_power,0.01,2.3073
mbpp_94_index_minimum,0.01,2.3103
mbpp_95_Find_Min_Length,0.01,2.3099
mbpp_96_divisor,0.01,2.3078
mbpp_97_frequency_lists,0.01,2.3095
mbpp_99_decimal_to_binary,0.01,2.3090
mbpp_100_next_smallest_palindrome,0.01,2.3088
mbpp_101_kth_element,0.01,2.3094
mbpp_102_snake_to_camel,0.01,2.3090
mbpp_103_eulerian_num,0.01,2.3098
mbpp_104_sort_sublists,0.01,2.3098
mbpp_105_count,0.01,2.3080
mbpp_106_add_lists,0.01,2.3100
mbpp_108_merge_sorted_list,0.01,2.3098
mbpp_109_odd_Equivalent,0.01,2.3089
mbpp_113_check_integer,0.01,2.3077
mbpp_116_tuple_to_int,0.01,2.3085
mbpp_117_list_to_float,0.01,2.3089
mbpp_118_string_to_list,0.01,2.3100
mbpp_119_search,0.01,2.3087
mbpp_120_max_product_tuple,0.01,2.3100
mbpp_123_amicable_numbers_sum,0.01,2.3083
mbpp_125_find_length,0.01,2.3088
mbpp_126_sum,0.01,2.3104
mbpp_127_multiply_int,0.01,2.3009
mbpp_128_long_words,0.01,2.3107
mbpp_129_magic_square_test,0.01,2.3086
mbpp_130_max_occurrences,0.01,2.3085
mbpp_131_reverse_vowels,0.01,2.3116
mbpp_132_tup_string,0.01,2.3068
mbpp_133_sum_negativenum,0.01,2.3103
mbpp_135_hexagonal_num,0.01,2.3078
mbpp_138_is_Sum_Of_Powers_Of_Two,0.01,2.3094
mbpp_141_pancake_sort,0.01,2.3075
mbpp_142_count_samepair,0.01,2.3088
mbpp_143_find_lists,0.01,2.3083
mbpp_145_max_Abs_Diff,0.01,2.3106
mbpp_160_find_solution,0.01,2.3099
mbpp_161_remove_elements,0.01,2.3103
mbpp_162_sum_series,0.01,2.3126
mbpp_164_are_equivalent,0.01,2.3102
mbpp_165_count_char_position,0.01,2.3087
mbpp_166_find_even_pair,0.01,2.3108
mbpp_167_next_power_of_2,0.01,2.3100
mbpp_168_frequency,0.01,2.3087
mbpp_170_sum_range_list,0.01,2.3103
mbpp_171_perimeter_pentagon,0.01,2.3101
mbpp_172_count_occurance,0.01,2.3105
mbpp_222_check_type,0.01,2.3097
mbpp_223_is_majority,0.01,2.3142
mbpp_224_count_Set_Bits,0.01,2.3111
mbpp_226_odd_values_string,0.01,2.3100
mbpp_227_min_of_three,0.01,2.3083
mbpp_228_all_Bits_Set_In_The_Given_Range,0.01,2.3093
mbpp_229_re_arrange_array,0.01,2.3134
mbpp_230_replace_blank,0.01,2.3098
mbpp_234_volume_cube,0.01,2.3090
mbpp_237_check_occurences,0.01,2.3093
mbpp_238_number_of_substrings,0.01,2.3095
mbpp_239_get_total_number_of_sequences,0.01,2.3141
mbpp_240_replace_list,0.01,2.3086
mbpp_242_count_charac,0.01,2.3095
mbpp_244_next_Perfect_Square,0.01,2.3109
mbpp_245_max_sum,0.01,2.3107
mbpp_247_lps,0.01,2.3120
mbpp_249_intersection_array,0.01,2.3121
mbpp_250_count_X,0.01,2.3110
mbpp_251_insert_element,0.01,2.3126
mbpp_252_convert,0.01,2.3087
mbpp_253_count_integer,0.01,2.3095
mbpp_255_combinations_colors,0.01,2.3102
mbpp_256_count_Primes_nums,0.01,2.3090
mbpp_257_swap_numbers,0.01,2.3107
mbpp_259_maximize_elements,0.01,2.3095
mbpp_260_newman_prime,0.01,2.3092
mbpp_261_division_elements,0.01,2.3089
mbpp_262_split_two_parts,0.01,2.3142
mbpp_264_dog_age,0.01,2.3090
mbpp_265_list_split,0.01,2.3109
mbpp_266_lateralsurface_cube,0.01,2.3114
mbpp_267_square_Sum,0.01,2.3118
mbpp_268_find_star_num,0.01,2.3080
mbpp_269_ascii_value,0.01,2.3074
mbpp_270_sum_even_and_even_index,0.01,2.3111
mbpp_271_even_Power_Sum,0.01,2.3109
mbpp_272_rear_extract,0.01,2.3102
mbpp_273_substract_elements,0.01,2.3098
mbpp_274_even_binomial_Coeff_Sum,0.01,2.3097
mbpp_277_dict_filter,0.01,2.3096
mbpp_278_count_first_elements,0.01,2.3119
mbpp_279_is_num_decagonal,0.01,2.3072
mbpp_280_sequential_search,0.01,2.3138
mbpp_281_all_unique,0.01,2.3118
mbpp_282_sub_list,0.01,2.3086
mbpp_283_validate,0.01,2.3089
mbpp_284_check_element,0.01,2.3088
mbpp_285_text_match_two_three,0.01,2.3114
mbpp_286_max_sub_array_sum_repeated,0.01,2.3101
mbpp_287_square_Sum,0.01,2.3118
mbpp_290_max_length,0.01,2.3100
mbpp_291_count_no_of_ways,0.01,2.3111
mbpp_292_find,0.01,2.3100
mbpp_293_otherside_rightangle,0.01,2.3100
mbpp_294_max_val,0.01,2.3097
mbpp_295_sum_div,0.01,2.3097
mbpp_296_get_Inv_Count,0.01,2.3089
mbpp_297_flatten_list,0.01,2.3103
mbpp_299_max_aggregate,0.01,2.3214
mbpp_304_find_Element,0.01,2.3124
mbpp_305_start_withp,0.01,2.3119
mbpp_306_max_sum_increasing_subseq,0.01,2.3140
mbpp_308_large_product,0.01,2.3100
mbpp_309_maximum,0.01,2.3089
mbpp_310_string_to_tuple,0.01,2.3089
mbpp_388_highest_Power_of_2,0.01,2.3113
mbpp_389_find_lucas,0.01,2.3089
mbpp_390_add_string,0.01,2.3106
mbpp_391_convert_list_dictionary,0.01,2.3114
mbpp_392_get_max_sum,0.01,2.3153
mbpp_393_max_length_list,0.01,2.3094
mbpp_394_check_distinct,0.01,2.3100
mbpp_395_first_non_repeating_character,0.01,2.3196
mbpp_396_check_char,0.01,2.3165
mbpp_397_median_numbers,0.01,2.3093
mbpp_398_sum_of_digits,0.01,2.3114
mbpp_399_bitwise_xor,0.01,2.3122
mbpp_400_extract_freq,0.01,2.3123
mbpp_401_add_nested_tuples,0.01,2.3111
mbpp_404_minimum,0.01,2.3104
mbpp_405_check_tuplex,0.01,2.3123
mbpp_406_find_Parity,0.01,2.3103
mbpp_407_rearrange_bigger,0.01,2.3095
mbpp_408_k_smallest_pairs,0.01,2.3094
mbpp_409_min_product_tuple,0.01,2.3102
