task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.0,3.1843
mbpp_4_heap_queue_largest,0.0,94.2161
mbpp_6_differ_At_One_Bit_Pos,0.0,1.2479
mbpp_8_square_nums,0.0,0.4268
mbpp_9_find_Rotations,0.0,2.7691
mbpp_11_remove_Occ,0.0,1.8231
mbpp_12_sort_matrix,0.0,5.5984
mbpp_14_find_Volume,0.0,0.3493
mbpp_16_text_lowercase_underscore,0.0,0.6896
mbpp_17_square_perimeter,0.0,0.2311
mbpp_18_remove_dirty_chars,0.0,2.2216
mbpp_19_test_duplicate,0.0,2.8849
mbpp_20_is_woodall,0.0,1.7834
mbpp_56_checks,0.0,1.0851
mbpp_57_find_Max_Num,0.0,2.1449
mbpp_58_opposite_Signs,0.0,0.4235
mbpp_59_is_octagonal,0.0,0.5612
mbpp_61_count_Substrings,0.0,2.7932
mbpp_62_smallest_num,0.0,0.3729
mbpp_63_max_difference,0.0,13.8332
mbpp_64_subject_marks,0.0,0.7863
mbpp_65_recursive_list_sum,0.0,3.0523
mbpp_66_pos_count,0.0,1.5704
mbpp_67_bell_number,0.0,3.8704
mbpp_68_is_Monotonic,0.0,3.7319
mbpp_69_is_sublist,0.0,2.0427
mbpp_70_get_equal,0.0,1.9883
mbpp_71_comb_sort,0.0,7.4700
mbpp_72_dif_Square,0.0,0.7125
mbpp_74_is_samepatterns,0.0,1.3237
mbpp_75_find_tuples,0.0,11.3271
mbpp_77_is_Diff,0.0,0.7647
mbpp_79_word_len,0.0,1.0560
mbpp_80_tetrahedral_number,0.0,0.5777
mbpp_83_get_Char,0.0,1.8318
mbpp_84_sequence,0.0,4.1559
mbpp_86_centered_hexagonal_number,0.0,0.4166
mbpp_87_merge_dictionaries_three,0.0,0.4345
mbpp_88_freq_count,0.0,2.9483
mbpp_89_closest_num,0.0,7.3118
mbpp_90_len_log,0.0,2.0313
mbpp_91_find_substring,0.0,0.7677
mbpp_92_is_undulating,0.0,2.6248
mbpp_93_power,0.0,0.2923
mbpp_94_index_minimum,0.0,11.2970
mbpp_95_Find_Min_Length,0.0,2.1917
mbpp_96_divisor,0.0,1.5474
mbpp_97_frequency_lists,0.0,6.0940
mbpp_99_decimal_to_binary,0.0,2.2445
mbpp_100_next_smallest_palindrome,0.0,4.8183
mbpp_101_kth_element,0.0,0.8783
mbpp_102_snake_to_camel,0.0,2.9697
mbpp_103_eulerian_num,0.0,3.3652
mbpp_104_sort_sublists,0.0,1.9013
mbpp_105_count,0.0,0.2995
mbpp_106_add_lists,0.0,6.3111
mbpp_108_merge_sorted_list,0.0,1.2785
mbpp_109_odd_Equivalent,0.0,2.9150
mbpp_113_check_integer,0.0,0.3785
mbpp_116_tuple_to_int,0.0,0.2205
mbpp_117_list_to_float,0.0,11.2365
mbpp_118_string_to_list,0.0,0.2323
mbpp_119_search,0.0,11.2055
mbpp_120_max_product_tuple,0.0,6.8059
mbpp_123_amicable_numbers_sum,0.0,4.7252
mbpp_125_find_length,0.0,5.3899
mbpp_126_sum,0.0,2.3144
mbpp_127_multiply_int,0.0,0.1984
mbpp_128_long_words,0.0,2.6820
mbpp_129_magic_square_test,0.0,66.6245
mbpp_130_max_occurrences,0.0,7.1079
mbpp_131_reverse_vowels,0.0,12.3262
mbpp_132_tup_string,0.0,0.2328
mbpp_133_sum_negativenum,0.0,1.7953
mbpp_135_hexagonal_num,0.0,0.3954
mbpp_138_is_Sum_Of_Powers_Of_Two,0.0,1.8572
mbpp_141_pancake_sort,0.0,9.8420
mbpp_142_count_samepair,0.0,2.5291
mbpp_143_find_lists,0.0,1.5598
mbpp_145_max_Abs_Diff,0.0,5.2207
mbpp_160_find_solution,0.0,83.7150
mbpp_161_remove_elements,0.0,0.8347
mbpp_162_sum_series,0.0,1.4027
mbpp_164_are_equivalent,0.0,4.5466
mbpp_165_count_char_position,0.0,2.7641
mbpp_166_find_even_pair,0.0,3.0543
mbpp_167_next_power_of_2,0.0,1.4770
mbpp_168_frequency,0.0,1.4745
mbpp_170_sum_range_list,0.0,1.1270
mbpp_171_perimeter_pentagon,0.0,0.2188
mbpp_172_count_occurance,0.0,2.7869
mbpp_222_check_type,0.0,11.2791
mbpp_223_is_majority,0.0,1.6320
mbpp_224_count_Set_Bits,0.0,1.0723
mbpp_226_odd_values_string,0.0,1.6842
mbpp_227_min_of_three,0.0,1.5629
mbpp_228_all_Bits_Set_In_The_Given_Range,0.0,3.4629
mbpp_229_re_arrange_array,0.0,8.3134
mbpp_230_replace_blank,0.0,2.0584
mbpp_234_volume_cube,0.0,0.2354
mbpp_237_check_occurences,0.0,10.8817
mbpp_238_number_of_substrings,0.0,1.9225
mbpp_239_get_total_number_of_sequences,0.0,6.1542
mbpp_240_replace_list,0.0,0.5611
mbpp_242_count_charac,0.0,0.2292
mbpp_244_next_Perfect_Square,0.0,2.2808
mbpp_245_max_sum,0.0,36.2139
mbpp_247_lps,0.0,3.9614
mbpp_249_intersection_array,0.0,3.6223
mbpp_250_count_X,0.0,1.5113
mbpp_251_insert_element,0.0,1.4266
mbpp_252_convert,0.0,5.1514
mbpp_253_count_integer,0.0,2.3325
mbpp_255_combinations_colors,0.0,11.4657
mbpp_256_count_Primes_nums,0.0,6.4176
mbpp_257_swap_numbers,0.0,0.2198
mbpp_259_maximize_elements,0.0,10.7604
mbpp_260_newman_prime,0.0,73.0399
mbpp_261_division_elements,0.0,10.5218
mbpp_262_split_two_parts,0.0,0.8500
mbpp_264_dog_age,0.0,1.2980
mbpp_265_list_split,0.0,1.5393
mbpp_266_lateralsurface_cube,0.0,0.2491
mbpp_267_square_Sum,0.0,1.6715
mbpp_268_find_star_num,0.0,0.5391
mbpp_269_ascii_value,0.0,0.2602
mbpp_270_sum_even_and_even_index,0.0,2.0420
mbpp_271_even_Power_Sum,0.0,1.9379
mbpp_272_rear_extract,0.0,13.1301
mbpp_273_substract_elements,0.0,12.9529
mbpp_274_even_binomial_Coeff_Sum,0.0,1.8783
mbpp_277_dict_filter,0.0,1.5515
mbpp_278_count_first_elements,0.0,11.2307
mbpp_279_is_num_decagonal,0.0,1.0046
mbpp_280_sequential_search,0.0,1.6731
mbpp_281_all_unique,0.0,1.2503
mbpp_282_sub_list,0.0,1.7337
mbpp_283_validate,0.0,2.5657
mbpp_284_check_element,0.0,1.2146
mbpp_285_text_match_two_three,0.0,0.5617
mbpp_286_max_sub_array_sum_repeated,0.0,15.7386
mbpp_287_square_Sum,0.0,1.5633
mbpp_290_max_length,0.0,3.1902
mbpp_291_count_no_of_ways,0.0,4.9161
mbpp_292_find,0.0,0.3327
mbpp_293_otherside_rightangle,0.0,0.3617
mbpp_294_max_val,0.0,2.0838
mbpp_295_sum_div,0.0,1.7172
mbpp_296_get_Inv_Count,0.0,4.4594
mbpp_297_flatten_list,0.0,3.3701
mbpp_299_max_aggregate,0.0,5.3916
mbpp_304_find_Element,0.0,6.9420
mbpp_305_start_withp,0.0,2.0918
mbpp_306_max_sum_increasing_subseq,0.0,6.4655
mbpp_308_large_product,0.0,7.4027
mbpp_309_maximum,0.0,0.6886
mbpp_310_string_to_tuple,0.0,0.2473
mbpp_388_highest_Power_of_2,0.0,1.3979
mbpp_389_find_lucas,0.0,1.6887
mbpp_390_add_string,0.0,1.4569
mbpp_391_convert_list_dictionary,0.0,2.5566
mbpp_392_get_max_sum,0.0,3.3716
mbpp_393_max_length_list,0.0,3.2349
mbpp_394_check_distinct,0.0,103.5121
mbpp_395_first_non_repeating_character,0.0,6.8612
mbpp_396_check_char,0.0,1.0970
mbpp_397_median_numbers,0.0,2.4259
mbpp_398_sum_of_digits,0.0,1.2124
mbpp_399_bitwise_xor,0.0,12.7603
mbpp_400_extract_freq,0.0,12.1677
mbpp_401_add_nested_tuples,0.0,11.1942
mbpp_404_minimum,0.0,0.3879
mbpp_405_check_tuplex,0.0,11.8393
mbpp_406_find_Parity,0.0,0.7693
mbpp_407_rearrange_bigger,0.0,15.3709
mbpp_408_k_smallest_pairs,0.0,20.3882
mbpp_409_min_product_tuple,0.0,4.2254
mbpp_410_min_val,0.0,2.0784
mbpp_411_snake_to_camel,0.0,2.9354
mbpp_412_remove_odd,0.0,0.5552
mbpp_413_extract_nth_element,0.0,1.4045
mbpp_414_overlapping,0.0,0.4591
mbpp_415_max_Product,0.0,14.3163
mbpp_417_group_tuples,0.0,6.0444
mbpp_418_Find_Max,0.0,2.1287
mbpp_419_round_and_sum,0.0,1.8496
mbpp_420_cube_Sum,0.0,1.8652
mbpp_421_concatenate_tuple,0.0,11.3769
mbpp_422_find_Average_Of_Cube,0.0,1.4860
mbpp_424_extract_rear,0.0,25.5489
mbpp_425_count_element_in_list,0.0,1.5981
mbpp_426_filter_oddnumbers,0.0,0.7664
mbpp_427_change_date_format,0.0,2.0441
mbpp_428_shell_sort,0.0,13.1606
mbpp_429_and_tuples,0.0,10.8207
mbpp_430_parabola_directrix,0.0,0.8358
mbpp_431_common_element,0.0,2.3930
mbpp_432_median_trapezium,0.0,0.5579
mbpp_433_check_greater,0.0,2.4456
mbpp_434_text_match_one,0.0,0.4451
mbpp_435_last_Digit,0.0,0.2417
mbpp_436_neg_nos,0.0,1.9084
mbpp_437_remove_odd,0.0,1.9269
mbpp_438_count_bidirectional,0.0,10.9871
mbpp_439_multiple_to_single,0.0,0.2139
mbpp_440_find_adverb_position,0.0,5.6545
mbpp_441_surfacearea_cube,0.0,0.2619
mbpp_442_positive_count,0.0,3.6717
mbpp_443_largest_neg,0.0,2.3820
mbpp_444_trim_tuple,0.0,11.0218
mbpp_445_index_multiplication,0.0,10.9641
mbpp_446_count_Occurrence,0.0,3.1783
mbpp_447_cube_nums,0.0,0.4874
mbpp_448_cal_sum,0.0,3.4337
mbpp_450_extract_string,0.0,1.8191
mbpp_451_remove_whitespaces,0.0,1.2504
mbpp_452_loss_amount,0.0,0.8454
mbpp_453_sumofFactors,0.0,1.8676
mbpp_454_text_match_wordz,0.0,2.0282
mbpp_455_check_monthnumb_number,0.0,2.5505
mbpp_456_reverse_string_list,0.0,1.8020
mbpp_457_Find_Min,0.0,8.1088
mbpp_458_rectangle_area,0.0,0.2944
mbpp_459_remove_uppercase,0.0,0.7733
mbpp_460_Extract,0.0,0.3754
mbpp_461_upper_ctr,0.0,2.0216
mbpp_462_combinations_list,0.0,7.6910
mbpp_463_max_subarray_product,0.0,9.3401
mbpp_464_check_value,0.0,21.6199
mbpp_465_drop_empty,0.0,3.9205
mbpp_468_max_product,0.0,8.9986
mbpp_470_add_pairwise,0.0,10.6929
mbpp_471_find_remainder,0.0,1.6335
mbpp_472_check_Consecutive,0.0,3.5068
mbpp_474_replace_char,0.0,0.6154
mbpp_475_sort_counter,0.0,3.8063
mbpp_476_big_sum,0.0,0.9390
mbpp_477_is_lower,0.0,0.2169
mbpp_478_remove_lowercase,0.0,0.6589
mbpp_479_first_Digit,0.0,1.4621
mbpp_554_Split,0.0,1.9187
mbpp_555_difference,0.0,2.7035
mbpp_556_find_Odd_Pair,0.0,5.0338
mbpp_557_toggle_string,0.0,2.8875
mbpp_558_digit_distance_nums,0.0,7.7755
mbpp_559_max_sub_array_sum,0.0,4.4152
mbpp_560_union_elements,0.0,13.4086
mbpp_562_Find_Max_Length,0.0,1.8642
mbpp_563_extract_values,0.0,3.9925
mbpp_564_count_Pairs,0.0,4.0409
mbpp_565_split,0.0,0.2174
mbpp_566_sum_digits,0.0,1.3529
mbpp_567_issort_list,0.0,1.5850
mbpp_568_empty_list,0.0,0.9866
mbpp_569_sort_sublists,0.0,1.4411
mbpp_572_two_unique_nums,0.0,2.2964
mbpp_573_unique_product,0.0,2.2756
mbpp_574_surfacearea_cylinder,0.0,0.4207
mbpp_576_is_Sub_Array,0.0,2.6962
mbpp_577_last_Digit_Factorial,0.0,2.7567
mbpp_578_interleave_lists,0.0,1.7870
mbpp_579_find_dissimilar,0.0,10.8843
mbpp_580_extract_even,0.0,82.0065
mbpp_581_surface_Area,0.0,0.5262
mbpp_583_catalan_number,0.0,3.0583
mbpp_584_find_adverbs,0.0,5.5189
mbpp_585_expensive_items,0.0,1.5003
mbpp_586_split_Arr,0.0,1.3055
mbpp_587_list_tuple,0.0,0.1897
mbpp_588_big_diff,0.0,5.0927
mbpp_589_perfect_squares,0.0,2.0825
mbpp_591_swap_List,0.0,1.8081
mbpp_592_sum_Of_product,0.0,1.4938
mbpp_593_removezero_ip,0.0,3.0772
mbpp_594_diff_even_odd,0.0,5.8643
mbpp_595_min_Swaps,0.0,4.2312
mbpp_597_find_kth,0.0,12.8146
mbpp_598_armstrong_number,0.0,3.1352
mbpp_599_sum_average,0.0,2.0759
mbpp_600_is_Even,0.0,0.6900
mbpp_602_first_repeated_char,0.0,2.7955
mbpp_603_get_ludic,0.0,3.8949
mbpp_604_reverse_words,0.0,1.7456
mbpp_605_prime_num,0.0,2.0187
mbpp_606_radian_degree,0.0,0.3969
mbpp_607_find_literals,0.0,2.5955
mbpp_608_bell_Number,0.0,5.6407
mbpp_610_remove_kth_element,0.0,1.8783
mbpp_611_max_of_nth,0.0,31.0149
mbpp_612_merge,0.0,2.5791
mbpp_614_cummulative_sum,0.0,10.7619
mbpp_615_average_tuple,0.0,3.4114
mbpp_616_tuple_modulo,0.0,10.8659
mbpp_617_min_Jumps,0.0,1.9337
mbpp_618_div_list,0.0,2.9392
mbpp_619_move_num,0.0,113.3471
mbpp_622_get_median,0.0,22.7747
mbpp_623_nth_nums,0.0,0.4163
mbpp_624_is_upper,0.0,0.2691
mbpp_625_swap_List,0.0,1.7612
mbpp_626_triangle_area,0.0,1.0792
mbpp_627_find_First_Missing,0.0,3.9574
mbpp_628_replace_spaces,0.0,0.8708
mbpp_629_Split,0.0,3.2630
mbpp_630_get_coordinates,0.0,10.9574
mbpp_631_replace_spaces,0.0,1.0235
mbpp_632_move_zero,0.0,4.0898
mbpp_633_pair_xor_Sum,0.0,4.0284
mbpp_635_heap_sort,0.0,11.3181
mbpp_637_noprofit_noloss,0.0,0.6680
mbpp_638_wind_chill,0.0,3.0893
mbpp_639_sample_nam,0.0,2.0639
mbpp_640_remove_parenthesis,0.0,1.0904
mbpp_641_is_nonagonal,0.0,0.7045
mbpp_643_text_match_wordz_middle,0.0,10.7615
mbpp_644_reverse_Array_Upto_K,0.0,4.5748
mbpp_720_add_dict_to_tuple,0.0,11.8616
mbpp_721_maxAverageOfPath,0.0,48.1987
mbpp_722_filter_data,0.0,10.0328
mbpp_723_count_same_pair,0.0,1.8773
mbpp_724_power_base_sum,0.0,2.1051
mbpp_725_extract_quotation,0.0,0.4639
mbpp_726_multiply_elements,0.0,11.0832
mbpp_728_sum_list,0.0,1.5158
mbpp_730_consecutive_duplicates,0.0,2.0050
mbpp_731_lateralsurface_cone,0.0,1.3595
mbpp_732_replace_specialchar,0.0,0.4279
mbpp_733_find_first_occurrence,0.0,6.3475
mbpp_734_sum_Of_Subarray_Prod,0.0,2.6365
mbpp_735_toggle_middle_bits,0.0,2.6789
mbpp_736_left_insertion,0.0,3.7175
mbpp_737_check_str,0.0,1.0308
mbpp_738_geometric_sum,0.0,1.2529
mbpp_739_find_Index,0.0,3.7524
mbpp_740_tuple_to_dict,0.0,10.7201
mbpp_741_all_Characters_Same,0.0,0.3697
mbpp_742_area_tetrahedron,0.0,0.7290
mbpp_743_rotate_right,0.0,3.3981
mbpp_744_check_none,0.0,22.8833
mbpp_745_divisible_by_digits,0.0,5.6879
mbpp_746_sector_area,0.0,1.2413
mbpp_747_lcs_of_three,0.0,53.9859
mbpp_748_capital_words_spaces,0.0,5.7592
mbpp_749_sort_numeric_strings,0.0,0.4587
mbpp_750_add_tuple,0.0,11.4283
mbpp_751_check_min_heap,0.0,4.7468
mbpp_752_jacobsthal_num,0.0,1.9423
mbpp_753_min_k,0.0,1.8786
mbpp_754_extract_index_list,0.0,9.0312
mbpp_755_second_smallest,0.0,7.0618
mbpp_756_text_match_zero_one,0.0,0.4675
mbpp_757_count_reverse_pairs,0.0,11.0572
mbpp_759_is_decimal,0.0,0.3928
mbpp_760_unique_Element,0.0,0.6583
mbpp_762_check_monthnumber_number,0.0,1.4919
mbpp_763_find_min_diff,0.0,7.0743
mbpp_764_number_ctr,0.0,1.8010
mbpp_765_is_polite,0.0,2.9633
mbpp_766_pair_wise,0.0,2.1658
mbpp_767_get_pairs_count,0.0,4.6331
mbpp_769_Diff,0.0,1.8364
mbpp_770_odd_num_sum,0.0,1.6595
mbpp_771_check_expression,0.0,11.9460
mbpp_772_remove_length,0.0,49.6592
mbpp_773_occurance_substring,0.0,2.4371
mbpp_775_odd_position,0.0,1.3620
mbpp_776_count_vowels,0.0,11.9737
mbpp_777_find_sum,0.0,6.6600
mbpp_778_pack_consecutive_duplicates,0.0,5.2150
mbpp_780_find_combinations,0.0,56.9716
mbpp_781_count_divisors,0.0,3.6906
mbpp_782_odd_length_sum,0.0,3.2225
mbpp_783_rgb_to_hsv,0.0,25.2864
mbpp_784_mul_even_odd,0.0,5.4082
mbpp_785_tuple_str_int,0.0,98.9423
mbpp_786_right_insertion,0.0,1.0685
mbpp_787_text_match_three,0.0,0.5564
mbpp_788_new_tuple,0.0,11.1710
mbpp_790_even_position,0.0,1.3759
mbpp_791_remove_nested,0.0,15.4428
mbpp_792_count_list,0.0,0.2293
mbpp_793_last,0.0,6.1358
mbpp_794_text_starta_endb,0.0,0.5408
mbpp_796_return_sum,0.0,11.3441
mbpp_797_sum_in_range,0.0,1.6327
mbpp_798__sum,0.0,0.6638
mbpp_799_left_rotate,0.0,1.2421
mbpp_800_remove_all_spaces,0.0,1.2192
