task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.01,12.1414
mbpp_4_heap_queue_largest,0.01,12.4433
mbpp_6_differ_At_One_Bit_Pos,0.01,6.6894
mbpp_8_square_nums,0.01,2.3166
mbpp_9_find_Rotations,0.01,48.5474
mbpp_11_remove_Occ,0.01,32.2750
mbpp_12_sort_matrix,0.01,11.6451
mbpp_14_find_Volume,0.01,2.7094
mbpp_16_text_lowercase_underscore,0.01,0.8662
mbpp_17_square_perimeter,0.01,1.3346
mbpp_18_remove_dirty_chars,0.01,13.5914
mbpp_19_test_duplicate,0.01,21.9590
mbpp_20_is_woodall,0.01,12.0803
mbpp_56_checks,0.01,93.8609
mbpp_57_find_Max_Num,0.01,84.9057
mbpp_58_opposite_Signs,0.01,1.9430
mbpp_59_is_octagonal,0.01,2633.9004
mbpp_61_count_Substrings,0.01,102.3334
mbpp_62_smallest_num,0.01,2.8374
mbpp_63_max_difference,0.01,102.5932
mbpp_64_subject_marks,0.01,12.3211
mbpp_65_recursive_list_sum,0.01,106.0627
mbpp_66_pos_count,0.01,11.0751
mbpp_67_bell_number,0.01,86.6590
mbpp_68_is_Monotonic,0.01,18.6877
mbpp_69_is_sublist,0.01,56.6537
mbpp_70_get_equal,0.01,14.2336
mbpp_71_comb_sort,0.01,99.2033
mbpp_72_dif_Square,0.01,6.0469
mbpp_74_is_samepatterns,0.01,67.0606
mbpp_75_find_tuples,0.01,46.8592
mbpp_77_is_Diff,0.01,25.9080
mbpp_79_word_len,0.01,1.4937
mbpp_80_tetrahedral_number,0.01,3.3965
mbpp_83_get_Char,0.01,39.1463
mbpp_84_sequence,0.01,7.5926
mbpp_86_centered_hexagonal_number,0.01,2.5669
mbpp_87_merge_dictionaries_three,0.01,3.8408
mbpp_88_freq_count,0.01,15.8654
mbpp_89_closest_num,0.01,1.2766
mbpp_90_len_log,0.01,63.9253
mbpp_91_find_substring,0.01,27.5034
mbpp_92_is_undulating,0.01,18.7957
mbpp_93_power,0.01,2.0053
mbpp_94_index_minimum,0.01,75.9558
mbpp_95_Find_Min_Length,0.01,9.9194
mbpp_96_divisor,0.01,70.5619
mbpp_97_frequency_lists,0.01,69.0588
mbpp_99_decimal_to_binary,0.01,5.7664
mbpp_100_next_smallest_palindrome,0.01,57.6686
mbpp_101_kth_element,0.01,1.7569
mbpp_102_snake_to_camel,0.01,1.3977
mbpp_103_eulerian_num,0.01,24.1128
mbpp_104_sort_sublists,0.01,43.5945
mbpp_105_count,0.01,1.6044
mbpp_106_add_lists,0.01,64.5095
mbpp_108_merge_sorted_list,0.01,67.3719
mbpp_109_odd_Equivalent,0.01,43.6537
mbpp_113_check_integer,0.01,0.7616
mbpp_116_tuple_to_int,0.01,1.5986
mbpp_117_list_to_float,0.01,59.8852
mbpp_118_string_to_list,0.01,1.3520
mbpp_119_search,0.01,62.0278
mbpp_120_max_product_tuple,0.01,49.4449
mbpp_123_amicable_numbers_sum,0.01,18.8315
mbpp_125_find_length,0.01,51.3181
mbpp_126_sum,0.01,12.7165
mbpp_127_multiply_int,0.01,1.1181
mbpp_128_long_words,0.01,43.9402
mbpp_129_magic_square_test,0.01,133.9546
mbpp_130_max_occurrences,0.01,56.4111
mbpp_131_reverse_vowels,0.01,51.2449
mbpp_132_tup_string,0.01,0.9631
mbpp_133_sum_negativenum,0.01,37.7824
mbpp_135_hexagonal_num,0.01,1.4926
mbpp_138_is_Sum_Of_Powers_Of_Two,0.01,7.9419
mbpp_141_pancake_sort,0.01,49.9323
mbpp_142_count_samepair,0.01,16.9424
mbpp_143_find_lists,0.01,49.3628
mbpp_145_max_Abs_Diff,0.01,25.5096
mbpp_160_find_solution,0.01,48.7748
mbpp_161_remove_elements,0.01,4.6404
mbpp_162_sum_series,0.01,54.8373
mbpp_164_are_equivalent,0.01,44.2417
mbpp_165_count_char_position,0.01,15.3142
mbpp_166_find_even_pair,0.01,52.6460
mbpp_167_next_power_of_2,0.01,6.4961
mbpp_168_frequency,0.01,53.6730
mbpp_170_sum_range_list,0.01,51.6119
mbpp_171_perimeter_pentagon,0.01,0.8705
mbpp_172_count_occurance,0.01,39.3009
mbpp_222_check_type,0.01,40.0531
mbpp_223_is_majority,0.01,54.0735
mbpp_224_count_Set_Bits,0.01,53.2988
mbpp_226_odd_values_string,0.01,8.7618
mbpp_227_min_of_three,0.01,7.8547
mbpp_228_all_Bits_Set_In_The_Given_Range,0.01,76.4132
mbpp_229_re_arrange_array,0.01,48.8361
mbpp_230_replace_blank,0.01,2.1527
mbpp_234_volume_cube,0.01,1.4180
mbpp_237_check_occurences,0.01,59.9389
mbpp_238_number_of_substrings,0.01,12.6716
mbpp_239_get_total_number_of_sequences,0.01,86.0959
mbpp_240_replace_list,0.01,3.8046
mbpp_242_count_charac,0.01,8.0989
mbpp_244_next_Perfect_Square,0.01,6.1048
mbpp_245_max_sum,0.01,69.3906
mbpp_247_lps,0.01,69.3996
mbpp_249_intersection_array,0.01,21.7497
mbpp_250_count_X,0.01,11.3524
mbpp_251_insert_element,0.01,10.2722
mbpp_252_convert,0.01,14.9608
mbpp_253_count_integer,0.01,11.8134
mbpp_255_combinations_colors,0.01,79.2955
mbpp_256_count_Primes_nums,0.01,81.0957
mbpp_257_swap_numbers,0.01,2.0947
mbpp_259_maximize_elements,0.01,79.4046
mbpp_260_newman_prime,0.01,397.5043
mbpp_261_division_elements,0.01,88.5599
mbpp_262_split_two_parts,0.01,7.4304
mbpp_264_dog_age,0.01,23.6260
mbpp_265_list_split,0.01,12.9896
mbpp_266_lateralsurface_cube,0.01,2.2126
mbpp_267_square_Sum,0.01,97.3951
mbpp_268_find_star_num,0.01,3.4760
mbpp_269_ascii_value,0.01,2.3917
mbpp_270_sum_even_and_even_index,0.01,98.3431
mbpp_271_even_Power_Sum,0.01,98.4246
mbpp_272_rear_extract,0.01,97.2130
mbpp_273_substract_elements,0.01,44.3288
mbpp_274_even_binomial_Coeff_Sum,0.01,42.3478
mbpp_277_dict_filter,0.01,52.0929
mbpp_278_count_first_elements,0.01,10.4912
mbpp_279_is_num_decagonal,0.01,7.3602
mbpp_280_sequential_search,0.01,65.3073
mbpp_281_all_unique,0.01,13.0569
mbpp_282_sub_list,0.01,9.8390
mbpp_283_validate,0.01,70.9494
mbpp_284_check_element,0.01,62.7912
mbpp_285_text_match_two_three,0.01,1.1049
mbpp_286_max_sub_array_sum_repeated,0.01,58.2312
mbpp_287_square_Sum,0.01,64.8407
mbpp_290_max_length,0.01,64.6918
mbpp_291_count_no_of_ways,0.01,90.8375
mbpp_292_find,0.01,1.6248
mbpp_293_otherside_rightangle,0.01,2.2223
mbpp_294_max_val,0.01,71.2089
mbpp_295_sum_div,0.01,68.4800
mbpp_296_get_Inv_Count,0.01,68.4267
mbpp_297_flatten_list,0.01,20.0540
mbpp_299_max_aggregate,0.01,72.1190
mbpp_304_find_Element,0.01,70.0145
mbpp_305_start_withp,0.01,65.5978
mbpp_306_max_sum_increasing_subseq,0.01,92.8498
mbpp_308_large_product,0.01,75.4817
mbpp_309_maximum,0.01,4.0688
mbpp_310_string_to_tuple,0.01,1.6802
mbpp_388_highest_Power_of_2,0.01,72.3647
mbpp_389_find_lucas,0.01,12.2312
mbpp_390_add_string,0.01,3.5592
mbpp_391_convert_list_dictionary,0.01,16.6440
mbpp_392_get_max_sum,0.01,87.1714
mbpp_393_max_length_list,0.01,81.6854
mbpp_394_check_distinct,0.01,6.0245
mbpp_395_first_non_repeating_character,0.01,44.2452
mbpp_396_check_char,0.01,7.8379
mbpp_397_median_numbers,0.01,24.9189
mbpp_398_sum_of_digits,0.01,11.4989
mbpp_399_bitwise_xor,0.01,89.7587
mbpp_400_extract_freq,0.01,93.1185
mbpp_401_add_nested_tuples,0.01,89.9534
mbpp_404_minimum,0.01,5.5082
mbpp_405_check_tuplex,0.01,11.8100
mbpp_406_find_Parity,0.01,6.6003
mbpp_407_rearrange_bigger,0.01,99.3806
mbpp_408_k_smallest_pairs,0.01,101.1973
mbpp_409_min_product_tuple,0.01,96.7142
mbpp_410_min_val,0.01,99.1937
mbpp_411_snake_to_camel,0.01,1.8435
mbpp_412_remove_odd,0.01,16.1507
mbpp_413_extract_nth_element,0.01,96.6059
mbpp_414_overlapping,0.01,109.6297
mbpp_415_max_Product,0.01,61.9592
mbpp_417_group_tuples,0.01,23.0995
mbpp_418_Find_Max,0.01,15.6398
mbpp_419_round_and_sum,0.01,10.8500
mbpp_420_cube_Sum,0.01,67.3680
mbpp_421_concatenate_tuple,0.01,9.1937
mbpp_422_find_Average_Of_Cube,0.01,72.9437
mbpp_424_extract_rear,0.01,68.1356
mbpp_425_count_element_in_list,0.01,11.0776
mbpp_426_filter_oddnumbers,0.01,2.9384
mbpp_427_change_date_format,0.01,7.3070
mbpp_428_shell_sort,0.01,80.4827
mbpp_429_and_tuples,0.01,73.3225
mbpp_430_parabola_directrix,0.01,6.5868
mbpp_431_common_element,0.01,16.8281
mbpp_432_median_trapezium,0.01,4.4187
mbpp_433_check_greater,0.01,8.7470
mbpp_434_text_match_one,0.01,1.2179
mbpp_435_last_Digit,0.01,1.8941
mbpp_436_neg_nos,0.01,13.2051
mbpp_437_remove_odd,0.01,13.6424
mbpp_438_count_bidirectional,0.01,84.9903
mbpp_439_multiple_to_single,0.01,12.3452
mbpp_440_find_adverb_position,0.01,2.2985
mbpp_441_surfacearea_cube,0.01,2.1727
mbpp_442_positive_count,0.01,88.4098
mbpp_443_largest_neg,0.01,87.5213
mbpp_444_trim_tuple,0.01,2256.0150
mbpp_445_index_multiplication,0.01,122.6048
mbpp_446_count_Occurrence,0.01,16.7926
mbpp_447_cube_nums,0.01,5.5107
mbpp_448_cal_sum,0.01,65.7472
mbpp_450_extract_string,0.01,7.8952
mbpp_451_remove_whitespaces,0.01,0.7095
mbpp_452_loss_amount,0.01,3.6206
mbpp_453_sumofFactors,0.01,46.6178
mbpp_454_text_match_wordz,0.01,0.6113
mbpp_455_check_monthnumb_number,0.01,13.0809
mbpp_456_reverse_string_list,0.01,34.6202
mbpp_457_Find_Min,0.01,9.6749
mbpp_458_rectangle_area,0.01,0.8894
mbpp_459_remove_uppercase,0.01,0.8771
mbpp_460_Extract,0.01,1.6532
mbpp_461_upper_ctr,0.01,10.7233
mbpp_462_combinations_list,0.01,1.7787
mbpp_463_max_subarray_product,0.01,56.6811
mbpp_464_check_value,0.01,62.4011
mbpp_465_drop_empty,0.01,50.4544
mbpp_468_max_product,0.01,47.4926
mbpp_470_add_pairwise,0.01,47.2208
mbpp_471_find_remainder,0.01,48.9215
mbpp_472_check_Consecutive,0.01,17.0898
mbpp_474_replace_char,0.01,56.5158
mbpp_475_sort_counter,0.01,97.0217
mbpp_476_big_sum,0.01,24.4880
mbpp_477_is_lower,0.01,1.2407
mbpp_478_remove_lowercase,0.01,1.0277
mbpp_479_first_Digit,0.01,4.3767
mbpp_554_Split,0.01,10.8415
mbpp_555_difference,0.01,62.5989
mbpp_556_find_Odd_Pair,0.01,62.7507
mbpp_557_toggle_string,0.01,60.0586
mbpp_558_digit_distance_nums,0.01,41.8421
mbpp_559_max_sub_array_sum,0.01,76.4945
mbpp_560_union_elements,0.01,77.6551
mbpp_562_Find_Max_Length,0.01,43.5793
mbpp_563_extract_values,0.01,0.9645
mbpp_564_count_Pairs,0.01,33.7679
mbpp_565_split,0.01,0.6689
mbpp_566_sum_digits,0.01,6.2235
mbpp_567_issort_list,0.01,10.8369
mbpp_568_empty_list,0.01,5.6746
mbpp_569_sort_sublists,0.01,1.6255
mbpp_572_two_unique_nums,0.01,11.2934
mbpp_573_unique_product,0.01,12.8424
mbpp_574_surfacearea_cylinder,0.01,2.3995
mbpp_576_is_Sub_Array,0.01,58.6122
mbpp_577_last_Digit_Factorial,0.01,3.5609
mbpp_578_interleave_lists,0.01,57.0363
mbpp_579_find_dissimilar,0.01,91.3942
mbpp_580_extract_even,0.01,57.3583
mbpp_581_surface_Area,0.01,2.1568
mbpp_583_catalan_number,0.01,76.4818
mbpp_584_find_adverbs,0.01,0.7472
mbpp_585_expensive_items,0.01,7.3788
mbpp_586_split_Arr,0.01,6.7831
mbpp_587_list_tuple,0.01,1.0188
mbpp_588_big_diff,0.01,34.8058
mbpp_589_perfect_squares,0.01,15.6320
mbpp_591_swap_List,0.01,11.7062
mbpp_592_sum_Of_product,0.01,73.6714
mbpp_593_removezero_ip,0.01,47.1298
mbpp_594_diff_even_odd,0.01,35.1506
mbpp_595_min_Swaps,0.01,45.0491
mbpp_597_find_kth,0.01,46.9171
mbpp_598_armstrong_number,0.01,42.5032
mbpp_599_sum_average,0.01,31.1025
mbpp_600_is_Even,0.01,2.8245
mbpp_602_first_repeated_char,0.01,14.9932
mbpp_603_get_ludic,0.01,11.7199
mbpp_604_reverse_words,0.01,2.3419
mbpp_605_prime_num,0.01,58.8893
mbpp_606_radian_degree,0.01,4.2303
mbpp_607_find_literals,0.01,42.8581
mbpp_608_bell_Number,0.01,21.6939
mbpp_610_remove_kth_element,0.01,2.2625
mbpp_611_max_of_nth,0.01,60.7907
mbpp_612_merge,0.01,43.1965
mbpp_614_cummulative_sum,0.01,56.9124
mbpp_615_average_tuple,0.01,54.2409
mbpp_616_tuple_modulo,0.01,54.7734
mbpp_617_min_Jumps,0.01,12.2135
mbpp_618_div_list,0.01,57.3680
mbpp_619_move_num,0.01,1.3311
mbpp_622_get_median,0.01,71.5463
mbpp_623_nth_nums,0.01,3.1246
mbpp_624_is_upper,0.01,0.9028
mbpp_625_swap_List,0.01,10.0089
mbpp_626_triangle_area,0.01,1.3609
mbpp_627_find_First_Missing,0.01,43.0413
mbpp_628_replace_spaces,0.01,1.8192
mbpp_629_Split,0.01,9.3412
mbpp_630_get_coordinates,0.01,48.9621
mbpp_631_replace_spaces,0.01,49.1042
mbpp_632_move_zero,0.01,12.3131
mbpp_633_pair_xor_Sum,0.01,54.0816
mbpp_635_heap_sort,0.01,52.7040
mbpp_637_noprofit_noloss,0.01,2.9333
mbpp_638_wind_chill,0.01,9.0461
mbpp_639_sample_nam,0.01,6.1868
mbpp_640_remove_parenthesis,0.01,0.7673
mbpp_641_is_nonagonal,0.01,2.5960
mbpp_643_text_match_wordz_middle,0.01,0.5456
mbpp_644_reverse_Array_Upto_K,0.01,6.3940
mbpp_720_add_dict_to_tuple,0.01,5.7016
mbpp_721_maxAverageOfPath,0.01,127.3697
mbpp_722_filter_data,0.01,47.4709
mbpp_723_count_same_pair,0.01,46.2668
mbpp_724_power_base_sum,0.01,69.1462
mbpp_725_extract_quotation,0.01,41.9112
mbpp_726_multiply_elements,0.01,49.3847
mbpp_728_sum_list,0.01,10.1737
mbpp_730_consecutive_duplicates,0.01,69.8378
mbpp_731_lateralsurface_cone,0.01,7.9996
