task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.01,50.4505
mbpp_4_heap_queue_largest,0.01,300.0485
mbpp_6_differ_At_One_Bit_Pos,0.01,4.6358
mbpp_8_square_nums,0.01,6.8119
mbpp_9_find_Rotations,0.01,12.3843
mbpp_11_remove_Occ,0.01,12.4873
mbpp_12_sort_matrix,0.01,300.0571
mbpp_14_find_Volume,0.01,1.0824
mbpp_16_text_lowercase_underscore,0.01,300.0267
mbpp_17_square_perimeter,0.01,0.7007
mbpp_18_remove_dirty_chars,0.01,10.1139
mbpp_19_test_duplicate,0.01,9.0445
mbpp_20_is_woodall,0.01,3.8414
mbpp_56_checks,0.01,2.8299
mbpp_57_find_Max_Num,0.01,7.9488
mbpp_58_opposite_Signs,0.01,1.3268
mbpp_59_is_octagonal,0.01,300.0494
mbpp_61_count_Substrings,0.01,8.1393
mbpp_62_smallest_num,0.01,9.5021
mbpp_63_max_difference,0.01,29.4641
mbpp_64_subject_marks,0.01,300.0311
mbpp_65_recursive_list_sum,0.01,7.5983
mbpp_66_pos_count,0.01,4.6241
mbpp_67_bell_number,0.01,8.3466
mbpp_68_is_Monotonic,0.01,124.4390
mbpp_69_is_sublist,0.01,14.6718
mbpp_70_get_equal,0.01,9.5967
mbpp_71_comb_sort,0.01,122.6064
mbpp_72_dif_Square,0.01,9.8832
mbpp_74_is_samepatterns,0.01,4.7950
mbpp_75_find_tuples,0.01,10.7461
mbpp_77_is_Diff,0.01,11.3846
mbpp_79_word_len,0.01,0.8394
mbpp_80_tetrahedral_number,0.01,13.0020
mbpp_83_get_Char,0.01,6.8240
mbpp_84_sequence,0.01,300.0478
mbpp_86_centered_hexagonal_number,0.01,8.5679
mbpp_87_merge_dictionaries_three,0.01,39.2183
mbpp_88_freq_count,0.01,14.6142
mbpp_89_closest_num,0.01,300.0166
mbpp_90_len_log,0.01,10.2132
mbpp_91_find_substring,0.01,4.7993
mbpp_92_is_undulating,0.01,13.8854
mbpp_93_power,0.01,1.0664
mbpp_94_index_minimum,0.01,33.7406
mbpp_95_Find_Min_Length,0.01,11.3526
mbpp_96_divisor,0.01,300.0464
mbpp_97_frequency_lists,0.01,11.9256
mbpp_99_decimal_to_binary,0.01,12.8917
mbpp_100_next_smallest_palindrome,0.01,124.3612
mbpp_101_kth_element,0.01,3.9316
mbpp_102_snake_to_camel,0.01,11.6302
mbpp_103_eulerian_num,0.01,8.6107
mbpp_104_sort_sublists,0.01,300.0251
mbpp_105_count,0.01,3.2584
mbpp_106_add_lists,0.01,1.2876
mbpp_108_merge_sorted_list,0.01,125.9590
mbpp_109_odd_Equivalent,0.01,11.7277
mbpp_113_check_integer,0.01,300.0477
mbpp_116_tuple_to_int,0.01,6.5435
mbpp_117_list_to_float,0.01,11.3202
mbpp_118_string_to_list,0.01,0.7136
mbpp_119_search,0.01,5.4237
mbpp_120_max_product_tuple,0.01,32.6240
mbpp_123_amicable_numbers_sum,0.01,300.0370
mbpp_125_find_length,0.01,300.0374
mbpp_126_sum,0.01,11.6362
mbpp_127_multiply_int,0.01,0.6954
mbpp_128_long_words,0.01,5.0192
mbpp_129_magic_square_test,0.01,23.1223
mbpp_130_max_occurrences,0.01,300.0478
mbpp_131_reverse_vowels,0.01,26.3426
mbpp_132_tup_string,0.01,1.0212
mbpp_133_sum_negativenum,0.01,5.5253
mbpp_135_hexagonal_num,0.01,5.7788
mbpp_138_is_Sum_Of_Powers_Of_Two,0.01,7.8992
mbpp_141_pancake_sort,0.01,37.9308
mbpp_142_count_samepair,0.01,10.6757
mbpp_143_find_lists,0.01,6.9064
mbpp_145_max_Abs_Diff,0.01,300.0228
mbpp_160_find_solution,0.01,77.4161
mbpp_161_remove_elements,0.01,7.1181
mbpp_162_sum_series,0.01,300.0349
mbpp_164_are_equivalent,0.01,300.0526
mbpp_165_count_char_position,0.01,129.7292
mbpp_166_find_even_pair,0.01,10.9678
mbpp_167_next_power_of_2,0.01,6.3383
mbpp_168_frequency,0.01,3.9262
mbpp_170_sum_range_list,0.01,8.0404
mbpp_171_perimeter_pentagon,0.01,0.6185
mbpp_172_count_occurance,0.01,4.7252
mbpp_222_check_type,0.01,7.8677
mbpp_223_is_majority,0.01,14.2646
mbpp_224_count_Set_Bits,0.01,8.3333
mbpp_226_odd_values_string,0.01,6.1565
mbpp_227_min_of_three,0.01,7.5040
mbpp_228_all_Bits_Set_In_The_Given_Range,0.01,300.0539
mbpp_229_re_arrange_array,0.01,300.0558
mbpp_230_replace_blank,0.01,300.0597
mbpp_234_volume_cube,0.01,0.8991
mbpp_237_check_occurences,0.01,47.8581
mbpp_238_number_of_substrings,0.01,4.8590
mbpp_239_get_total_number_of_sequences,0.01,300.0321
mbpp_240_replace_list,0.01,2.9789
mbpp_242_count_charac,0.01,2.9121
mbpp_244_next_Perfect_Square,0.01,7.3841
mbpp_245_max_sum,0.01,300.0287
mbpp_247_lps,0.01,300.0349
mbpp_249_intersection_array,0.01,300.0352
mbpp_250_count_X,0.01,6.3895
mbpp_251_insert_element,0.01,300.0357
mbpp_252_convert,0.01,27.9520
mbpp_253_count_integer,0.01,6.0766
mbpp_255_combinations_colors,0.01,300.0342
mbpp_256_count_Primes_nums,0.01,300.0298
mbpp_257_swap_numbers,0.01,0.7279
mbpp_259_maximize_elements,0.01,124.4479
mbpp_260_newman_prime,0.01,300.0415
mbpp_261_division_elements,0.01,8.4168
mbpp_262_split_two_parts,0.01,2.3836
mbpp_264_dog_age,0.01,300.0563
mbpp_265_list_split,0.01,11.8851
mbpp_266_lateralsurface_cube,0.01,0.6869
mbpp_267_square_Sum,0.01,300.0345
mbpp_268_find_star_num,0.01,300.0373
mbpp_269_ascii_value,0.01,0.9586
mbpp_270_sum_even_and_even_index,0.01,9.2484
mbpp_271_even_Power_Sum,0.01,300.0192
mbpp_272_rear_extract,0.01,9.4595
mbpp_273_substract_elements,0.01,8.3049
mbpp_274_even_binomial_Coeff_Sum,0.01,300.0541
mbpp_277_dict_filter,0.01,9.6453
mbpp_278_count_first_elements,0.01,8.2898
mbpp_279_is_num_decagonal,0.01,300.0153
mbpp_280_sequential_search,0.01,26.2152
mbpp_281_all_unique,0.01,8.6445
mbpp_282_sub_list,0.01,7.5099
mbpp_283_validate,0.01,300.0462
mbpp_284_check_element,0.01,4.1291
mbpp_285_text_match_two_three,0.01,300.0327
mbpp_286_max_sub_array_sum_repeated,0.01,300.0260
mbpp_287_square_Sum,0.01,8.6938
mbpp_290_max_length,0.01,9.8626
mbpp_291_count_no_of_ways,0.01,300.0399
mbpp_292_find,0.01,1.2143
mbpp_293_otherside_rightangle,0.01,0.9312
mbpp_294_max_val,0.01,10.4344
mbpp_295_sum_div,0.01,300.0395
mbpp_296_get_Inv_Count,0.01,11.0912
mbpp_297_flatten_list,0.01,13.9369
mbpp_299_max_aggregate,0.01,10.0080
mbpp_304_find_Element,0.01,3.9640
mbpp_305_start_withp,0.01,8.7976
mbpp_306_max_sum_increasing_subseq,0.01,11.4733
mbpp_308_large_product,0.01,300.0516
mbpp_309_maximum,0.01,1.0558
mbpp_310_string_to_tuple,0.01,4.4650
mbpp_388_highest_Power_of_2,0.01,6.1192
mbpp_389_find_lucas,0.01,9.6872
mbpp_390_add_string,0.01,5.5095
mbpp_391_convert_list_dictionary,0.01,26.7616
mbpp_392_get_max_sum,0.01,20.2222
mbpp_393_max_length_list,0.01,12.3357
mbpp_394_check_distinct,0.01,9.4473
mbpp_395_first_non_repeating_character,0.01,38.3264
mbpp_396_check_char,0.01,8.9635
mbpp_397_median_numbers,0.01,12.4913
mbpp_398_sum_of_digits,0.01,18.2802
mbpp_399_bitwise_xor,0.01,7.1040
mbpp_400_extract_freq,0.01,15.0805
mbpp_401_add_nested_tuples,0.01,8.1862
mbpp_404_minimum,0.01,1.8128
mbpp_405_check_tuplex,0.01,4.1440
mbpp_406_find_Parity,0.01,3.2654
mbpp_407_rearrange_bigger,0.01,300.0346
mbpp_408_k_smallest_pairs,0.01,300.0307
mbpp_409_min_product_tuple,0.01,26.7587
mbpp_410_min_val,0.01,10.3790
mbpp_411_snake_to_camel,0.01,300.0393
mbpp_412_remove_odd,0.01,6.9547
mbpp_413_extract_nth_element,0.01,2.1983
mbpp_414_overlapping,0.01,5.1697
mbpp_415_max_Product,0.01,300.0507
mbpp_417_group_tuples,0.01,124.7533
mbpp_418_Find_Max,0.01,10.6729
mbpp_419_round_and_sum,0.01,4.8448
mbpp_420_cube_Sum,0.01,300.0499
mbpp_421_concatenate_tuple,0.01,4.1126
mbpp_422_find_Average_Of_Cube,0.01,300.0330
mbpp_424_extract_rear,0.01,8.8678
mbpp_425_count_element_in_list,0.01,5.2398
mbpp_426_filter_oddnumbers,0.01,3.4598
mbpp_427_change_date_format,0.01,300.0491
mbpp_428_shell_sort,0.01,132.2308
mbpp_429_and_tuples,0.01,300.0429
mbpp_430_parabola_directrix,0.01,1.7822
mbpp_431_common_element,0.01,7.0016
mbpp_432_median_trapezium,0.01,2.0857
mbpp_433_check_greater,0.01,3.3547
mbpp_434_text_match_one,0.01,300.0508
mbpp_435_last_Digit,0.01,0.7532
mbpp_436_neg_nos,0.01,8.5981
mbpp_437_remove_odd,0.01,9.0556
mbpp_438_count_bidirectional,0.01,7.0297
mbpp_439_multiple_to_single,0.01,5.9928
mbpp_440_find_adverb_position,0.01,69.4188
mbpp_441_surfacearea_cube,0.01,0.9287
mbpp_442_positive_count,0.01,4.6934
mbpp_443_largest_neg,0.01,13.3153
mbpp_444_trim_tuple,0.01,300.0303
mbpp_445_index_multiplication,0.01,8.2767
mbpp_446_count_Occurrence,0.01,6.0317
mbpp_447_cube_nums,0.01,10.9717
mbpp_448_cal_sum,0.01,300.0298
mbpp_450_extract_string,0.01,8.0431
mbpp_451_remove_whitespaces,0.01,2.8387
mbpp_452_loss_amount,0.01,3.9958
mbpp_453_sumofFactors,0.01,300.0451
mbpp_454_text_match_wordz,0.01,300.0362
mbpp_455_check_monthnumb_number,0.01,2.4769
mbpp_456_reverse_string_list,0.01,8.5581
mbpp_457_Find_Min,0.01,10.4523
mbpp_458_rectangle_area,0.01,0.6399
mbpp_459_remove_uppercase,0.01,13.4280
mbpp_460_Extract,0.01,4.7762
mbpp_461_upper_ctr,0.01,8.5324
mbpp_462_combinations_list,0.01,12.5209
mbpp_463_max_subarray_product,0.01,127.7406
mbpp_464_check_value,0.01,6.8095
mbpp_465_drop_empty,0.01,300.0397
mbpp_468_max_product,0.01,300.0443
mbpp_470_add_pairwise,0.01,64.3924
mbpp_471_find_remainder,0.01,6.8570
mbpp_472_check_Consecutive,0.01,4.9685
mbpp_474_replace_char,0.01,300.0053
mbpp_475_sort_counter,0.01,300.0437
mbpp_476_big_sum,0.01,43.0438
mbpp_477_is_lower,0.01,0.7819
mbpp_478_remove_lowercase,0.01,10.0418
mbpp_479_first_Digit,0.01,1.4957
mbpp_554_Split,0.01,2.6074
mbpp_555_difference,0.01,9.8281
mbpp_556_find_Odd_Pair,0.01,14.0076
mbpp_557_toggle_string,0.01,14.0351
mbpp_558_digit_distance_nums,0.01,123.6655
mbpp_559_max_sub_array_sum,0.01,29.5289
mbpp_560_union_elements,0.01,33.5242
mbpp_562_Find_Max_Length,0.01,12.7253
mbpp_563_extract_values,0.01,300.0440
mbpp_564_count_Pairs,0.01,10.1065
mbpp_565_split,0.01,4.3578
mbpp_566_sum_digits,0.01,8.0577
mbpp_567_issort_list,0.01,5.7511
mbpp_568_empty_list,0.01,7.3948
mbpp_569_sort_sublists,0.01,300.0497
mbpp_572_two_unique_nums,0.01,10.3034
mbpp_573_unique_product,0.01,20.7237
mbpp_574_surfacearea_cylinder,0.01,2.3407
mbpp_576_is_Sub_Array,0.01,4.6370
mbpp_577_last_Digit_Factorial,0.01,4.8655
mbpp_578_interleave_lists,0.01,10.5895
mbpp_579_find_dissimilar,0.01,12.6155
mbpp_580_extract_even,0.01,8.8227
mbpp_581_surface_Area,0.01,1.6934
mbpp_583_catalan_number,0.01,10.7831
mbpp_584_find_adverbs,0.01,10.6152
mbpp_585_expensive_items,0.01,300.0546
mbpp_586_split_Arr,0.01,7.4086
mbpp_587_list_tuple,0.01,2.3817
mbpp_588_big_diff,0.01,44.3656
mbpp_589_perfect_squares,0.01,6.3860
mbpp_591_swap_List,0.01,300.0203
mbpp_592_sum_Of_product,0.01,175.9574
mbpp_593_removezero_ip,0.01,14.5287
mbpp_594_diff_even_odd,0.01,300.0389
mbpp_595_min_Swaps,0.01,6.7898
mbpp_597_find_kth,0.01,35.8799
mbpp_598_armstrong_number,0.01,36.5028
mbpp_599_sum_average,0.01,9.3458
mbpp_600_is_Even,0.01,0.8772
mbpp_602_first_repeated_char,0.01,9.4488
mbpp_603_get_ludic,0.01,26.5365
mbpp_604_reverse_words,0.01,19.6521
mbpp_605_prime_num,0.01,47.1583
mbpp_606_radian_degree,0.01,1.3044
mbpp_607_find_literals,0.01,300.0427
mbpp_608_bell_Number,0.01,300.0460
mbpp_610_remove_kth_element,0.01,7.3189
mbpp_611_max_of_nth,0.01,13.6981
mbpp_612_merge,0.01,11.7917
mbpp_614_cummulative_sum,0.01,3.9318
mbpp_615_average_tuple,0.01,17.2307
mbpp_616_tuple_modulo,0.01,8.0673
mbpp_617_min_Jumps,0.01,5.8360
mbpp_618_div_list,0.01,7.1191
mbpp_619_move_num,0.01,300.0621
mbpp_622_get_median,0.01,24.3620
mbpp_623_nth_nums,0.01,300.0340
mbpp_624_is_upper,0.01,1.0172
mbpp_625_swap_List,0.01,300.0218
mbpp_626_triangle_area,0.01,3.5119
mbpp_627_find_First_Missing,0.01,6.9191
mbpp_628_replace_spaces,0.01,2.5307
mbpp_629_Split,0.01,2.8756
mbpp_630_get_coordinates,0.01,26.0131
mbpp_631_replace_spaces,0.01,5.1436
mbpp_632_move_zero,0.01,22.9143
mbpp_633_pair_xor_Sum,0.01,9.8604
mbpp_635_heap_sort,0.01,300.0510
mbpp_637_noprofit_noloss,0.01,2.5563
mbpp_638_wind_chill,0.01,117.5664
mbpp_639_sample_nam,0.01,25.4826
mbpp_640_remove_parenthesis,0.01,3.5249
mbpp_641_is_nonagonal,0.01,300.0568
mbpp_643_text_match_wordz_middle,0.01,300.0541
mbpp_644_reverse_Array_Upto_K,0.01,45.1635
mbpp_720_add_dict_to_tuple,0.01,1.0293
mbpp_721_maxAverageOfPath,0.01,300.0346
mbpp_722_filter_data,0.01,300.0331
mbpp_723_count_same_pair,0.01,7.3832
mbpp_724_power_base_sum,0.01,5.3673
mbpp_725_extract_quotation,0.01,300.0593
mbpp_726_multiply_elements,0.01,8.4882
mbpp_728_sum_list,0.01,7.1067
mbpp_730_consecutive_duplicates,0.01,300.0435
mbpp_731_lateralsurface_cone,0.01,6.3457
mbpp_732_replace_specialchar,0.01,2.7816
mbpp_733_find_first_occurrence,0.01,4.5593
mbpp_734_sum_Of_Subarray_Prod,0.01,300.0434
mbpp_735_toggle_middle_bits,0.01,9.6448
mbpp_736_left_insertion,0.01,65.7413
mbpp_737_check_str,0.01,7.8313
mbpp_738_geometric_sum,0.01,4.1036
mbpp_739_find_Index,0.01,26.3706
mbpp_740_tuple_to_dict,0.01,10.6948
mbpp_741_all_Characters_Same,0.01,6.6995
mbpp_742_area_tetrahedron,0.01,2.1896
mbpp_743_rotate_right,0.01,22.5473
mbpp_744_check_none,0.01,4.4032
mbpp_745_divisible_by_digits,0.01,9.5925
mbpp_746_sector_area,0.01,4.1530
mbpp_747_lcs_of_three,0.01,300.0503
mbpp_748_capital_words_spaces,0.01,13.8921
mbpp_749_sort_numeric_strings,0.01,4.4007
mbpp_750_add_tuple,0.01,300.0196
mbpp_751_check_min_heap,0.01,13.1112
mbpp_752_jacobsthal_num,0.01,300.0224
mbpp_753_min_k,0.01,300.0252
mbpp_754_extract_index_list,0.01,300.0475
mbpp_755_second_smallest,0.01,11.8383
mbpp_756_text_match_zero_one,0.01,300.0470
mbpp_757_count_reverse_pairs,0.01,300.0385
mbpp_759_is_decimal,0.01,300.0258
mbpp_760_unique_Element,0.01,7.9705
mbpp_762_check_monthnumber_number,0.01,11.1698
mbpp_763_find_min_diff,0.01,300.0412
mbpp_764_number_ctr,0.01,300.0200
mbpp_765_is_polite,0.01,300.0330
mbpp_766_pair_wise,0.01,9.2501
mbpp_767_get_pairs_count,0.01,9.3431
mbpp_769_Diff,0.01,26.7239
mbpp_770_odd_num_sum,0.01,8.4835
mbpp_771_check_expression,0.01,300.0422
mbpp_772_remove_length,0.01,300.0442
mbpp_773_occurance_substring,0.01,18.1541
mbpp_775_odd_position,0.01,8.0430
mbpp_776_count_vowels,0.01,21.7590
mbpp_777_find_sum,0.01,11.0862
mbpp_778_pack_consecutive_duplicates,0.01,99.1356
mbpp_780_find_combinations,0.01,300.0429
mbpp_781_count_divisors,0.01,300.0311
mbpp_782_odd_length_sum,0.01,12.7217
mbpp_783_rgb_to_hsv,0.01,145.5127
mbpp_784_mul_even_odd,0.01,17.2724
mbpp_785_tuple_str_int,0.01,13.7292
mbpp_786_right_insertion,0.01,38.4108
mbpp_787_text_match_three,0.01,300.0536
mbpp_788_new_tuple,0.01,300.0664
mbpp_790_even_position,0.01,6.6246
mbpp_791_remove_nested,0.01,6.2937
mbpp_792_count_list,0.01,8.3996
mbpp_793_last,0.01,44.3254
mbpp_794_text_starta_endb,0.01,300.0319
mbpp_796_return_sum,0.01,300.0138
mbpp_797_sum_in_range,0.01,300.0424
mbpp_798__sum,0.01,3.0309
mbpp_799_left_rotate,0.01,9.6687
mbpp_800_remove_all_spaces,0.01,2.0972
mbpp_801_test_three_equal,0.01,3.1980
mbpp_802_count_rotation,0.01,11.3966
mbpp_803_is_perfect_square,0.01,2.3803
mbpp_804_is_product_even,0.01,4.2591
mbpp_805_max_sum_list,0.01,51.9546
mbpp_806_max_run_uppercase,0.01,73.8169
mbpp_807_first_odd,0.01,5.2556
mbpp_808_check_K,0.01,1.0178
mbpp_809_check_smaller,0.01,6.4751
TOTAL,,33320.0805
