task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.01,1.9521
mbpp_4_heap_queue_largest,0.01,20.7715
mbpp_6_differ_At_One_Bit_Pos,0.01,0.8845
mbpp_8_square_nums,0.01,1.6439
mbpp_9_find_Rotations,0.01,1.9516
mbpp_11_remove_Occ,0.01,3.0820
mbpp_12_sort_matrix,0.01,11.5680
mbpp_14_find_Volume,0.01,0.3121
mbpp_16_text_lowercase_underscore,0.01,10.8859
mbpp_17_square_perimeter,0.01,0.2433
mbpp_18_remove_dirty_chars,0.01,2.2035
mbpp_19_test_duplicate,0.01,2.2743
mbpp_20_is_woodall,0.01,0.6648
mbpp_56_checks,0.01,0.8660
mbpp_57_find_Max_Num,0.01,6.7142
mbpp_58_opposite_Signs,0.01,1.3836
mbpp_59_is_octagonal,0.01,4.8910
mbpp_61_count_Substrings,0.01,4.0375
mbpp_62_smallest_num,0.01,1.8696
mbpp_63_max_difference,0.01,4.1835
mbpp_64_subject_marks,0.01,0.6907
mbpp_65_recursive_list_sum,0.01,11.1444
mbpp_66_pos_count,0.01,1.5802
mbpp_67_bell_number,0.01,52.1540
mbpp_68_is_Monotonic,0.01,5.6765
mbpp_69_is_sublist,0.01,2.6189
mbpp_70_get_equal,0.01,1.9861
mbpp_71_comb_sort,0.01,11.0005
mbpp_72_dif_Square,0.01,1.5724
mbpp_74_is_samepatterns,0.01,1.8095
mbpp_75_find_tuples,0.01,4.9950
mbpp_77_is_Diff,0.01,2.3639
mbpp_79_word_len,0.01,0.8947
mbpp_80_tetrahedral_number,0.01,0.6926
mbpp_83_get_Char,0.01,1.9827
mbpp_84_sequence,0.01,3.2859
mbpp_86_centered_hexagonal_number,0.01,0.9063
mbpp_87_merge_dictionaries_three,0.01,6.0918
mbpp_88_freq_count,0.01,2.7722
mbpp_89_closest_num,0.01,1.6608
mbpp_90_len_log,0.01,2.8184
mbpp_91_find_substring,0.01,1.5461
mbpp_92_is_undulating,0.01,3.6923
mbpp_93_power,0.01,2.3734
mbpp_94_index_minimum,0.01,2.5659
mbpp_95_Find_Min_Length,0.01,2.0556
mbpp_96_divisor,0.01,1.5328
mbpp_97_frequency_lists,0.01,2.9582
mbpp_99_decimal_to_binary,0.01,1.7719
mbpp_100_next_smallest_palindrome,0.01,9.4173
mbpp_101_kth_element,0.01,0.7857
mbpp_102_snake_to_camel,0.01,2.6580
mbpp_103_eulerian_num,0.01,1.8416
mbpp_104_sort_sublists,0.01,1.1542
mbpp_105_count,0.01,1.4731
mbpp_106_add_lists,0.01,4.0751
mbpp_108_merge_sorted_list,0.01,25.0395
mbpp_109_odd_Equivalent,0.01,2.3343
mbpp_113_check_integer,0.01,10.7879
mbpp_116_tuple_to_int,0.01,1.6565
mbpp_117_list_to_float,0.01,2.2241
mbpp_118_string_to_list,0.01,0.2797
mbpp_119_search,0.01,9.5847
mbpp_120_max_product_tuple,0.01,3.2233
mbpp_123_amicable_numbers_sum,0.01,4.7593
mbpp_125_find_length,0.01,7.0622
mbpp_126_sum,0.01,1.8599
mbpp_127_multiply_int,0.01,0.2460
mbpp_128_long_words,0.01,1.9286
mbpp_129_magic_square_test,0.01,29.9931
mbpp_130_max_occurrences,0.01,2.7305
mbpp_131_reverse_vowels,0.01,4.4874
mbpp_132_tup_string,0.01,2.2191
mbpp_133_sum_negativenum,0.01,1.9086
mbpp_135_hexagonal_num,0.01,0.3576
mbpp_138_is_Sum_Of_Powers_Of_Two,0.01,3.9117
mbpp_141_pancake_sort,0.01,4.0283
mbpp_142_count_samepair,0.01,2.4769
mbpp_143_find_lists,0.01,1.6036
mbpp_145_max_Abs_Diff,0.01,3.9306
mbpp_160_find_solution,0.01,13.6994
mbpp_161_remove_elements,0.01,2.3422
mbpp_162_sum_series,0.01,1.2916
mbpp_164_are_equivalent,0.01,9.0875
mbpp_165_count_char_position,0.01,2.9133
mbpp_166_find_even_pair,0.01,3.1038
mbpp_167_next_power_of_2,0.01,0.8825
mbpp_168_frequency,0.01,1.6140
mbpp_170_sum_range_list,0.01,1.2401
mbpp_171_perimeter_pentagon,0.01,0.2501
mbpp_172_count_occurance,0.01,3.0523
mbpp_222_check_type,0.01,1.9733
mbpp_223_is_majority,0.01,1.7474
mbpp_224_count_Set_Bits,0.01,1.4438
mbpp_226_odd_values_string,0.01,2.0270
mbpp_227_min_of_three,0.01,1.2589
mbpp_228_all_Bits_Set_In_The_Given_Range,0.01,2.5656
mbpp_229_re_arrange_array,0.01,3.3129
mbpp_230_replace_blank,0.01,0.5836
mbpp_234_volume_cube,0.01,0.3071
mbpp_237_check_occurences,0.01,3.0591
mbpp_238_number_of_substrings,0.01,2.4381
mbpp_239_get_total_number_of_sequences,0.01,11.1804
mbpp_240_replace_list,0.01,0.7054
mbpp_242_count_charac,0.01,1.7028
mbpp_244_next_Perfect_Square,0.01,1.4269
mbpp_245_max_sum,0.01,5.2938
mbpp_247_lps,0.01,17.6270
mbpp_249_intersection_array,0.01,3.8349
mbpp_250_count_X,0.01,0.5786
mbpp_251_insert_element,0.01,2.0908
mbpp_252_convert,0.01,2.9074
mbpp_253_count_integer,0.01,2.1575
mbpp_255_combinations_colors,0.01,4.0859
mbpp_256_count_Primes_nums,0.01,5.0888
mbpp_257_swap_numbers,0.01,0.3369
mbpp_259_maximize_elements,0.01,6.7735
mbpp_260_newman_prime,0.01,8.5450
mbpp_261_division_elements,0.01,14.5611
mbpp_262_split_two_parts,0.01,1.4444
mbpp_264_dog_age,0.01,0.3675
mbpp_265_list_split,0.01,1.9542
mbpp_266_lateralsurface_cube,0.01,0.3645
mbpp_267_square_Sum,0.01,1.6084
mbpp_268_find_star_num,0.01,2.0606
mbpp_269_ascii_value,0.01,0.4043
mbpp_270_sum_even_and_even_index,0.01,2.8397
mbpp_271_even_Power_Sum,0.01,1.9115
mbpp_272_rear_extract,0.01,2.6277
mbpp_273_substract_elements,0.01,2.4024
mbpp_274_even_binomial_Coeff_Sum,0.01,5.3354
mbpp_277_dict_filter,0.01,13.8645
mbpp_278_count_first_elements,0.01,2.6301
mbpp_279_is_num_decagonal,0.01,37.1278
mbpp_280_sequential_search,0.01,3.4042
mbpp_281_all_unique,0.01,4.9423
mbpp_282_sub_list,0.01,2.3308
mbpp_283_validate,0.01,30.5612
mbpp_284_check_element,0.01,0.7208
mbpp_285_text_match_two_three,0.01,1.5712
mbpp_286_max_sub_array_sum_repeated,0.01,3.2213
mbpp_287_square_Sum,0.01,1.2241
mbpp_290_max_length,0.01,1.9493
mbpp_291_count_no_of_ways,0.01,11.6054
mbpp_292_find,0.01,0.3688
mbpp_293_otherside_rightangle,0.01,0.4547
mbpp_294_max_val,0.01,2.0087
mbpp_295_sum_div,0.01,1.5572
mbpp_296_get_Inv_Count,0.01,2.6846
mbpp_297_flatten_list,0.01,3.5925
mbpp_299_max_aggregate,0.01,2.0588
mbpp_304_find_Element,0.01,5.7182
mbpp_305_start_withp,0.01,2.3634
mbpp_306_max_sum_increasing_subseq,0.01,3.6642
mbpp_308_large_product,0.01,4.5518
mbpp_309_maximum,0.01,0.3997
mbpp_310_string_to_tuple,0.01,1.5108
mbpp_388_highest_Power_of_2,0.01,0.9712
mbpp_389_find_lucas,0.01,1.4597
mbpp_390_add_string,0.01,1.5797
mbpp_391_convert_list_dictionary,0.01,7.2647
mbpp_392_get_max_sum,0.01,11.9156
mbpp_393_max_length_list,0.01,2.3512
mbpp_394_check_distinct,0.01,2.4476
mbpp_395_first_non_repeating_character,0.01,6.5013
mbpp_396_check_char,0.01,1.3522
mbpp_397_median_numbers,0.01,1.4322
mbpp_398_sum_of_digits,0.01,2.6990
mbpp_399_bitwise_xor,0.01,1.9115
mbpp_400_extract_freq,0.01,5.1388
mbpp_401_add_nested_tuples,0.01,1.8695
mbpp_404_minimum,0.01,0.3573
mbpp_405_check_tuplex,0.01,2.3844
mbpp_406_find_Parity,0.01,0.8597
mbpp_407_rearrange_bigger,0.01,39.2291
mbpp_408_k_smallest_pairs,0.01,7.2718
mbpp_409_min_product_tuple,0.01,5.8678
mbpp_410_min_val,0.01,2.0119
mbpp_411_snake_to_camel,0.01,2.6334
mbpp_412_remove_odd,0.01,2.1117
mbpp_413_extract_nth_element,0.01,1.5037
mbpp_414_overlapping,0.01,2.4890
mbpp_415_max_Product,0.01,3.5517
mbpp_417_group_tuples,0.01,76.4277
mbpp_418_Find_Max,0.01,2.1739
mbpp_419_round_and_sum,0.01,56.3614
mbpp_420_cube_Sum,0.01,1.3367
mbpp_421_concatenate_tuple,0.01,2.2753
mbpp_422_find_Average_Of_Cube,0.01,1.4476
mbpp_424_extract_rear,0.01,1.5537
mbpp_425_count_element_in_list,0.01,1.6921
mbpp_426_filter_oddnumbers,0.01,2.0315
mbpp_427_change_date_format,0.01,1.2467
mbpp_428_shell_sort,0.01,7.2791
mbpp_429_and_tuples,0.01,1.9947
mbpp_430_parabola_directrix,0.01,0.3601
mbpp_431_common_element,0.01,2.4394
mbpp_432_median_trapezium,0.01,0.4869
mbpp_433_check_greater,0.01,1.3573
mbpp_434_text_match_one,0.01,0.3813
mbpp_435_last_Digit,0.01,0.2975
mbpp_436_neg_nos,0.01,2.2125
mbpp_437_remove_odd,0.01,4.3030
mbpp_438_count_bidirectional,0.01,2.9438
mbpp_439_multiple_to_single,0.01,1.4219
mbpp_440_find_adverb_position,0.01,38.0965
mbpp_441_surfacearea_cube,0.01,0.3541
mbpp_442_positive_count,0.01,1.8222
mbpp_443_largest_neg,0.01,2.0542
mbpp_444_trim_tuple,0.01,1.8657
mbpp_445_index_multiplication,0.01,1.8571
mbpp_446_count_Occurrence,0.01,6.3160
mbpp_447_cube_nums,0.01,1.7629
mbpp_448_cal_sum,0.01,1.0672
mbpp_450_extract_string,0.01,1.9444
mbpp_451_remove_whitespaces,0.01,11.0602
mbpp_452_loss_amount,0.01,1.0317
mbpp_453_sumofFactors,0.01,1.5666
mbpp_454_text_match_wordz,0.01,10.8518
mbpp_455_check_monthnumb_number,0.01,2.1419
mbpp_456_reverse_string_list,0.01,2.0126
mbpp_457_Find_Min,0.01,2.8986
mbpp_458_rectangle_area,0.01,0.2497
mbpp_459_remove_uppercase,0.01,5.1097
mbpp_460_Extract,0.01,1.4300
mbpp_461_upper_ctr,0.01,1.8727
mbpp_462_combinations_list,0.01,2.7460
mbpp_463_max_subarray_product,0.01,10.4254
mbpp_464_check_value,0.01,2.4947
