task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.0,3.4952
mbpp_4_heap_queue_largest,0.0,80.1717
mbpp_6_differ_At_One_Bit_Pos,0.0,1.8037
mbpp_8_square_nums,0.0,0.6745
mbpp_9_find_Rotations,0.0,3.7226
mbpp_11_remove_Occ,0.0,4.1968
mbpp_12_sort_matrix,0.0,4.5665
mbpp_14_find_Volume,0.0,0.7210
mbpp_16_text_lowercase_underscore,0.0,1.1576
mbpp_17_square_perimeter,0.0,0.4267
mbpp_18_remove_dirty_chars,0.0,2.9543
mbpp_19_test_duplicate,0.0,3.7144
mbpp_20_is_woodall,0.0,2.3751
mbpp_56_checks,0.0,1.6262
mbpp_57_find_Max_Num,0.0,1.5889
mbpp_58_opposite_Signs,0.0,0.5165
mbpp_59_is_octagonal,0.0,0.5175
mbpp_61_count_Substrings,0.0,5.0322
mbpp_62_smallest_num,0.0,0.6432
mbpp_63_max_difference,0.0,6.5575
mbpp_64_subject_marks,0.0,1.4197
mbpp_65_recursive_list_sum,0.0,4.5498
mbpp_66_pos_count,0.0,2.2507
mbpp_67_bell_number,0.0,14.1705
mbpp_68_is_Monotonic,0.0,3.0184
mbpp_69_is_sublist,0.0,1.1961
mbpp_70_get_equal,0.0,2.5332
mbpp_71_comb_sort,0.0,12.7339
mbpp_72_dif_Square,0.0,2.7955
mbpp_74_is_samepatterns,0.0,9.7464
mbpp_75_find_tuples,0.0,6.3972
mbpp_77_is_Diff,0.0,1.1990
mbpp_79_word_len,0.0,1.3371
mbpp_80_tetrahedral_number,0.0,0.7713
mbpp_83_get_Char,0.0,2.5185
mbpp_84_sequence,0.0,3.8957
mbpp_86_centered_hexagonal_number,0.0,0.6456
mbpp_87_merge_dictionaries_three,0.0,0.6287
mbpp_88_freq_count,0.0,4.0522
mbpp_89_closest_num,0.0,4.2264
mbpp_90_len_log,0.0,2.7750
mbpp_91_find_substring,0.0,2.2024
mbpp_92_is_undulating,0.0,3.6341
mbpp_93_power,0.0,0.5426
mbpp_94_index_minimum,0.0,6.0915
mbpp_95_Find_Min_Length,0.0,3.0617
mbpp_96_divisor,0.0,2.0432
mbpp_97_frequency_lists,0.0,5.2117
mbpp_99_decimal_to_binary,0.0,0.4688
mbpp_100_next_smallest_palindrome,0.0,3.5995
mbpp_101_kth_element,0.0,1.1459
mbpp_102_snake_to_camel,0.0,1.7478
mbpp_103_eulerian_num,0.0,4.4814
mbpp_104_sort_sublists,0.0,0.6639
mbpp_105_count,0.0,2.3829
mbpp_106_add_lists,0.0,0.5545
mbpp_108_merge_sorted_list,0.0,1.7574
mbpp_109_odd_Equivalent,0.0,6.7164
mbpp_113_check_integer,0.0,0.8863
mbpp_116_tuple_to_int,0.0,0.8769
mbpp_117_list_to_float,0.0,0.5351
mbpp_118_string_to_list,0.0,0.4349
mbpp_119_search,0.0,2.7138
mbpp_120_max_product_tuple,0.0,4.7038
mbpp_123_amicable_numbers_sum,0.0,12.5706
mbpp_125_find_length,0.0,7.0539
mbpp_126_sum,0.0,3.0348
mbpp_127_multiply_int,0.0,0.4009
mbpp_128_long_words,0.0,3.9146
mbpp_129_magic_square_test,0.0,31.0097
mbpp_130_max_occurrences,0.0,5.0074
mbpp_131_reverse_vowels,0.0,16.1766
mbpp_132_tup_string,0.0,0.5237
mbpp_133_sum_negativenum,0.0,2.6415
mbpp_135_hexagonal_num,0.0,0.5117
mbpp_138_is_Sum_Of_Powers_Of_Two,0.0,1.9470
mbpp_141_pancake_sort,0.0,25.2480
mbpp_142_count_samepair,0.0,3.3641
mbpp_143_find_lists,0.0,2.3551
mbpp_145_max_Abs_Diff,0.0,5.8700
mbpp_160_find_solution,0.0,44.0228
mbpp_161_remove_elements,0.0,0.7578
mbpp_162_sum_series,0.0,1.9670
mbpp_164_are_equivalent,0.0,5.6895
