task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.0,14.7274
mbpp_4_heap_queue_largest,0.0,12.7110
mbpp_6_differ_At_One_Bit_Pos,0.0,12.9295
mbpp_8_square_nums,0.0,13.2130
mbpp_9_find_Rotations,0.0,12.9778
mbpp_11_remove_Occ,0.0,13.0464
mbpp_12_sort_matrix,0.0,13.0148
mbpp_14_find_Volume,0.0,12.9349
mbpp_16_text_lowercase_underscore,0.0,12.7758
mbpp_17_square_perimeter,0.0,13.0274
mbpp_18_remove_dirty_chars,0.0,12.8735
mbpp_19_test_duplicate,0.0,13.0322
mbpp_20_is_woodall,0.0,12.9883
mbpp_56_checks,0.0,13.0304
mbpp_57_find_Max_Num,0.0,13.0198
mbpp_58_opposite_Signs,0.0,12.9219
mbpp_59_is_octagonal,0.0,12.8295
mbpp_61_count_Substrings,0.0,12.9472
mbpp_62_smallest_num,0.0,12.7201
mbpp_63_max_difference,0.0,12.8414
mbpp_64_subject_marks,0.0,12.8551
mbpp_65_recursive_list_sum,0.0,13.1131
mbpp_66_pos_count,0.0,12.9227
mbpp_67_bell_number,0.0,13.0292
mbpp_68_is_Monotonic,0.0,12.6499
mbpp_69_is_sublist,0.0,13.0623
mbpp_70_get_equal,0.0,12.9600
mbpp_71_comb_sort,0.0,12.5564
mbpp_72_dif_Square,0.0,13.0520
mbpp_74_is_samepatterns,0.0,12.9009
mbpp_75_find_tuples,0.0,12.9922
mbpp_77_is_Diff,0.0,12.9453
mbpp_79_word_len,0.0,13.1078
mbpp_80_tetrahedral_number,0.0,12.9483
mbpp_83_get_Char,0.0,12.4997
mbpp_84_sequence,0.0,13.1493
mbpp_86_centered_hexagonal_number,0.0,13.1270
mbpp_87_merge_dictionaries_three,0.0,12.9194
mbpp_88_freq_count,0.0,13.0676
mbpp_89_closest_num,0.0,13.0615
mbpp_90_len_log,0.0,12.9842
mbpp_91_find_substring,0.0,12.8467
mbpp_92_is_undulating,0.0,13.0870
mbpp_93_power,0.0,13.0297
mbpp_94_index_minimum,0.0,12.7789
mbpp_95_Find_Min_Length,0.0,13.0719
mbpp_96_divisor,0.0,13.0126
mbpp_97_frequency_lists,0.0,12.9989
mbpp_99_decimal_to_binary,0.0,12.9124
mbpp_100_next_smallest_palindrome,0.0,13.0750
mbpp_101_kth_element,0.0,13.0621
mbpp_102_snake_to_camel,0.0,12.7090
mbpp_103_eulerian_num,0.0,13.0997
mbpp_104_sort_sublists,0.0,12.8959
mbpp_105_count,0.0,12.8556
mbpp_106_add_lists,0.0,12.9078
mbpp_108_merge_sorted_list,0.0,12.8723
mbpp_109_odd_Equivalent,0.0,13.0375
mbpp_113_check_integer,0.0,13.0699
mbpp_116_tuple_to_int,0.0,13.0635
mbpp_117_list_to_float,0.0,12.8594
mbpp_118_string_to_list,0.0,12.6873
mbpp_119_search,0.0,12.9646
mbpp_120_max_product_tuple,0.0,13.1510
mbpp_123_amicable_numbers_sum,0.0,12.9196
mbpp_125_find_length,0.0,12.9168
mbpp_126_sum,0.0,12.9596
mbpp_127_multiply_int,0.0,12.7180
mbpp_128_long_words,0.0,13.0346
mbpp_129_magic_square_test,0.0,12.9616
mbpp_130_max_occurrences,0.0,12.8440
mbpp_131_reverse_vowels,0.0,12.8126
mbpp_132_tup_string,0.0,12.8029
mbpp_133_sum_negativenum,0.0,13.3234
mbpp_135_hexagonal_num,0.0,18.0079
mbpp_138_is_Sum_Of_Powers_Of_Two,0.0,14.3620
mbpp_141_pancake_sort,0.0,13.4016
mbpp_142_count_samepair,0.0,13.2540
mbpp_143_find_lists,0.0,13.0655
mbpp_145_max_Abs_Diff,0.0,13.5281
mbpp_160_find_solution,0.0,13.3444
mbpp_161_remove_elements,0.0,13.3175
mbpp_162_sum_series,0.0,13.5355
mbpp_164_are_equivalent,0.0,13.3693
mbpp_165_count_char_position,0.0,13.3468
mbpp_166_find_even_pair,0.0,13.3636
mbpp_167_next_power_of_2,0.0,13.1253
mbpp_168_frequency,0.0,13.1657
mbpp_170_sum_range_list,0.0,13.1375
mbpp_171_perimeter_pentagon,0.0,13.3040
mbpp_172_count_occurance,0.0,13.2740
