task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.0,19.5782
mbpp_4_heap_queue_largest,0.0,8.1153
mbpp_6_differ_At_One_Bit_Pos,0.0,2.3435
mbpp_8_square_nums,0.0,19.1399
mbpp_9_find_Rotations,0.0,4.3500
mbpp_11_remove_Occ,0.0,3.6427
mbpp_12_sort_matrix,0.0,19.1418
mbpp_14_find_Volume,0.0,19.1435
mbpp_16_text_lowercase_underscore,0.0,19.3955
mbpp_17_square_perimeter,0.0,19.1412
mbpp_18_remove_dirty_chars,0.0,19.1446
mbpp_19_test_duplicate,0.0,19.1426
mbpp_20_is_woodall,0.0,19.1426
mbpp_56_checks,0.0,3.0105
mbpp_57_find_Max_Num,0.0,19.1457
mbpp_58_opposite_Signs,0.0,19.1454
mbpp_59_is_octagonal,0.0,19.1393
mbpp_61_count_Substrings,0.0,19.1455
mbpp_62_smallest_num,0.0,19.1398
mbpp_63_max_difference,0.0,19.1424
mbpp_64_subject_marks,0.0,19.1396
mbpp_65_recursive_list_sum,0.0,7.1462
mbpp_66_pos_count,0.0,19.1424
mbpp_67_bell_number,0.0,19.1421
mbpp_68_is_Monotonic,0.0,19.1443
mbpp_69_is_sublist,0.0,19.1417
mbpp_70_get_equal,0.0,19.1426
mbpp_71_comb_sort,0.0,19.1411
mbpp_72_dif_Square,0.0,9.1629
mbpp_74_is_samepatterns,0.0,19.1447
mbpp_75_find_tuples,0.0,19.1448
mbpp_77_is_Diff,0.0,4.1275
mbpp_79_word_len,0.0,2.0074
mbpp_80_tetrahedral_number,0.0,19.1412
mbpp_83_get_Char,0.0,2.2317
mbpp_84_sequence,0.0,19.1421
mbpp_86_centered_hexagonal_number,0.0,19.1574
mbpp_87_merge_dictionaries_three,0.0,19.1435
mbpp_88_freq_count,0.0,19.1430
mbpp_89_closest_num,0.0,19.1392
mbpp_90_len_log,0.0,19.1394
mbpp_91_find_substring,0.0,19.1482
mbpp_92_is_undulating,0.0,19.1423
mbpp_93_power,0.0,19.1417
mbpp_94_index_minimum,0.0,19.1460
mbpp_95_Find_Min_Length,0.0,19.1425
mbpp_96_divisor,0.0,19.1453
mbpp_97_frequency_lists,0.0,17.6016
mbpp_99_decimal_to_binary,0.0,18.6221
mbpp_100_next_smallest_palindrome,0.0,19.1446
mbpp_101_kth_element,0.0,19.1485
mbpp_102_snake_to_camel,0.0,19.1420
mbpp_103_eulerian_num,0.0,19.1399
mbpp_104_sort_sublists,0.0,19.1407
mbpp_105_count,0.0,19.1421
mbpp_106_add_lists,0.0,19.1409
mbpp_108_merge_sorted_list,0.0,19.1525
mbpp_109_odd_Equivalent,0.0,19.1484
mbpp_113_check_integer,0.0,19.1429
mbpp_116_tuple_to_int,0.0,19.1423
mbpp_117_list_to_float,0.0,19.1444
mbpp_118_string_to_list,0.0,8.6779
mbpp_119_search,0.0,5.8019
