task_name,temperature,num_completions,execution_time_s,time_per_completion_s
mbpp_3_is_not_prime,0.0,1,1.6590,1.6590
mbpp_4_heap_queue_largest,0.0,1,9.0354,9.0354
mbpp_6_differ_At_One_Bit_Pos,0.0,1,14.8454,14.8454
mbpp_8_square_nums,0.0,1,14.8110,14.8110
mbpp_9_find_Rotations,0.0,1,14.7437,14.7437
mbpp_11_remove_Occ,0.0,1,1.3258,1.3258
mbpp_12_sort_matrix,0.0,1,14.7109,14.7109
mbpp_14_find_Volume,0.0,1,0.5047,0.5047
mbpp_16_text_lowercase_underscore,0.0,1,8.6966,8.6966
mbpp_17_square_perimeter,0.0,1,1.0232,1.0232
mbpp_18_remove_dirty_chars,0.0,1,14.8276,14.8276
mbpp_19_test_duplicate,0.0,1,15.0840,15.0840
mbpp_20_is_woodall,0.0,1,15.1805,15.1805
mbpp_56_checks,0.0,1,14.8596,14.8596
mbpp_57_find_Max_Num,0.0,1,1.4326,1.4326
mbpp_58_opposite_Signs,0.0,1,1.6538,1.6538
mbpp_59_is_octagonal,0.0,1,14.9139,14.9139
mbpp_61_count_Substrings,0.0,1,15.4897,15.4897
mbpp_62_smallest_num,0.0,1,2.0203,2.0203
mbpp_63_max_difference,0.0,1,14.6742,14.6742
mbpp_64_subject_marks,0.0,1,14.6460,14.6460
mbpp_65_recursive_list_sum,0.0,1,14.6375,14.6375
mbpp_66_pos_count,0.0,1,3.4576,3.4576
mbpp_67_bell_number,0.0,1,14.5854,14.5854
mbpp_68_is_Monotonic,0.0,1,7.5394,7.5394
mbpp_69_is_sublist,0.0,1,14.6359,14.6359
mbpp_70_get_equal,0.0,1,16.3805,16.3805
mbpp_71_comb_sort,0.0,1,15.6010,15.6010
mbpp_72_dif_Square,0.0,1,15.2393,15.2393
mbpp_74_is_samepatterns,0.0,1,15.1810,15.1810
mbpp_75_find_tuples,0.0,1,14.8527,14.8527
mbpp_77_is_Diff,0.0,1,15.1244,15.1244
mbpp_79_word_len,0.0,1,1.2931,1.2931
mbpp_80_tetrahedral_number,0.0,1,14.7817,14.7817
mbpp_83_get_Char,0.0,1,15.1101,15.1101
mbpp_84_sequence,0.0,1,14.9021,14.9021
mbpp_86_centered_hexagonal_number,0.0,1,15.0305,15.0305
mbpp_87_merge_dictionaries_three,0.0,1,14.6812,14.6812
mbpp_88_freq_count,0.0,1,15.3942,15.3942
mbpp_89_closest_num,0.0,1,15.1607,15.1607
mbpp_90_len_log,0.0,1,3.0263,3.0263
mbpp_91_find_substring,0.0,1,5.9474,5.9474
mbpp_92_is_undulating,0.0,1,14.9137,14.9137
mbpp_93_power,0.0,1,1.9702,1.9702
mbpp_94_index_minimum,0.0,1,14.8758,14.8758
mbpp_95_Find_Min_Length,0.0,1,2.8731,2.8731
mbpp_96_divisor,0.0,1,2.2576,2.2576
mbpp_97_frequency_lists,0.0,1,14.6689,14.6689
mbpp_99_decimal_to_binary,0.0,1,4.0604,4.0604
mbpp_100_next_smallest_palindrome,0.0,1,14.6704,14.6704
mbpp_101_kth_element,0.0,1,2.5138,2.5138
mbpp_102_snake_to_camel,0.0,1,14.7255,14.7255
mbpp_103_eulerian_num,0.0,1,14.7429,14.7429
mbpp_104_sort_sublists,0.0,1,14.9156,14.9156
mbpp_105_count,0.0,1,2.4116,2.4116
mbpp_106_add_lists,0.0,1,9.9603,9.9603
