task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.01,9.8876
mbpp_4_heap_queue_largest,0.01,32.6175
mbpp_6_differ_At_One_Bit_Pos,0.01,4.5260
mbpp_8_square_nums,0.01,50.2792
mbpp_9_find_Rotations,0.01,74.4265
mbpp_11_remove_Occ,0.01,97.9605
mbpp_12_sort_matrix,0.01,30.8454
mbpp_14_find_Volume,0.01,1.9498
mbpp_16_text_lowercase_underscore,0.01,1.0488
mbpp_17_square_perimeter,0.01,1.2101
mbpp_18_remove_dirty_chars,0.01,73.8506
mbpp_19_test_duplicate,0.01,14.7711
mbpp_20_is_woodall,0.01,4.7620
mbpp_56_checks,0.01,88.0194
mbpp_57_find_Max_Num,0.01,4.8340
mbpp_58_opposite_Signs,0.01,4.9287
mbpp_59_is_octagonal,0.01,6.6712
mbpp_61_count_Substrings,0.01,85.3147
mbpp_62_smallest_num,0.01,2.2005
mbpp_63_max_difference,0.01,85.4512
mbpp_64_subject_marks,0.01,6.1870
mbpp_65_recursive_list_sum,0.01,20.1742
mbpp_66_pos_count,0.01,14.2255
mbpp_67_bell_number,0.01,100.8284
mbpp_68_is_Monotonic,0.01,28.4383
mbpp_69_is_sublist,0.01,96.3963
mbpp_70_get_equal,0.01,14.3108
mbpp_71_comb_sort,0.01,109.7140
mbpp_72_dif_Square,0.01,12.5921
mbpp_74_is_samepatterns,0.01,139.6402
mbpp_75_find_tuples,0.01,138.5506
mbpp_77_is_Diff,0.01,32.5141
mbpp_79_word_len,0.01,5.8707
mbpp_80_tetrahedral_number,0.01,4.3857
mbpp_83_get_Char,0.01,65.7128
mbpp_84_sequence,0.01,89.4439
mbpp_86_centered_hexagonal_number,0.01,2.4312
mbpp_87_merge_dictionaries_three,0.01,6.2087
mbpp_88_freq_count,0.01,77.5266
mbpp_89_closest_num,0.01,105.8688
mbpp_90_len_log,0.01,11.1793
mbpp_91_find_substring,0.01,63.2488
mbpp_92_is_undulating,0.01,59.7703
mbpp_93_power,0.01,12.1021
mbpp_94_index_minimum,0.01,95.2716
mbpp_95_Find_Min_Length,0.01,13.3090
mbpp_96_divisor,0.01,77.0027
mbpp_97_frequency_lists,0.01,80.6329
mbpp_99_decimal_to_binary,0.01,8.6939
mbpp_100_next_smallest_palindrome,0.01,81.3713
mbpp_101_kth_element,0.01,1.1767
mbpp_102_snake_to_camel,0.01,83.5239
mbpp_103_eulerian_num,0.01,25.5341
mbpp_104_sort_sublists,0.01,37.5790
mbpp_105_count,0.01,11.1189
mbpp_106_add_lists,0.01,1.9206
mbpp_108_merge_sorted_list,0.01,72.7601
mbpp_109_odd_Equivalent,0.01,61.2546
mbpp_113_check_integer,0.01,829.4995
mbpp_116_tuple_to_int,0.01,94.8158
mbpp_117_list_to_float,0.01,91.3205
mbpp_118_string_to_list,0.01,2.0774
mbpp_119_search,0.01,77.3545
mbpp_120_max_product_tuple,0.01,75.7396
mbpp_123_amicable_numbers_sum,0.01,9.4817
mbpp_125_find_length,0.01,91.9914
mbpp_126_sum,0.01,75.7952
mbpp_127_multiply_int,0.01,1.2274
mbpp_128_long_words,0.01,11.4125
mbpp_129_magic_square_test,0.01,125.8740
mbpp_130_max_occurrences,0.01,79.6920
mbpp_131_reverse_vowels,0.01,89.2500
mbpp_132_tup_string,0.01,8.2781
mbpp_133_sum_negativenum,0.01,81.7291
mbpp_135_hexagonal_num,0.01,2.5043
mbpp_138_is_Sum_Of_Powers_Of_Two,0.01,21.2018
mbpp_141_pancake_sort,0.01,104.6813
mbpp_142_count_samepair,0.01,138.0391
mbpp_143_find_lists,0.01,13.9307
mbpp_145_max_Abs_Diff,0.01,28.2632
mbpp_160_find_solution,0.01,80.4199
mbpp_161_remove_elements,0.01,4.4798
mbpp_162_sum_series,0.01,57.2739
mbpp_164_are_equivalent,0.01,2.9824
mbpp_165_count_char_position,0.01,16.7636
