task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.01,7.5372
mbpp_4_heap_queue_largest,0.01,16.5861
mbpp_6_differ_At_One_Bit_Pos,0.01,3.6353
mbpp_8_square_nums,0.01,5.8801
mbpp_9_find_Rotations,0.01,9.7649
mbpp_11_remove_Occ,0.01,13.2261
mbpp_12_sort_matrix,0.01,58.6171
mbpp_14_find_Volume,0.01,1.6241
mbpp_16_text_lowercase_underscore,0.01,2.2893
mbpp_17_square_perimeter,0.01,0.9756
mbpp_18_remove_dirty_chars,0.01,14.6011
mbpp_19_test_duplicate,0.01,9.0049
mbpp_20_is_woodall,0.01,22.4079
mbpp_56_checks,0.01,9.5571
mbpp_57_find_Max_Num,0.01,3.2810
mbpp_58_opposite_Signs,0.01,3.4489
mbpp_59_is_octagonal,0.01,24.6663
mbpp_61_count_Substrings,0.01,13.5368
mbpp_62_smallest_num,0.01,1.6003
mbpp_63_max_difference,0.01,169.0781
mbpp_64_subject_marks,0.01,4.0459
mbpp_65_recursive_list_sum,0.01,11.0897
mbpp_66_pos_count,0.01,7.1176
mbpp_67_bell_number,0.01,19.6820
mbpp_68_is_Monotonic,0.01,14.5345
mbpp_69_is_sublist,0.01,59.3872
mbpp_70_get_equal,0.01,7.3270
mbpp_71_comb_sort,0.01,32.9898
mbpp_72_dif_Square,0.01,6.8348
mbpp_74_is_samepatterns,0.01,114.7502
mbpp_75_find_tuples,0.01,71.9945
mbpp_77_is_Diff,0.01,13.6261
mbpp_79_word_len,0.01,3.8013
mbpp_80_tetrahedral_number,0.01,2.6147
mbpp_83_get_Char,0.01,7.8776
mbpp_84_sequence,0.01,14.9098
mbpp_86_centered_hexagonal_number,0.01,1.7990
mbpp_87_merge_dictionaries_three,0.01,2.0495
mbpp_88_freq_count,0.01,10.8729
mbpp_89_closest_num,0.01,61.6469
mbpp_90_len_log,0.01,8.4410
mbpp_91_find_substring,0.01,17.3176
mbpp_92_is_undulating,0.01,15.3539
mbpp_93_power,0.01,8.3724
mbpp_94_index_minimum,0.01,15.3805
mbpp_95_Find_Min_Length,0.01,8.4399
mbpp_96_divisor,0.01,6.3883
mbpp_97_frequency_lists,0.01,40.0326
mbpp_99_decimal_to_binary,0.01,30.9810
mbpp_100_next_smallest_palindrome,0.01,335.8299
mbpp_101_kth_element,0.01,1.0516
mbpp_102_snake_to_camel,0.01,10.6372
mbpp_103_eulerian_num,0.01,13.4817
mbpp_104_sort_sublists,0.01,4.7171
mbpp_105_count,0.01,6.3774
mbpp_106_add_lists,0.01,61.7211
mbpp_108_merge_sorted_list,0.01,6.0215
mbpp_109_odd_Equivalent,0.01,12.6540
mbpp_113_check_integer,0.01,42.7549
mbpp_116_tuple_to_int,0.01,47.0235
mbpp_117_list_to_float,0.01,59.2254
mbpp_118_string_to_list,0.01,1.0084
mbpp_119_search,0.01,21.6638
mbpp_120_max_product_tuple,0.01,61.1731
mbpp_123_amicable_numbers_sum,0.01,6.5238
