task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.2,64.0581
mbpp_4_heap_queue_largest,0.2,88.2702
mbpp_6_differ_At_One_Bit_Pos,0.2,34.8822
mbpp_8_square_nums,0.2,86.5192
mbpp_9_find_Rotations,0.2,65.5433
mbpp_11_remove_Occ,0.2,69.4586
mbpp_12_sort_matrix,0.2,87.2383
mbpp_14_find_Volume,0.2,85.1072
mbpp_16_text_lowercase_underscore,0.2,124.0998
mbpp_17_square_perimeter,0.2,102.5632
mbpp_18_remove_dirty_chars,0.2,112.8615
mbpp_19_test_duplicate,0.2,100.1483
mbpp_20_is_woodall,0.2,87.2908
mbpp_56_checks,0.2,14.5836
mbpp_57_find_Max_Num,0.2,40.3722
mbpp_58_opposite_Signs,0.2,88.9703
mbpp_59_is_octagonal,0.2,81.8156
mbpp_61_count_Substrings,0.2,37.2496
mbpp_62_smallest_num,0.2,82.6054
mbpp_63_max_difference,0.2,84.0886
mbpp_64_subject_marks,0.2,93.9197
mbpp_65_recursive_list_sum,0.2,85.5771
mbpp_66_pos_count,0.2,77.3848
mbpp_67_bell_number,0.2,67.0043
mbpp_68_is_Monotonic,0.2,103.0131
mbpp_69_is_sublist,0.2,129.2479
mbpp_70_get_equal,0.2,96.5587
mbpp_71_comb_sort,0.2,114.7153
mbpp_72_dif_Square,0.2,48.5828
mbpp_74_is_samepatterns,0.2,117.5411
mbpp_75_find_tuples,0.2,128.1199
mbpp_77_is_Diff,0.2,33.0528
mbpp_79_word_len,0.2,99.5125
mbpp_80_tetrahedral_number,0.2,87.7751
mbpp_83_get_Char,0.2,71.8376
mbpp_84_sequence,0.2,62.3731
mbpp_86_centered_hexagonal_number,0.2,85.2367
mbpp_87_merge_dictionaries_three,0.2,83.2090
mbpp_88_freq_count,0.2,86.7710
mbpp_89_closest_num,0.2,43.3153
mbpp_90_len_log,0.2,64.0267
mbpp_91_find_substring,0.2,42.5261
mbpp_92_is_undulating,0.2,94.0438
mbpp_93_power,0.2,84.1744
mbpp_94_index_minimum,0.2,82.9172
mbpp_95_Find_Min_Length,0.2,80.3835
mbpp_96_divisor,0.2,66.1279
mbpp_97_frequency_lists,0.2,95.7088
mbpp_99_decimal_to_binary,0.2,123.8255
mbpp_100_next_smallest_palindrome,0.2,110.7212
mbpp_101_kth_element,0.2,131.7661
mbpp_102_snake_to_camel,0.2,112.8364
mbpp_103_eulerian_num,0.2,58.1130
mbpp_104_sort_sublists,0.2,58.1256
mbpp_105_count,0.2,58.1470
mbpp_106_add_lists,0.2,58.0168
mbpp_108_merge_sorted_list,0.2,58.1085
mbpp_109_odd_Equivalent,0.2,53.0428
mbpp_113_check_integer,0.2,58.0948
mbpp_116_tuple_to_int,0.2,58.2635
mbpp_117_list_to_float,0.2,58.2903
mbpp_118_string_to_list,0.2,58.1832
mbpp_119_search,0.2,45.6424
mbpp_120_max_product_tuple,0.2,58.3182
mbpp_123_amicable_numbers_sum,0.2,58.5219
mbpp_125_find_length,0.2,43.0461
mbpp_126_sum,0.2,25.0124
mbpp_127_multiply_int,0.2,58.4686
mbpp_128_long_words,0.2,40.9041
mbpp_129_magic_square_test,0.2,58.4584
mbpp_130_max_occurrences,0.2,58.4302
mbpp_131_reverse_vowels,0.2,37.2856
mbpp_132_tup_string,0.2,58.3366
mbpp_133_sum_negativenum,0.2,58.3411
mbpp_135_hexagonal_num,0.2,58.2283
mbpp_138_is_Sum_Of_Powers_Of_Two,0.2,32.5417
mbpp_141_pancake_sort,0.2,34.8626
mbpp_142_count_samepair,0.2,58.1612
mbpp_143_find_lists,0.2,58.1416
mbpp_145_max_Abs_Diff,0.2,22.9968
mbpp_160_find_solution,0.2,58.2713
mbpp_161_remove_elements,0.2,58.2150
mbpp_162_sum_series,0.2,48.2514
mbpp_164_are_equivalent,0.2,58.1033
mbpp_165_count_char_position,0.2,58.0606
mbpp_166_find_even_pair,0.2,55.8297
mbpp_167_next_power_of_2,0.2,31.8123
mbpp_168_frequency,0.2,58.1142
mbpp_170_sum_range_list,0.2,58.1732
mbpp_171_perimeter_pentagon,0.2,58.3161
mbpp_172_count_occurance,0.2,58.6000
mbpp_222_check_type,0.2,58.4904
mbpp_223_is_majority,0.2,58.5720
mbpp_224_count_Set_Bits,0.2,41.3092
mbpp_226_odd_values_string,0.2,58.4462
mbpp_227_min_of_three,0.2,58.4147
mbpp_228_all_Bits_Set_In_The_Given_Range,0.2,58.3308
mbpp_229_re_arrange_array,0.2,58.3113
mbpp_230_replace_blank,0.2,58.2208
mbpp_234_volume_cube,0.2,58.1636
mbpp_237_check_occurences,0.2,54.4761
mbpp_238_number_of_substrings,0.2,58.1970
mbpp_239_get_total_number_of_sequences,0.2,55.4920
mbpp_240_replace_list,0.2,58.0863
mbpp_242_count_charac,0.2,58.0324
mbpp_244_next_Perfect_Square,0.2,41.8488
mbpp_245_max_sum,0.2,58.0540
mbpp_247_lps,0.2,37.6535
mbpp_249_intersection_array,0.2,57.9744
mbpp_250_count_X,0.2,58.0065
mbpp_251_insert_element,0.2,57.9768
mbpp_252_convert,0.2,57.9335
mbpp_253_count_integer,0.2,57.9320
mbpp_255_combinations_colors,0.2,57.9508
mbpp_256_count_Primes_nums,0.2,57.9392
mbpp_257_swap_numbers,0.2,57.9719
mbpp_259_maximize_elements,0.2,57.9226
mbpp_260_newman_prime,0.2,57.9912
mbpp_261_division_elements,0.2,57.9571
mbpp_262_split_two_parts,0.2,44.1470
mbpp_264_dog_age,0.2,57.8933
mbpp_265_list_split,0.2,58.2777
mbpp_266_lateralsurface_cube,0.2,58.4432
mbpp_267_square_Sum,0.2,41.1319
mbpp_268_find_star_num,0.2,58.3746
mbpp_269_ascii_value,0.2,58.3196
mbpp_270_sum_even_and_even_index,0.2,58.2617
mbpp_271_even_Power_Sum,0.2,58.2651
mbpp_272_rear_extract,0.2,58.2382
mbpp_273_substract_elements,0.2,58.2348
mbpp_274_even_binomial_Coeff_Sum,0.2,39.3529
mbpp_277_dict_filter,0.2,58.1678
mbpp_278_count_first_elements,0.2,57.9461
mbpp_279_is_num_decagonal,0.2,58.0422
mbpp_280_sequential_search,0.2,57.5163
mbpp_281_all_unique,0.2,10.1232
mbpp_282_sub_list,0.2,57.4672
mbpp_283_validate,0.2,57.5014
mbpp_284_check_element,0.2,57.4711
mbpp_285_text_match_two_three,0.2,57.4886
mbpp_286_max_sub_array_sum_repeated,0.2,57.5134
mbpp_287_square_Sum,0.2,57.4931
mbpp_290_max_length,0.2,57.4697
mbpp_291_count_no_of_ways,0.2,45.3118
mbpp_292_find,0.2,57.4439
mbpp_293_otherside_rightangle,0.2,57.4508
mbpp_294_max_val,0.2,57.4551
mbpp_295_sum_div,0.2,57.4456
mbpp_296_get_Inv_Count,0.2,14.9932
mbpp_297_flatten_list,0.2,24.9959
mbpp_299_max_aggregate,0.2,57.4436
mbpp_304_find_Element,0.2,39.7331
mbpp_305_start_withp,0.2,57.5570
mbpp_306_max_sum_increasing_subseq,0.2,35.5002
mbpp_308_large_product,0.2,57.4794
mbpp_309_maximum,0.2,57.4492
mbpp_310_string_to_tuple,0.2,57.4404
mbpp_388_highest_Power_of_2,0.2,40.4359
mbpp_389_find_lucas,0.2,57.4429
mbpp_390_add_string,0.2,57.4512
