task_name,temperature,execution_time_s
mbpp_3_is_not_prime,0.0,2.6398
mbpp_4_heap_queue_largest,0.0,6.7613
mbpp_6_differ_At_One_Bit_Pos,0.0,1.2072
mbpp_8_square_nums,0.0,1.9728
mbpp_9_find_Rotations,0.0,3.3099
mbpp_11_remove_Occ,0.0,4.2364
mbpp_12_sort_matrix,0.0,33.8099
mbpp_14_find_Volume,0.0,0.5467
mbpp_16_text_lowercase_underscore,0.0,0.7659
mbpp_17_square_perimeter,0.0,0.3276
mbpp_18_remove_dirty_chars,0.0,4.6757
mbpp_19_test_duplicate,0.0,3.1804
mbpp_20_is_woodall,0.0,1.0712
mbpp_56_checks,0.0,3.1442
mbpp_57_find_Max_Num,0.0,1.0817
mbpp_58_opposite_Signs,0.0,1.1437
mbpp_59_is_octagonal,0.0,1.9257
mbpp_61_count_Substrings,0.0,4.4302
mbpp_62_smallest_num,0.0,0.5313
mbpp_63_max_difference,0.0,53.9845
mbpp_64_subject_marks,0.0,1.2608
mbpp_65_recursive_list_sum,0.0,3.6081
mbpp_66_pos_count,0.0,2.3019
mbpp_67_bell_number,0.0,6.4065
mbpp_68_is_Monotonic,0.0,4.7560
mbpp_69_is_sublist,0.0,19.7521
mbpp_70_get_equal,0.0,2.3842
mbpp_71_comb_sort,0.0,10.9222
mbpp_72_dif_Square,0.0,2.2721
mbpp_74_is_samepatterns,0.0,43.1738
mbpp_75_find_tuples,0.0,32.1387
mbpp_77_is_Diff,0.0,5.5727
mbpp_79_word_len,0.0,1.2686
mbpp_80_tetrahedral_number,0.0,1.0543
mbpp_83_get_Char,0.0,2.3702
mbpp_84_sequence,0.0,4.8752
mbpp_86_centered_hexagonal_number,0.0,0.5981
mbpp_87_merge_dictionaries_three,0.0,0.6773
mbpp_88_freq_count,0.0,3.7171
mbpp_89_closest_num,0.0,17.9934
mbpp_90_len_log,0.0,2.7920
mbpp_91_find_substring,0.0,5.3985
mbpp_92_is_undulating,0.0,4.3211
mbpp_93_power,0.0,2.1575
mbpp_94_index_minimum,0.0,5.0214
mbpp_95_Find_Min_Length,0.0,2.7482
mbpp_96_divisor,0.0,2.1486
mbpp_97_frequency_lists,0.0,12.5800
mbpp_99_decimal_to_binary,0.0,26.7810
mbpp_100_next_smallest_palindrome,0.0,150.5680
mbpp_101_kth_element,0.0,0.4248
mbpp_102_snake_to_camel,0.0,3.4847
mbpp_103_eulerian_num,0.0,4.4076
mbpp_104_sort_sublists,0.0,1.5765
mbpp_105_count,0.0,2.1073
mbpp_106_add_lists,0.0,20.6149
mbpp_108_merge_sorted_list,0.0,1.9804
mbpp_109_odd_Equivalent,0.0,4.1408
mbpp_113_check_integer,0.0,20.7372
mbpp_116_tuple_to_int,0.0,39.6102
mbpp_117_list_to_float,0.0,19.7105
mbpp_118_string_to_list,0.0,0.3362
mbpp_119_search,0.0,9.7455
mbpp_120_max_product_tuple,0.0,20.6159
mbpp_123_amicable_numbers_sum,0.0,2.1149
mbpp_125_find_length,0.0,33.3548
mbpp_126_sum,0.0,2.9689
mbpp_127_multiply_int,0.0,0.3262
mbpp_128_long_words,0.0,2.3952
mbpp_129_magic_square_test,0.0,44.2164
mbpp_130_max_occurrences,0.0,4.7801
mbpp_131_reverse_vowels,0.0,33.4309
mbpp_132_tup_string,0.0,1.7547
mbpp_133_sum_negativenum,0.0,2.3697
mbpp_135_hexagonal_num,0.0,0.5782
mbpp_138_is_Sum_Of_Powers_Of_Two,0.0,4.1134
mbpp_141_pancake_sort,0.0,17.7754
mbpp_142_count_samepair,0.0,19.9338
mbpp_143_find_lists,0.0,2.0276
mbpp_145_max_Abs_Diff,0.0,4.7702
mbpp_160_find_solution,0.0,56.6049
mbpp_161_remove_elements,0.0,1.0075
mbpp_162_sum_series,0.0,1.8880
mbpp_164_are_equivalent,0.0,15.1813
mbpp_165_count_char_position,0.0,3.3672
mbpp_166_find_even_pair,0.0,49.0193
mbpp_167_next_power_of_2,0.0,1.2727
mbpp_168_frequency,0.0,2.1096
mbpp_170_sum_range_list,0.0,1.6629
mbpp_171_perimeter_pentagon,0.0,0.3257
mbpp_172_count_occurance,0.0,19.9178
mbpp_222_check_type,0.0,20.0333
mbpp_223_is_majority,0.0,25.1625
mbpp_224_count_Set_Bits,0.0,1.5701
mbpp_226_odd_values_string,0.0,2.5224
mbpp_227_min_of_three,0.0,2.0075
mbpp_228_all_Bits_Set_In_The_Given_Range,0.0,2.7278
mbpp_229_re_arrange_array,0.0,12.4505
mbpp_230_replace_blank,0.0,0.5596
mbpp_234_volume_cube,0.0,0.3325
mbpp_237_check_occurences,0.0,44.2309
mbpp_238_number_of_substrings,0.0,2.7270
mbpp_239_get_total_number_of_sequences,0.0,20.3442
mbpp_240_replace_list,0.0,0.8949
mbpp_242_count_charac,0.0,1.8083
mbpp_244_next_Perfect_Square,0.0,1.3479
mbpp_245_max_sum,0.0,110.3815
mbpp_247_lps,0.0,7.8781
mbpp_249_intersection_array,0.0,2.8212
mbpp_250_count_X,0.0,19.9126
mbpp_251_insert_element,0.0,2.0739
mbpp_252_convert,0.0,5.9900
mbpp_253_count_integer,0.0,19.7718
mbpp_255_combinations_colors,0.0,105.4336
mbpp_256_count_Primes_nums,0.0,5.7364
mbpp_257_swap_numbers,0.0,0.3797
mbpp_259_maximize_elements,0.0,69.4643
mbpp_260_newman_prime,0.0,4.7481
mbpp_261_division_elements,0.0,20.1014
mbpp_262_split_two_parts,0.0,0.8457
mbpp_264_dog_age,0.0,1.9037
mbpp_265_list_split,0.0,2.1737
mbpp_266_lateralsurface_cube,0.0,0.3715
mbpp_267_square_Sum,0.0,2.1901
mbpp_268_find_star_num,0.0,0.5774
mbpp_269_ascii_value,0.0,0.3740
mbpp_270_sum_even_and_even_index,0.0,2.9980
mbpp_271_even_Power_Sum,0.0,2.0702
mbpp_272_rear_extract,0.0,19.8931
mbpp_273_substract_elements,0.0,20.7751
mbpp_274_even_binomial_Coeff_Sum,0.0,24.6084
mbpp_277_dict_filter,0.0,30.8985
mbpp_278_count_first_elements,0.0,19.8256
mbpp_279_is_num_decagonal,0.0,1.7166
mbpp_280_sequential_search,0.0,2.4410
mbpp_281_all_unique,0.0,0.7147
mbpp_282_sub_list,0.0,2.1169
mbpp_283_validate,0.0,6.0851
mbpp_284_check_element,0.0,1.8572
mbpp_285_text_match_two_three,0.0,0.7015
mbpp_286_max_sub_array_sum_repeated,0.0,6.0077
mbpp_287_square_Sum,0.0,2.0146
mbpp_290_max_length,0.0,3.8019
mbpp_291_count_no_of_ways,0.0,5.1365
mbpp_292_find,0.0,0.4455
mbpp_293_otherside_rightangle,0.0,0.9833
mbpp_294_max_val,0.0,19.8938
mbpp_295_sum_div,0.0,2.1479
mbpp_296_get_Inv_Count,0.0,4.0698
mbpp_297_flatten_list,0.0,4.3057
mbpp_299_max_aggregate,0.0,41.0928
mbpp_304_find_Element,0.0,1.7937
mbpp_305_start_withp,0.0,3.0623
mbpp_306_max_sum_increasing_subseq,0.0,23.9952
mbpp_308_large_product,0.0,45.0133
mbpp_309_maximum,0.0,1.0109
mbpp_310_string_to_tuple,0.0,0.3842
mbpp_388_highest_Power_of_2,0.0,2.0539
mbpp_389_find_lucas,0.0,2.3728
mbpp_390_add_string,0.0,0.7565
mbpp_391_convert_list_dictionary,0.0,8.4529
mbpp_392_get_max_sum,0.0,22.0877
mbpp_393_max_length_list,0.0,20.0798
mbpp_394_check_distinct,0.0,20.4506
mbpp_395_first_non_repeating_character,0.0,3.0296
mbpp_396_check_char,0.0,1.4792
mbpp_397_median_numbers,0.0,4.7444
mbpp_398_sum_of_digits,0.0,3.5082
mbpp_399_bitwise_xor,0.0,20.0851
mbpp_400_extract_freq,0.0,43.9264
mbpp_401_add_nested_tuples,0.0,20.3695
mbpp_404_minimum,0.0,1.0614
mbpp_405_check_tuplex,0.0,2.3436
mbpp_406_find_Parity,0.0,1.2776
mbpp_407_rearrange_bigger,0.0,17.9179
mbpp_408_k_smallest_pairs,0.0,122.8114
mbpp_409_min_product_tuple,0.0,21.4963
mbpp_410_min_val,0.0,19.9361
mbpp_411_snake_to_camel,0.0,3.4920
mbpp_412_remove_odd,0.0,0.7438
mbpp_413_extract_nth_element,0.0,1.9334
mbpp_414_overlapping,0.0,3.5516
mbpp_415_max_Product,0.0,12.9400
mbpp_417_group_tuples,0.0,17.6952
mbpp_418_Find_Max,0.0,19.9307
mbpp_419_round_and_sum,0.0,2.4408
mbpp_420_cube_Sum,0.0,2.0661
mbpp_421_concatenate_tuple,0.0,20.4384
mbpp_422_find_Average_Of_Cube,0.0,1.9994
mbpp_424_extract_rear,0.0,21.9742
mbpp_425_count_element_in_list,0.0,19.9154
mbpp_426_filter_oddnumbers,0.0,0.6735
mbpp_427_change_date_format,0.0,1.4818
mbpp_428_shell_sort,0.0,8.9654
mbpp_429_and_tuples,0.0,26.0510
mbpp_430_parabola_directrix,0.0,1.0775
mbpp_431_common_element,0.0,3.4037
mbpp_432_median_trapezium,0.0,0.6343
mbpp_433_check_greater,0.0,1.6899
mbpp_434_text_match_one,0.0,0.4575
mbpp_435_last_Digit,0.0,0.4145
mbpp_436_neg_nos,0.0,2.7149
mbpp_437_remove_odd,0.0,2.5752
mbpp_438_count_bidirectional,0.0,19.8460
mbpp_439_multiple_to_single,0.0,5.3794
mbpp_440_find_adverb_position,0.0,20.1919
mbpp_441_surfacearea_cube,0.0,0.4473
mbpp_442_positive_count,0.0,2.3628
mbpp_443_largest_neg,0.0,3.2243
mbpp_444_trim_tuple,0.0,3.5337
mbpp_445_index_multiplication,0.0,21.5055
mbpp_446_count_Occurrence,0.0,19.9515
mbpp_447_cube_nums,0.0,1.8793
mbpp_448_cal_sum,0.0,4.2640
mbpp_450_extract_string,0.0,0.4679
mbpp_451_remove_whitespaces,0.0,20.4611
mbpp_452_loss_amount,0.0,1.0881
mbpp_453_sumofFactors,0.0,2.7261
mbpp_454_text_match_wordz,0.0,20.6062
mbpp_455_check_monthnumb_number,0.0,14.2677
mbpp_456_reverse_string_list,0.0,2.2012
mbpp_457_Find_Min,0.0,20.2329
mbpp_458_rectangle_area,0.0,0.3347
mbpp_459_remove_uppercase,0.0,3.4422
mbpp_460_Extract,0.0,0.8582
mbpp_461_upper_ctr,0.0,3.3194
mbpp_462_combinations_list,0.0,103.2964
mbpp_463_max_subarray_product,0.0,8.9975
mbpp_464_check_value,0.0,1.4794
mbpp_465_drop_empty,0.0,1.7356
mbpp_468_max_product,0.0,6.6568
mbpp_470_add_pairwise,0.0,19.7922
mbpp_471_find_remainder,0.0,2.4533
mbpp_472_check_Consecutive,0.0,3.2662
mbpp_474_replace_char,0.0,0.5110
mbpp_475_sort_counter,0.0,2.9894
mbpp_476_big_sum,0.0,4.7830
mbpp_477_is_lower,0.0,0.3400
mbpp_478_remove_lowercase,0.0,2.9412
mbpp_479_first_Digit,0.0,1.0781
mbpp_554_Split,0.0,2.6486
mbpp_555_difference,0.0,3.2370
mbpp_556_find_Odd_Pair,0.0,4.0613
mbpp_557_toggle_string,0.0,1.9164
mbpp_558_digit_distance_nums,0.0,14.9728
mbpp_559_max_sub_array_sum,0.0,5.2739
mbpp_560_union_elements,0.0,20.0584
mbpp_562_Find_Max_Length,0.0,4.7563
mbpp_563_extract_values,0.0,20.9406
mbpp_564_count_Pairs,0.0,3.3422
