Comparison: summary/mbpp-js-microsoft_phi_2-0.0-unconstrained.txt vs summary/mbpp-js-microsoft_phi_2-0.0-syncode.txt
================================================================================

Total changed test cases: 309

mbpp_102_snake_to_camel: SyntaxError -> AssertionError
mbpp_103_eulerian_num: SyntaxError -> AssertionError
mbpp_104_sort_sublists: SyntaxError -> OK
mbpp_105_count: SyntaxError -> OK
mbpp_106_add_lists: SyntaxError -> AssertionError
mbpp_108_merge_sorted_list: SyntaxError -> AssertionError
mbpp_109_odd_Equivalent: SyntaxError -> AssertionError
mbpp_113_check_integer: SyntaxError -> OK
mbpp_116_tuple_to_int: SyntaxError -> OK
mbpp_117_list_to_float: SyntaxError -> AssertionError
mbpp_119_search: SyntaxError -> AssertionError
mbpp_11_remove_Occ: SyntaxError -> AssertionError
mbpp_120_max_product_tuple: SyntaxError -> AssertionError
mbpp_123_amicable_numbers_sum: SyntaxError -> ReferenceError
mbpp_125_find_length: SyntaxError -> AssertionError
mbpp_126_sum: SyntaxError -> OK
mbpp_128_long_words: SyntaxError -> AssertionError
mbpp_129_magic_square_test: SyntaxError -> AssertionError
mbpp_130_max_occurrences: SyntaxError -> OK
mbpp_131_reverse_vowels: SyntaxError -> AssertionError
mbpp_132_tup_string: SyntaxError -> AssertionError
mbpp_133_sum_negativenum: SyntaxError -> OK
mbpp_142_count_samepair: SyntaxError -> OK
mbpp_143_find_lists: SyntaxError -> AssertionError
mbpp_145_max_Abs_Diff: SyntaxError -> AssertionError
mbpp_160_find_solution: SyntaxError -> AssertionError
mbpp_161_remove_elements: SyntaxError -> OK
mbpp_162_sum_series: SyntaxError -> AssertionError
mbpp_165_count_char_position: SyntaxError -> AssertionError
mbpp_167_next_power_of_2: SyntaxError -> OK
mbpp_168_frequency: SyntaxError -> OK
mbpp_170_sum_range_list: SyntaxError -> OK
mbpp_172_count_occurance: SyntaxError -> OK
mbpp_18_remove_dirty_chars: SyntaxError -> AssertionError
mbpp_19_test_duplicate: SyntaxError -> OK
mbpp_222_check_type: SyntaxError -> OK
mbpp_223_is_majority: SyntaxError -> OK
mbpp_224_count_Set_Bits: SyntaxError -> OK
mbpp_226_odd_values_string: SyntaxError -> OK
mbpp_228_all_Bits_Set_In_The_Given_Range: SyntaxError -> AssertionError
mbpp_229_re_arrange_array: SyntaxError -> AssertionError
mbpp_230_replace_blank: SyntaxError -> OK
mbpp_238_number_of_substrings: SyntaxError -> OK
mbpp_239_get_total_number_of_sequences: SyntaxError -> AssertionError
mbpp_240_replace_list: SyntaxError -> AssertionError
mbpp_242_count_charac: SyntaxError -> OK
mbpp_244_next_Perfect_Square: SyntaxError -> AssertionError
mbpp_245_max_sum: SyntaxError -> AssertionError
mbpp_247_lps: SyntaxError -> AssertionError
mbpp_249_intersection_array: SyntaxError -> OK
mbpp_250_count_X: SyntaxError -> OK
mbpp_251_insert_element: SyntaxError -> OK
mbpp_252_convert: SyntaxError -> AssertionError
mbpp_253_count_integer: SyntaxError -> AssertionError
mbpp_255_combinations_colors: SyntaxError -> AssertionError
mbpp_256_count_Primes_nums: SyntaxError -> ReferenceError
mbpp_260_newman_prime: SyntaxError -> AssertionError
