Comparison: humaneval-js-Qwen_Qwen2.5_Coder_3B_Instruct-0.0-syncode vs humaneval-js-Qwen_Qwen2.5_Coder_3B_Instruct-0.0-unconstrained
================================================================================

Total changed test cases: 108

HumanEval_101_words_string: SyntaxError -> OK
HumanEval_103_rounded_avg: SyntaxError -> AssertionError
HumanEval_104_unique_digits: SyntaxError -> OK
HumanEval_105_by_length: SyntaxError -> OK
HumanEval_107_even_odd_palindrome: SyntaxError -> OK
HumanEval_108_count_nums: SyntaxError -> OK
HumanEval_109_move_one_ball: SyntaxError -> OK
HumanEval_110_exchange: SyntaxError -> OK
HumanEval_111_histogram: SyntaxError -> AssertionError
HumanEval_112_reverse_delete: SyntaxError -> OK
HumanEval_113_odd_count: SyntaxError -> OK
HumanEval_114_minSubArraySum: SyntaxError -> OK
HumanEval_115_max_fill: SyntaxError -> AssertionError
HumanEval_116_sort_array: SyntaxError -> OK
HumanEval_117_select_words: SyntaxError -> Exception
HumanEval_118_get_closest_vowel: SyntaxError -> OK
HumanEval_119_match_parens: SyntaxError -> AssertionError
HumanEval_120_maximum: SyntaxError -> AssertionError
HumanEval_121_solution: SyntaxError -> OK
HumanEval_122_add_elements: SyntaxError -> AssertionError
HumanEval_124_valid_date: SyntaxError -> AssertionError
HumanEval_125_split_words: SyntaxError -> AssertionError
HumanEval_126_is_sorted: SyntaxError -> AssertionError
HumanEval_127_intersection: SyntaxError -> AssertionError
HumanEval_128_prod_signs: SyntaxError -> OK
HumanEval_129_minPath: SyntaxError -> AssertionError
HumanEval_12_longest: SyntaxError -> OK
HumanEval_130_tri: SyntaxError -> AssertionError
HumanEval_131_digits: SyntaxError -> OK
HumanEval_132_is_nested: SyntaxError -> AssertionError
HumanEval_133_sum_squares: SyntaxError -> OK
HumanEval_134_check_if_last_char_is_a_letter: SyntaxError -> AssertionError
HumanEval_135_can_arrange: SyntaxError -> OK
HumanEval_136_largest_smallest_integers: SyntaxError -> OK
HumanEval_137_compare_one: SyntaxError -> AssertionError
HumanEval_140_fix_spaces: SyntaxError -> AssertionError
HumanEval_141_file_name_check: SyntaxError -> OK
HumanEval_144_simplify: SyntaxError -> AssertionError
HumanEval_145_order_by_points: SyntaxError -> AssertionError
HumanEval_146_specialFilter: SyntaxError -> AssertionError
HumanEval_148_bf: SyntaxError -> Exception
HumanEval_149_sorted_list_sum: SyntaxError -> AssertionError
HumanEval_151_double_the_difference: SyntaxError -> AssertionError
HumanEval_152_compare: SyntaxError -> OK
HumanEval_153_Strongest_Extension: SyntaxError -> OK
HumanEval_154_cycpattern_check: SyntaxError -> OK
HumanEval_155_even_odd_count: SyntaxError -> AssertionError
HumanEval_156_int_to_mini_roman: SyntaxError -> OK
HumanEval_157_right_angle_triangle: SyntaxError -> OK
HumanEval_158_find_max: SyntaxError -> AssertionError
HumanEval_159_eat: SyntaxError -> OK
HumanEval_15_string_sequence: SyntaxError -> OK
HumanEval_160_do_algebra: SyntaxError -> AssertionError
HumanEval_161_solve: SyntaxError -> OK
HumanEval_163_generate_integers: SyntaxError -> AssertionError
HumanEval_17_parse_music: SyntaxError -> OK
HumanEval_18_how_many_times: SyntaxError -> OK
