Comparison: mbpp-js-Qwen_Qwen2.5_Coder_3B_Instruct-0.0-syncode vs mbpp-js-Qwen_Qwen2.5_Coder_3B_Instruct-0.01-itergen
================================================================================

Total changed test cases: 168

mbpp_100_next_smallest_palindrome: OK -> Timeout
mbpp_102_snake_to_camel: AssertionError -> SyntaxError
mbpp_108_merge_sorted_list: OK -> SyntaxError
mbpp_109_odd_Equivalent: AssertionError -> SyntaxError
mbpp_113_check_integer: OK -> SyntaxError
mbpp_119_search: Timeout -> SyntaxError
mbpp_120_max_product_tuple: AssertionError -> SyntaxError
mbpp_123_amicable_numbers_sum: ReferenceError -> SyntaxError
mbpp_125_find_length: AssertionError -> SyntaxError
mbpp_126_sum: OK -> SyntaxError
mbpp_128_long_words: OK -> SyntaxError
mbpp_130_max_occurrences: OK -> SyntaxError
mbpp_131_reverse_vowels: OK -> SyntaxError
mbpp_133_sum_negativenum: OK -> SyntaxError
mbpp_138_is_Sum_Of_Powers_Of_Two: AssertionError -> SyntaxError
mbpp_141_pancake_sort: OK -> SyntaxError
mbpp_145_max_Abs_Diff: OK -> SyntaxError
mbpp_161_remove_elements: OK -> SyntaxError
mbpp_164_are_equivalent: AssertionError -> SyntaxError
mbpp_166_find_even_pair: OK -> SyntaxError
mbpp_168_frequency: OK -> SyntaxError
mbpp_16_text_lowercase_underscore: AssertionError -> SyntaxError
mbpp_20_is_woodall: AssertionError -> SyntaxError
mbpp_223_is_majority: OK -> SyntaxError
mbpp_224_count_Set_Bits: OK -> SyntaxError
mbpp_228_all_Bits_Set_In_The_Given_Range: AssertionError -> SyntaxError
mbpp_229_re_arrange_array: Timeout -> SyntaxError
mbpp_238_number_of_substrings: OK -> SyntaxError
mbpp_239_get_total_number_of_sequences: AssertionError -> SyntaxError
mbpp_244_next_Perfect_Square: AssertionError -> SyntaxError
mbpp_245_max_sum: OK -> SyntaxError
mbpp_247_lps: OK -> SyntaxError
mbpp_249_intersection_array: OK -> SyntaxError
mbpp_252_convert: AssertionError -> SyntaxError
mbpp_255_combinations_colors: AssertionError -> Timeout
mbpp_256_count_Primes_nums: ReferenceError -> SyntaxError
mbpp_260_newman_prime: ReferenceError -> SyntaxError
mbpp_267_square_Sum: OK -> SyntaxError
mbpp_270_sum_even_and_even_index: OK -> SyntaxError
mbpp_271_even_Power_Sum: OK -> SyntaxError
mbpp_274_even_binomial_Coeff_Sum: AssertionError -> SyntaxError
mbpp_277_dict_filter: OK -> AssertionError
mbpp_282_sub_list: OK -> SyntaxError
mbpp_283_validate: AssertionError -> SyntaxError
mbpp_284_check_element: OK -> SyntaxError
mbpp_285_text_match_two_three: OK -> SyntaxError
mbpp_286_max_sub_array_sum_repeated: AssertionError -> SyntaxError
mbpp_287_square_Sum: OK -> SyntaxError
mbpp_291_count_no_of_ways: OK -> SyntaxError
mbpp_296_get_Inv_Count: OK -> SyntaxError
mbpp_299_max_aggregate: AssertionError -> SyntaxError
mbpp_304_find_Element: AssertionError -> SyntaxError
mbpp_306_max_sum_increasing_subseq: AssertionError -> SyntaxError
mbpp_308_large_product: AssertionError -> SyntaxError
mbpp_388_highest_Power_of_2: OK -> SyntaxError
