Comparison: summary/mbpp-js-Qwen_Qwen2.5_Coder_3B_Instruct-0.0-syncode.txt vs summary/mbpp-js-Qwen_Qwen2.5_Coder_3B_Instruct-0.0-unconstrained.txt
================================================================================

Total changed test cases: 56

mbpp_108_merge_sorted_list: OK -> AssertionError
mbpp_119_search: Timeout -> OK
mbpp_128_long_words: OK -> AssertionError
mbpp_129_magic_square_test: SyntaxError -> OK
mbpp_130_max_occurrences: OK -> AssertionError
mbpp_141_pancake_sort: OK -> ReferenceError
mbpp_160_find_solution: SyntaxError -> AssertionError
mbpp_16_text_lowercase_underscore: AssertionError -> OK
mbpp_229_re_arrange_array: Timeout -> AssertionError
mbpp_230_replace_blank: SyntaxError -> OK
mbpp_245_max_sum: OK -> AssertionError
mbpp_255_combinations_colors: AssertionError -> SyntaxError
mbpp_271_even_Power_Sum: OK -> AssertionError
mbpp_286_max_sub_array_sum_repeated: AssertionError -> OK
mbpp_392_get_max_sum: Exception -> AssertionError
mbpp_404_minimum: SyntaxError -> OK
mbpp_405_check_tuplex: SyntaxError -> ReferenceError
mbpp_424_extract_rear: SyntaxError -> ReferenceError
mbpp_427_change_date_format: AssertionError -> OK
mbpp_432_median_trapezium: OK -> AssertionError
mbpp_451_remove_whitespaces: SyntaxError -> OK
mbpp_454_text_match_wordz: SyntaxError -> OK
mbpp_464_check_value: SyntaxError -> OK
mbpp_474_replace_char: AssertionError -> OK
mbpp_4_heap_queue_largest: OK -> SyntaxError
mbpp_56_checks: OK -> AssertionError
mbpp_580_extract_even: SyntaxError -> ReferenceError
mbpp_587_list_tuple: OK -> ReferenceError
mbpp_602_first_repeated_char: OK -> AssertionError
mbpp_603_get_ludic: AssertionError -> Timeout
mbpp_608_bell_Number: AssertionError -> OK
mbpp_619_move_num: SyntaxError -> ReferenceError
mbpp_61_count_Substrings: AssertionError -> OK
mbpp_640_remove_parenthesis: SyntaxError -> Exception
mbpp_643_text_match_wordz_middle: SyntaxError -> AssertionError
mbpp_721_maxAverageOfPath: OK -> SyntaxError
mbpp_743_rotate_right: Exception -> AssertionError
mbpp_744_check_none: SyntaxError -> ReferenceError
mbpp_745_divisible_by_digits: OK -> ReferenceError
mbpp_747_lcs_of_three: OK -> AssertionError
mbpp_750_add_tuple: AssertionError -> ReferenceError
mbpp_754_extract_index_list: AssertionError -> OK
mbpp_763_find_min_diff: AssertionError -> OK
mbpp_767_get_pairs_count: AssertionError -> OK
mbpp_772_remove_length: SyntaxError -> ReferenceError
mbpp_776_count_vowels: SyntaxError -> ReferenceError
mbpp_780_find_combinations: SyntaxError -> ReferenceError
mbpp_785_tuple_str_int: SyntaxError -> ReferenceError
mbpp_791_remove_nested: SyntaxError -> ReferenceError
mbpp_794_text_starta_endb: OK -> AssertionError
mbpp_800_remove_all_spaces: SyntaxError -> OK
mbpp_802_count_rotation: AssertionError -> OK
mbpp_84_sequence: AssertionError -> OK
mbpp_91_find_substring: AssertionError -> OK
mbpp_97_frequency_lists: OK -> AssertionError
mbpp_9_find_Rotations: AssertionError -> OK
